model_key,model_label,row_no,row_category,command_eng,command_kor,det_score,det_pass,gt_exact,failure_reasons,prompt_chars,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,generation_error_type,generation_error_types,oom_flag,worker_python,resolved_model_path,warmup_excluded,selected_candidate_index,repair_applied,candidate_count,generation_call_count,repair_call_count,row_success
gpt41_mini,GPT-4.1-mini,231,8,"Every hour, repeat opening and closing the door.",1시간마다 문을 열었다 닫았다 반복해줘.,93.4813,True,False,"[""gt_mismatch"", ""semantic""]",103770,27356,52,27408,2.3116,7.6625,11856.7226,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,232,8,"Every 5 minutes from 1 PM to 3 PM, repeat opening and closing the valve.",오후 1시부터 3시까지 5분마다 벨브를 열었다 닫았다 반복해줘.,90.6499,True,False,"[""extraneous"", ""gt_mismatch"", ""semantic""]",106319,27939,91,28030,3.2441,4.2455,8640.3009,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,233,8,"Every 30 minutes, toggle the living room air purifier between sleep mode and auto mode.",30분마다 거실 공기청정기를 수면모드와 자동모드 사이에서 전환해줘.,100.0,True,True,[],102821,26935,118,27053,2.2983,3.2783,11770.8741,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,234,8,Repeat opening and closing the window every 10 minutes.,10분마다 창문을 열었다 닫았다 반복해줘.,91.342,True,False,"[""gt_mismatch"", ""semantic""]",104965,27549,60,27609,1.7232,2.7203,16021.9359,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,235,8,"Every 30 minutes, toggle the air purifier between sleep mode and high speed mode.",30분마다 공기청정기를 수면모드와 강풍모드 사이에서 전환해줘.,100.0,True,True,[],101577,26583,103,26686,2.5985,3.5901,10269.771,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,236,8,"Whenever the humidity level drops to 30% or below, turn on the humidifier.",습도가 30% 이하로 떨어질 때마다 가습기를 켜줘.,100.0,True,True,[],103037,26931,93,27024,2.2454,3.1917,12035.2721,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,237,8,"Whenever the rain stops, open the window.",비가 그칠 때마다 창문을 열어줘.,100.0,True,True,[],99874,26207,91,26298,2.4135,3.4053,10896.2088,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,238,8,"Every time the sound sensor value exceeds 30, set the air purifier to sleep mode.",소리 센서 값이 30을 넘길 때마다 공기 청정기를 수면모드로 바꿔줘.,100.0,True,True,[],102153,26661,100,26761,3.1712,4.176,8438.7614,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,239,8,"Each time the humidity drops below 50%, set the dehumidifier to drying mode.",습도가 50% 밑으로 떨어질 때마다 제습기를 건조모드로 작동해줘.,94.3511,True,False,"[""gt_mismatch"", ""numeric_grounding""]",103047,26938,105,27043,2.5429,3.5045,10634.7084,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,240,8,"Whenever the window opens, make the speaker speak 'The window is open'.",창문이 열릴 때마다 스피커로 '창문이 열렸습니다'라고 말해줘.,93.4782,True,False,"[""extraneous"", ""gt_mismatch""]",101956,26773,93,26866,3.1221,4.109,8605.1055,0.0,,[],False,,,False,0,False,1,1,0,True
