model_key,row_no,category,command_eng,command_kor,gt_name,gt_code,baseline_det_score,retrieval_det_score,delta_det_score,baseline_det_gt_similarity,retrieval_det_gt_similarity,delta_det_gt_similarity,baseline_det_gt_service_coverage,retrieval_det_gt_service_coverage,delta_det_gt_service_coverage,baseline_det_gt_receiver_coverage,retrieval_det_gt_receiver_coverage,delta_det_gt_receiver_coverage,baseline_det_dataflow_score,retrieval_det_dataflow_score,delta_det_dataflow_score,baseline_det_numeric_grounding,retrieval_det_numeric_grounding,delta_det_numeric_grounding,baseline_det_enum_grounding,retrieval_det_enum_grounding,delta_det_enum_grounding,baseline_prompt_tokens,retrieval_prompt_tokens,delta_prompt_tokens,reduction_pct_prompt_tokens,baseline_completion_tokens,retrieval_completion_tokens,delta_completion_tokens,baseline_total_tokens,retrieval_total_tokens,delta_total_tokens,baseline_llm_latency_sec,retrieval_llm_latency_sec,delta_llm_latency_sec,reduction_pct_llm_latency_sec,baseline_total_pipeline_sec,retrieval_total_pipeline_sec,delta_total_pipeline_sec,reduction_pct_total_pipeline_sec,baseline_peak_vram_gb,retrieval_peak_vram_gb,delta_peak_vram_gb
qwen25_coder_14b,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")",89.8937,89.8937,0.0,0.953125,0.953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31867.0,10956.0,-20911.0,65.61960648947188,52.0,52.0,0.0,31919.0,11008.0,-20911.0,32.2601,21.1609,-11.0992,34.40534902247668,34.62,24.3898,-10.230199999999996,29.549971114962442,37.0605,30.8051,-6.255399999999998
qwen25_coder_14b,2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,,(#Oven).Oven_AddMoreTime(300),93.1379,93.1379,0.0,0.937931,0.937931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31868.0,11448.0,-20420.0,64.07681686958705,49.0,48.0,-1.0,31917.0,11496.0,-20421.0,17.5962,6.3533,-11.242899999999999,63.89390891215149,19.9892,9.6351,-10.3541,51.798471174434205,37.0608,30.955,-6.105800000000002
qwen25_coder_14b,3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,,"(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)",74.9018,77.2841,2.3823000000000008,0.613393,0.478916,-0.13447699999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31873.0,10773.0,-21100.0,66.20023217143036,52.0,88.0,36.0,31925.0,10861.0,-21064.0,17.9302,8.3203,-9.6099,53.596167360096366,20.3003,11.6319,-8.6684,42.70084678551548,37.0617,30.7526,-6.309100000000001
qwen25_coder_14b,4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,,"(#Siren).Siren_SetSirenMode(""emergency"")",88.7692,88.7692,0.0,0.942308,0.942308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31868.0,10920.0,-20948.0,65.7336513116606,48.0,48.0,0.0,31916.0,10968.0,-20948.0,17.6724,6.1453,-11.5271,65.2265679817116,20.0472,9.4221,-10.6251,53.00041901113373,37.0608,30.7966,-6.264199999999999
qwen25_coder_14b,5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,,(#Speaker).Speaker_SetVolume(30),97.5344,97.5344,0.0,0.957813,0.957813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31869.0,11580.0,-20289.0,63.6637484703003,43.0,43.0,0.0,31912.0,11623.0,-20289.0,17.4143,6.1455,-11.2688,64.71003715337396,19.8445,9.4711,-10.3734,52.27342588626571,37.0606,30.9968,-6.0638000000000005
qwen25_coder_14b,6,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,,(#Television).Television_ChannelDown(),96.9342,96.9342,0.0,0.964474,0.964474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31868.0,11684.0,-20184.0,63.33626208108447,45.0,45.0,0.0,31913.0,11729.0,-20184.0,17.5151,6.3287,-11.186399999999999,63.867177464016756,19.6579,9.6065,-10.051400000000001,51.13160612272929,37.0608,31.0232,-6.037600000000001
qwen25_coder_14b,7,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,,(#Television).Television_SetChannel(7),96.5342,96.5342,0.0,0.964474,0.964474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31868.0,11558.0,-20310.0,63.731643027488396,46.0,46.0,0.0,31914.0,11604.0,-20310.0,17.5675,6.3488,-11.218699999999998,63.860537925145856,19.9413,9.7942,-10.147099999999998,50.884847026021376,37.0608,30.9864,-6.074400000000001
qwen25_coder_14b,8,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",29.4197,90.7948,61.375099999999996,0.480657,0.721731,0.241074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31868.0,12004.0,-19864.0,62.33211999497929,68.0,76.0,8.0,31936.0,12080.0,-19856.0,19.1584,8.1666,-10.9918,57.37326707867045,21.6136,11.3984,-10.215200000000001,47.262834511603806,37.0608,31.1208,-5.940000000000001
qwen25_coder_14b,9,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",24.0,73.5066,49.506600000000006,0.3,0.564504,0.264504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31869.0,11929.0,-19940.0,62.568640371520914,35.0,75.0,40.0,31904.0,12004.0,-19900.0,16.8231,8.1197,-8.7034,51.73481700756698,19.2721,11.3948,-7.877299999999998,40.87411335557619,37.0606,31.0962,-5.964400000000001
qwen25_coder_14b,10,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",80.4594,96.1031,15.643699999999995,0.462931,0.870103,0.407172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31869.0,11342.0,-20527.0,64.41055571244783,71.0,62.0,-9.0,31940.0,11404.0,-20536.0,19.43,7.1685,-12.2615,63.10602161605764,21.8327,10.4715,-11.361199999999998,52.037540020244855,37.0606,30.9254,-6.135200000000001
