sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
sentence,model,generated_code
Turn on the lights at 9 AM on weekdays.,version0_13,
