model_key,model_label,row_no,row_category,command_eng,command_kor,det_score,det_pass,gt_exact,failure_reasons,prompt_chars,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,generation_error_type,generation_error_types,oom_flag,worker_python,resolved_model_path,warmup_excluded,selected_candidate_index,repair_applied,candidate_count,generation_call_count,repair_call_count,row_success
gpt41_mini,GPT-4.1-mini,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,100.0,True,True,[],75706,20054,44,20098,2.5773,7.8786,7798.0833,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,100.0,True,True,[],77949,20726,43,20769,1.9797,2.8971,10490.9835,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,100.0,True,True,[],75367,19946,52,19998,5.5704,6.4829,3590.0474,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,23.6429,False,False,"[""arg_type"", ""enum_grounding"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic"", ""service_match"", ""unknown_service:sirenmode_setsirenmode""]",76575,20217,46,20263,1.7662,2.6802,11472.6532,0.0,,[],False,,,False,0,False,1,1,0,False
gpt41_mini,GPT-4.1-mini,5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,100.0,True,True,[],80108,20915,39,20954,1.5378,2.4449,13625.9592,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,6,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,100.0,True,True,[],79548,20956,39,20995,1.4707,2.3793,14275.5151,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,7,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,100.0,True,True,[],79178,20855,40,20895,1.6461,2.5555,12693.6395,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,8,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,63.1183,False,False,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""service_match"", ""unknown_service:temperaturemeasurement_temperature""]",81200,21236,46,21282,2.5937,3.5162,8205.2666,0.0,,[],False,,,False,0,False,1,1,0,False
gpt41_mini,GPT-4.1-mini,9,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,100.0,True,True,[],80744,21132,50,21182,4.2971,5.2321,4929.371,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,10,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,100.0,True,True,[],78412,20611,49,20660,1.8033,2.7621,11456.7737,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,11,1,Tell me the outdoor humidity through the speaker.,외부 습도를 스피커로 말해줘.,100.0,True,True,[],77437,20367,50,20417,1.8345,2.7646,11129.4631,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,12,1,Output today's weather through the speaker.,오늘의 날씨를 스피커로 출력해줘.,100.0,True,True,[],81853,21400,48,21448,2.2978,3.2115,9334.1457,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,13,1,Announce the fine dust level through the speaker.,미세먼지 농도를 스피커로 알려줘.,69.9,False,False,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]",75996,20021,56,20077,2.0233,2.9344,9922.8982,0.0,,[],False,,,False,0,False,1,1,0,False
