row_no,category,row_category,command_eng,command_kor,gt,gt_name,gt_cron,gt_period,gt_code,warmup_excluded,llama31_8b__det_score,llama31_8b__det_pass,llama31_8b__det_profile,llama31_8b__det_gt_exact,llama31_8b__det_gt_similarity,llama31_8b__det_gt_service_coverage,llama31_8b__det_gt_service_precision,llama31_8b__det_gt_receiver_coverage,llama31_8b__det_dataflow_score,llama31_8b__det_numeric_grounding,llama31_8b__det_enum_grounding,llama31_8b__failure_reasons,llama31_8b__output,llama31_8b__output_name,llama31_8b__output_cron,llama31_8b__output_period,llama31_8b__output_code,llama31_8b__prompt_chars,llama31_8b__prompt_tokens,llama31_8b__completion_tokens,llama31_8b__total_tokens,llama31_8b__llm_latency_sec,llama31_8b__total_pipeline_sec,llama31_8b__tokens_per_sec,llama31_8b__peak_vram_gb,llama31_8b__generation_error_type,llama31_8b__oom_flag,llama31_8b__worker_python,llama31_8b__resolved_model_path,llama31_8b__service_list_snippet_source,llama31_8b__service_list_device_count,llama31_8b__service_list_retrieval_status,llama31_8b__service_list_retrieval_mode,llama31_8b__service_list_retrieval_topk,llama31_8b__service_list_retrieval_categories,llama31_8b__prompt_render_mode,llama31_8b__prompt_assets_dir,llama31_8b__warmup_excluded,llama31_8b__row_category
1,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).dishwasher_setdishwashermode(\""dry\"")""}",,,0,"(#Dishwasher).dishwasher_setdishwashermode(""dry"")",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,193682,0,0,0,0.0,3.9115,0.0,0.0,worker_crash,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,,False,1
2,1,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).oven_addmoretime(300)""}",,,0,(#Oven).oven_addmoretime(300),False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,193673,0,0,0,0.0,3.9092,0.0,0.0,worker_crash,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,,False,1
3,1,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).ricecooker_setcookingparameters(\""cooking\"", 1800)""}",,,0,"(#RiceCooker).ricecooker_setcookingparameters(""cooking"", 1800)",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,193702,0,0,0,0.0,3.9196,0.0,0.0,worker_crash,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,,False,1
4,1,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).siren_setsirenmode(\""emergency\"")""}",,,0,"(#Siren).siren_setsirenmode(""emergency"")",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,193676,0,0,0,0.0,3.9112,0.0,0.0,worker_crash,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,,False,1
5,1,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).speaker_setvolume(30)""}",,,0,(#Speaker).speaker_setvolume(30),False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,193677,0,0,0,0.0,3.9091,0.0,0.0,worker_crash,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,,False,1
6,1,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).television_channeldown()""}",,,0,(#Television).television_channeldown(),False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,193675,0,0,0,0.0,3.9156,0.0,0.0,worker_crash,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,,False,1
7,1,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).television_setchannel(7)""}",,,0,(#Television).television_setchannel(7),False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,193671,0,0,0,0.0,3.8996,0.0,0.0,worker_crash,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,,False,1
8,1,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).temperaturesensor_temperature\n\n(#Speaker).speaker_speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",,,0,"
temp = (#TemperatureSensor).temperaturesensor_temperature

(#Speaker).speaker_speak(""현재 온도는 "" + temp + ""도입니다"")",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,193690,0,0,0,0.0,3.8749,0.0,0.0,worker_crash,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,,False,1
9,1,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).weatherprovider_temperatureweather\n\n(#Speaker).speaker_speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}",,,0,"
temp = (#WeatherProvider).weatherprovider_temperatureweather

(#Speaker).speaker_speak(""외부 온도는 "" + temp + ""도입니다"")",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,193698,0,0,0,0.0,3.8799,0.0,0.0,worker_crash,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,,False,1
10,1,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).humiditysensor_humidity\n\n(#Speaker).speaker_speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}",,,0,"
hum = (#HumiditySensor).humiditysensor_humidity

(#Speaker).speaker_speak(""현재 습도는 "" + hum + ""%입니다"")",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,193694,0,0,0,0.0,3.9078,0.0,0.0,worker_crash,False,/root/llm/je/bin/python,/root/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct,service_schema_fallback,50,assets_unavailable,hybrid,10,[],blocks,,False,1
