failure_type,affected_block_family,suggested_mutation_type,count
schema_violation,output_format,repair_clause_injection,31
gt_mismatch,det_helper,targeted_repair_hint,31
enum_type_mismatch,schema_enum_grounding,enum_type_rule,18
semantic_error,skeleton,skeleton_rule,14
owner_device_mismatch,owner_device_rule,receiver_rule,11
service_mapping,service_mapping,coverage_rule,10
numeric_or_temporal_error,temporal_rule,unit_grounding_rule,9
extraneous_action,skeleton,minimality_rule,8
dataflow_error,dataflow,dataflow_rule,4
service_mapping,service_mapping,service_grounding_rule,4
other,det_helper,targeted_repair_hint,1
