row_no,category,row_category,command_eng,command_kor,gt,gt_name,gt_cron,gt_period,gt_code,warmup_excluded,gpt41_mini__det_score,gpt41_mini__det_pass,gpt41_mini__det_profile,gpt41_mini__det_gt_exact,gpt41_mini__det_gt_similarity,gpt41_mini__det_gt_service_coverage,gpt41_mini__det_gt_service_precision,gpt41_mini__det_gt_receiver_coverage,gpt41_mini__det_dataflow_score,gpt41_mini__det_numeric_grounding,gpt41_mini__det_enum_grounding,gpt41_mini__failure_reasons,gpt41_mini__output,gpt41_mini__output_name,gpt41_mini__output_cron,gpt41_mini__output_period,gpt41_mini__output_code,gpt41_mini__prompt_chars,gpt41_mini__prompt_tokens,gpt41_mini__completion_tokens,gpt41_mini__total_tokens,gpt41_mini__llm_latency_sec,gpt41_mini__total_pipeline_sec,gpt41_mini__tokens_per_sec,gpt41_mini__peak_vram_gb,gpt41_mini__generation_error_type,gpt41_mini__oom_flag,gpt41_mini__worker_python,gpt41_mini__resolved_model_path,gpt41_mini__service_list_snippet_source,gpt41_mini__service_list_device_count,gpt41_mini__service_list_retrieval_status,gpt41_mini__service_list_retrieval_mode,gpt41_mini__service_list_retrieval_topk,gpt41_mini__service_list_retrieval_categories,gpt41_mini__prompt_render_mode,gpt41_mini__prompt_assets_dir,gpt41_mini__warmup_excluded,gpt41_mini__row_category
231,8,8,"Every hour, repeat opening and closing the door.",1시간마다 문을 열었다 닫았다 반복해줘.,"{""name"": """", 
""cron"": """", 
""period"": 3600000, 
""script"": ""\nopen := false\n\nif (open == false) {\n\n    (#Door).door_open()\n\n    open = true\n\n} else {\n\n    (#Door).door_close()\n\n    open = false\n\n}""}",,,3600000,"
open := false

if (open == false) {

    (#Door).door_open()

    open = true

} else {

    (#Door).door_close()

    open = false

}",False,92.7795,True,strict,False,0.515909,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch"", ""semantic""]","{""name"":""HourlyDoorOpenClose"",""cron"":""0 * * * *"",""period"":-1,""code"":""(#Door).door_open()\n(#Door).door_close()""}",HourlyDoorOpenClose,0 * * * *,-1,"(#Door).door_open()
(#Door).door_close()",80106,21221,49,21270,3.1731,8.4013,6703.224,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Door"", ""DoorLock"", ""Clock"", ""Safe"", ""Valve"", ""PresenceVitalSensor"", ""WindowCovering"", ""TapDialSwitch"", ""Oven"", ""Dishwasher""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,8
232,8,8,"Every 5 minutes from 1 PM to 3 PM, repeat opening and closing the valve.",오후 1시부터 3시까지 5분마다 벨브를 열었다 닫았다 반복해줘.,"{""name"": """", 
""cron"": ""*/5 13-14 * * *"", 
""period"": 0, 
""script"": ""\nopen := false\n\nif (open == false) {\n\n    (#Valve).valve_open()\n\n    open = true\n\n} else {\n\n    (#Valve).valve_close()\n\n    open = false\n\n}""}",,*/5 13-14 * * *,0,"
open := false

if (open == false) {

    (#Valve).valve_open()

    open = true

} else {

    (#Valve).valve_close()

    open = false

}",False,89.4344,True,strict,False,0.543298,1.0,0.5,1.0,1.0,1.0,1.0,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""semantic""]","{""name"":""ValveOpenCloseEvery5MinutesAfternoon"",""cron"":"""",""period"":300000,""code"":""if (((#Clock).clock_hour >= 13) and ((#Clock).clock_hour < 15)) {\n  (#Valve).valve_open()\n  (#Clock).clock_delay(1000)\n  (#Valve).valve_close()\n} else {\n  break\n}""}",ValveOpenCloseEvery5MinutesAfternoon,,300000,"if (((#Clock).clock_hour >= 13) and ((#Clock).clock_hour < 15)) {
  (#Valve).valve_open()
  (#Clock).clock_delay(1000)
  (#Valve).valve_close()
} else {
  break
}",77608,20539,95,20634,3.1096,4.108,6635.5801,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Valve"", ""PresenceVitalSensor"", ""TapDialSwitch"", ""Door"", ""Pump"", ""RobotVacuumCleaner"", ""DoorLock"", ""Safe"", ""Clock"", ""Plug""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,8
233,8,8,"Every 30 minutes, toggle the living room air purifier between sleep mode and auto mode.",30분마다 거실 공기청정기를 수면모드와 자동모드 사이에서 전환해줘.,"{""name"": """", 
""cron"": """", 
""period"": 1800000,
""script"": ""\nmode := 0\n\nif (mode == 0) {\n\n    (#LivingRoom #AirPurifier).airpurifier_setairpurifiermode(\""sleep\"")\n\n    mode = 1\n\n} else {\n\n    (#LivingRoom #AirPurifier).airpurifier_setairpurifiermode(\""auto\"")\n\n    mode = 0\n\n}""}",,,1800000,"
mode := 0

if (mode == 0) {

    (#LivingRoom #AirPurifier).airpurifier_setairpurifiermode(""sleep"")

    mode = 1

} else {

    (#LivingRoom #AirPurifier).airpurifier_setairpurifiermode(""auto"")

    mode = 0

}",False,69.9,False,strict,False,0.614896,1.0,0.5,1.0,1.0,0.0,0.5,"[""enum_grounding"", ""gt_mismatch"", ""numeric_grounding"", ""semantic""]","{""name"":""ToggleLivingRoomAirPurifierModeEvery30Minutes"",""cron"":"""",""period"":1800000,""code"":""mode = (#AirPurifier #LivingRoom).airpurifier_airpurifiermode\nif (mode == \""sleep\"") {\n  (#AirPurifier #LivingRoom).airpurifier_setairpurifiermode(\""auto\"")\n} else {\n  (#AirPurifier #LivingRoom).airpurifier_setairpurifiermode(\""sleep\"")\n}""}",ToggleLivingRoomAirPurifierModeEvery30Minutes,,1800000,"mode = (#AirPurifier #LivingRoom).airpurifier_airpurifiermode
if (mode == ""sleep"") {
  (#AirPurifier #LivingRoom).airpurifier_setairpurifiermode(""auto"")
} else {
  (#AirPurifier #LivingRoom).airpurifier_setairpurifiermode(""sleep"")
}",76819,20209,114,20323,5.8646,6.8336,3465.3685,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""AirPurifier"", ""AirQualitySensor"", ""AirConditioner"", ""RobotVacuumCleaner"", ""Dishwasher"", ""LaundryDryer"", ""PresenceVitalSensor"", ""Dehumidifier"", ""Humidifier"", ""Plug""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,8
234,8,8,Repeat opening and closing the window every 10 minutes.,10분마다 창문을 열었다 닫았다 반복해줘.,"{""name"": """", 
""cron"": """", 
""period"": 600000,
""script"": ""\nopen := false\n\nif (open == false) {\n\n    (#Window).windowcovering_uporopen()\n\n    open = true\n\n} else {\n\n    (#Window).windowcovering_downorclose()\n\n    open = false\n\n}""}",,,600000,"
open := false

if (open == false) {

    (#Window).windowcovering_uporopen()

    open = true

} else {

    (#Window).windowcovering_downorclose()

    open = false

}",False,83.7708,True,strict,False,0.704167,1.0,1.0,0.5,1.0,1.0,1.0,"[""gt_mismatch"", ""gt_receiver_coverage"", ""semantic""]","{""name"":""RepeatWindowOpenCloseEvery10Minutes"",""cron"":"""",""period"":600000,""code"":""(#WindowCovering).windowcovering_uporopen()\n(#WindowCovering).windowcovering_downorclose()""}",RepeatWindowOpenCloseEvery10Minutes,,600000,"(#WindowCovering).windowcovering_uporopen()
(#WindowCovering).windowcovering_downorclose()",80294,21208,61,21269,2.6334,3.5691,8076.631,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""WindowCovering"", ""Door"", ""DoorLock"", ""WeatherProvider"", ""Valve"", ""PresenceVitalSensor"", ""Safe"", ""Button"", ""Clock"", ""FaceRecognizer""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,8
235,8,8,"Every 30 minutes, toggle the air purifier between sleep mode and high speed mode.",30분마다 공기청정기를 수면모드와 강풍모드 사이에서 전환해줘.,"{""name"": """", 
""cron"": """", 
""period"": 1800000,
""script"": ""\nmode := 0\n\nif (mode == 0) {\n\n    (#AirPurifier).airpurifier_setairpurifiermode(\""sleep\"")\n\n    mode = 1\n\n} else {\n\n    (#AirPurifier).airpurifier_setairpurifiermode(\""high\"")\n\n    mode = 0\n\n}""}",,,1800000,"
mode := 0

if (mode == 0) {

    (#AirPurifier).airpurifier_setairpurifiermode(""sleep"")

    mode = 1

} else {

    (#AirPurifier).airpurifier_setairpurifiermode(""high"")

    mode = 0

}",False,69.9,False,strict,False,0.932857,1.0,1.0,1.0,1.0,0.0,0.5,"[""enum_grounding"", ""gt_mismatch"", ""numeric_grounding"", ""semantic""]","{""name"":""ToggleAirPurifierSleepHighEvery30Min"",""cron"":"""",""period"":1800000,""code"":""toggle := false\nif (toggle == false) {\n  (#AirPurifier).airpurifier_setairpurifiermode(\""sleep\"")\n  toggle = true\n} else {\n  (#AirPurifier).airpurifier_setairpurifiermode(\""high\"")\n  toggle = false\n}""}",ToggleAirPurifierSleepHighEvery30Min,,1800000,"toggle := false
if (toggle == false) {
  (#AirPurifier).airpurifier_setairpurifiermode(""sleep"")
  toggle = true
} else {
  (#AirPurifier).airpurifier_setairpurifiermode(""high"")
  toggle = false
}",74499,19657,101,19758,5.7238,6.6977,3451.9026,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""AirPurifier"", ""AirQualitySensor"", ""AirConditioner"", ""Dishwasher"", ""LaundryDryer"", ""RobotVacuumCleaner"", ""Dehumidifier"", ""Humidifier"", ""Plug"", ""Pump""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,8
236,8,8,"Whenever the humidity level drops to 30% or below, turn on the humidifier.",습도가 30% 이하로 떨어질 때마다 가습기를 켜줘.,"{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#HumiditySensor).humiditysensor_humidity <= 30) {\n    if (triggered == false) {\n        (#Humidifier).switch_on()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}",,,100,"triggered := false
if ((#HumiditySensor).humiditysensor_humidity <= 30) {
    if (triggered == false) {
        (#Humidifier).switch_on()
        triggered = true
    }
} else {
    triggered = false
}",False,65.6067,False,strict,False,0.82133,0.5,0.5,0.5,0.2,0.0,1.0,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding""]","{""name"":""HumidityLowTurnOnHumidifier"",""cron"":"""",""period"":100,""code"":""triggered := false\nif ((#HumiditySensor).humiditysensor_humidity <= 30.0) {\n  if (triggered == false) {\n    (#Humidifier).humidifier_sethumidifiermode(\""auto\"")\n    triggered = true\n  }\n} else {\n  triggered = false\n}""}",HumidityLowTurnOnHumidifier,,100,"triggered := false
if ((#HumiditySensor).humiditysensor_humidity <= 30.0) {
  if (triggered == false) {
    (#Humidifier).humidifier_sethumidifiermode(""auto"")
    triggered = true
  }
} else {
  triggered = false
}",77479,20379,102,20481,8.5445,9.4995,2396.9805,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Humidifier"", ""HumiditySensor"", ""Dehumidifier"", ""AirQualitySensor"", ""WeatherProvider"", ""AirPurifier"", ""LevelControl"", ""WindowCovering"", ""Dishwasher"", ""AirConditioner""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,8
237,8,8,"Whenever the rain stops, open the window.",비가 그칠 때마다 창문을 열어줘.,"{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#RainSensor).rainsensor_rain == false) {\n    if (triggered == false) {\n        (#Window).windowcovering_uporopen()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}",,,100,"triggered := false
if ((#RainSensor).rainsensor_rain == false) {
    if (triggered == false) {
        (#Window).windowcovering_uporopen()
        triggered = true
    }
} else {
    triggered = false
}",False,69.9,False,strict,False,0.528926,1.0,1.0,0.75,0.2,1.0,1.0,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage""]","{""name"":""OpenWindowWhenRainStops"",""cron"":"""",""period"":0,""code"":""wait until ((#RainSensor).rainsensor_rain == false)\n(#WindowCovering).windowcovering_uporopen()""}",OpenWindowWhenRainStops,,0,"wait until ((#RainSensor).rainsensor_rain == false)
(#WindowCovering).windowcovering_uporopen()",72839,19256,59,19315,5.7378,6.6431,3366.2728,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""WindowCovering"", ""RainSensor"", ""Door"", ""WeatherProvider"", ""Valve"", ""DoorLock"", ""Pump"", ""Humidifier"", ""LeakSensor"", ""RobotVacuumCleaner""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,8
238,8,8,"Every time the sound sensor value exceeds 30, set the air purifier to sleep mode.",소리 센서 값이 30을 넘길 때마다 공기 청정기를 수면모드로 바꿔줘.,"{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#SoundSensor).soundsensor_sound > 30) {\n    if (triggered == false) {\n        (#AirPurifier).airpurifier_setairpurifiermode(\""sleep\"")\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}",,,100,"triggered := false
if ((#SoundSensor).soundsensor_sound > 30) {
    if (triggered == false) {
        (#AirPurifier).airpurifier_setairpurifiermode(""sleep"")
        triggered = true
    }
} else {
    triggered = false
}",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,0.2,1.0,1.0,[],"{""name"":""SoundSensorTriggerAirPurifierSleepMode"",""cron"":"""",""period"":100,""code"":""triggered := false\nif ((#SoundSensor).soundsensor_sound > 30) {\n  if (triggered == false) {\n    (#AirPurifier).airpurifier_setairpurifiermode(\""sleep\"")\n    triggered = true\n  }\n} else {\n  triggered = false\n}""}",SoundSensorTriggerAirPurifierSleepMode,,100,"triggered := false
if ((#SoundSensor).soundsensor_sound > 30) {
  if (triggered == false) {
    (#AirPurifier).airpurifier_setairpurifiermode(""sleep"")
    triggered = true
  }
} else {
  triggered = false
}",75271,19770,101,19871,3.3037,4.2672,6014.7713,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""AirPurifier"", ""SoundSensor"", ""AirQualitySensor"", ""AudioRecorder"", ""AirConditioner"", ""Siren"", ""PressureSensor"", ""RobotVacuumCleaner"", ""Dishwasher"", ""PresenceVitalSensor""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,8
239,8,8,"Each time the humidity drops below 50%, set the dehumidifier to drying mode.",습도가 50% 밑으로 떨어질 때마다 제습기를 건조모드로 작동해줘.,"{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#HumiditySensor).humiditysensor_humidity < 50) {\n    if (triggered == false) {\n        (#Dehumidifier).dehumidifier_setdehumidifiermode(\""drying\"")\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}",,,100,"triggered := false
if ((#HumiditySensor).humiditysensor_humidity < 50) {
    if (triggered == false) {
        (#Dehumidifier).dehumidifier_setdehumidifiermode(""drying"")
        triggered = true
    }
} else {
    triggered = false
}",False,69.9,False,strict,False,0.997541,1.0,1.0,1.0,0.2,0.0,1.0,"[""dataflow"", ""gt_mismatch"", ""numeric_grounding""]","{""name"":""DehumidifierDryingModeOnLowHumidity"",""cron"":"""",""period"":100,""code"":""triggered := false\nif ((#HumiditySensor).humiditysensor_humidity < 50.0) {\n  if (triggered == false) {\n    (#Dehumidifier).dehumidifier_setdehumidifiermode(\""drying\"")\n    triggered = true\n  }\n} else {\n  triggered = false\n}""}",DehumidifierDryingModeOnLowHumidity,,100,"triggered := false
if ((#HumiditySensor).humiditysensor_humidity < 50.0) {
  if (triggered == false) {
    (#Dehumidifier).dehumidifier_setdehumidifiermode(""drying"")
    triggered = true
  }
} else {
  triggered = false
}",76259,20076,105,20181,4.9499,5.9437,4077.0521,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Dehumidifier"", ""Humidifier"", ""HumiditySensor"", ""Dishwasher"", ""LaundryDryer"", ""AirConditioner"", ""AirPurifier"", ""WeatherProvider"", ""AirQualitySensor"", ""RobotVacuumCleaner""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,8
240,8,8,"Whenever the window opens, make the speaker speak 'The window is open'.",창문이 열릴 때마다 스피커로 '창문이 열렸습니다'라고 말해줘.,"{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#Window).armrobot_currentposition > 0) {\n    if (triggered == false) {\n        (#Speaker).speaker_speak(\""창문이 열렸습니다.\"")\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}",,,100,"triggered := false
if ((#Window).armrobot_currentposition > 0) {
    if (triggered == false) {
        (#Speaker).speaker_speak(""창문이 열렸습니다."")
        triggered = true
    }
} else {
    triggered = false
}",False,69.9,False,strict,False,0.743987,0.5,0.333333,0.5,0.2,1.0,1.0,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","{""name"":""WindowOpenSpeak"",""cron"":"""",""period"":100,""code"":""triggered := false\nif ((#WindowCovering).windowcovering_windowcoveringtype == \""window\"" and (#WindowCovering).windowcovering_currentposition > 0) {\n  if (triggered == false) {\n    (#Speaker).speaker_speak(\""The window is open\"")\n    triggered = true\n  }\n} else {\n  triggered = false\n}""}",WindowOpenSpeak,,100,"triggered := false
if ((#WindowCovering).windowcovering_windowcoveringtype == ""window"" and (#WindowCovering).windowcovering_currentposition > 0) {
  if (triggered == false) {
    (#Speaker).speaker_speak(""The window is open"")
    triggered = true
  }
} else {
  triggered = false
}",78322,20638,111,20749,4.4643,5.4358,4647.7611,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""WindowCovering"", ""Speaker"", ""Door"", ""Valve"", ""DoorLock"", ""Safe"", ""AudioRecorder"", ""Television"", ""Siren"", ""WeatherProvider""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,8
