model_key,model_label,category,generation,genome_id,fitness,train_avg_det_score,train_variance,train_det_pass_rate,train_gt_exact_rate,validation_avg_det_score,validation_variance,validation_det_pass_rate,validation_gt_exact_rate,prompt_tokens,llm_latency_sec,peak_vram_gb,block_01,block_02,block_03,block_06,failure_summary,rank_scope
phi35_mini,Phi-3.5-mini-instruct,1,1,v13compact-2e58e511-7bb2-4fdb-1dbd-3a0e2c39d58a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,generated/v13_gene_pool_ba3c7b2a33/01_v13_caution_compact.txt,generated/v13_gene_pool_ba3c7b2a33/02_v13_service_response_compact.txt,generated/v13_gene_pool_ba3c7b2a33/03_v13_response_contract.txt,generated/v13_gene_pool_ba3c7b2a33/06_v13_grammar_tempo_compact.txt,"{""invalid_json"": 3}",generation_best
phi35_mini,Phi-3.5-mini-instruct,1,2,cross-106e86d1-5a8a-6b7f-9cad-46d43caf74d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,generated/v13_gene_pool_ba3c7b2a33/01_v13_caution_compact.txt,generated/v13_gene_pool_ba3c7b2a33/02_v13_service_response_compact.txt,generated/v13_gene_pool_ba3c7b2a33/03_v13_response_contract.txt,generated/v13_gene_pool_ba3c7b2a33/06_v13_grammar_tempo_compact.txt,"{""invalid_json"": 3}",generation_best
phi35_mini,Phi-3.5-mini-instruct,1,3,cross-106e86d1-5a8a-6b7f-9cad-46d43caf74d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,generated/v13_gene_pool_ba3c7b2a33/01_v13_caution_compact.txt,generated/v13_gene_pool_ba3c7b2a33/02_v13_service_response_compact.txt,generated/v13_gene_pool_ba3c7b2a33/03_v13_response_contract.txt,generated/v13_gene_pool_ba3c7b2a33/06_v13_grammar_tempo_compact.txt,"{""invalid_json"": 3}",generation_best
phi35_mini,Phi-3.5-mini-instruct,2,1,v13compact-79ecd780-05b7-1df3-9473-af3bf23a8608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,generated/v13_gene_pool_ba3c7b2a33/01_v13_caution_compact.txt,generated/v13_gene_pool_ba3c7b2a33/02_v13_service_response_compact.txt,generated/v13_gene_pool_ba3c7b2a33/03_v13_response_contract.txt,generated/v13_gene_pool_ba3c7b2a33/06_v13_grammar_tempo_compact.txt,"{""invalid_json"": 3}",generation_best
phi35_mini,Phi-3.5-mini-instruct,2,2,clone-1cc10e2d-30dd-7b16-82b4-a894ccaa4724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,generated/v13_gene_pool_ba3c7b2a33/01_v13_caution_compact.txt,generated/v13_gene_pool_ba3c7b2a33/02_v13_service_response_compact.txt,generated/v13_gene_pool_ba3c7b2a33/03_v13_response_contract.txt,generated/v13_gene_pool_ba3c7b2a33/06_v13_grammar_tempo_compact.txt,"{""invalid_json"": 3}",generation_best
phi35_mini,Phi-3.5-mini-instruct,2,3,clone-1cc10e2d-30dd-7b16-82b4-a894ccaa4724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,generated/v13_gene_pool_ba3c7b2a33/01_v13_caution_compact.txt,generated/v13_gene_pool_ba3c7b2a33/02_v13_service_response_compact.txt,generated/v13_gene_pool_ba3c7b2a33/03_v13_response_contract.txt,generated/v13_gene_pool_ba3c7b2a33/06_v13_grammar_tempo_compact.txt,"{""invalid_json"": 3}",generation_best
phi35_mini,Phi-3.5-mini-instruct,3,1,v13compact-cc856544-ae17-5182-93eb-48c77fc6b800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,generated/v13_gene_pool_ba3c7b2a33/01_v13_caution_compact.txt,generated/v13_gene_pool_ba3c7b2a33/02_v13_service_response_compact.txt,generated/v13_gene_pool_ba3c7b2a33/03_v13_response_contract.txt,generated/v13_gene_pool_ba3c7b2a33/06_v13_grammar_tempo_compact.txt,"{""invalid_json"": 3}",generation_best
phi35_mini,Phi-3.5-mini-instruct,3,2,mut-121fca99-8bc9-98bd-00d5-80b5b7ed536d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,generated/v13_gene_pool_ba3c7b2a33/01_v13_caution_compact.txt,generated/v13_gene_pool_ba3c7b2a33/02_v13_service_response_compact.txt,generated/v13_gene_pool_ba3c7b2a33/03_v13_response_contract.txt,generated/v13_gene_pool_ba3c7b2a33/06_v13_grammar_tempo_compact.txt,"{""invalid_json"": 3}",generation_best
phi35_mini,Phi-3.5-mini-instruct,3,3,mut-121fca99-8bc9-98bd-00d5-80b5b7ed536d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,generated/v13_gene_pool_ba3c7b2a33/01_v13_caution_compact.txt,generated/v13_gene_pool_ba3c7b2a33/02_v13_service_response_compact.txt,generated/v13_gene_pool_ba3c7b2a33/03_v13_response_contract.txt,generated/v13_gene_pool_ba3c7b2a33/06_v13_grammar_tempo_compact.txt,"{""invalid_json"": 3}",generation_best
phi35_mini,Phi-3.5-mini-instruct,4,1,v13compact-1d030185-b5ba-840e-8157-d586e80ff46c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,generated/v13_gene_pool_ba3c7b2a33/01_v13_caution_compact.txt,generated/v13_gene_pool_ba3c7b2a33/02_v13_service_response_compact.txt,generated/v13_gene_pool_ba3c7b2a33/03_v13_response_contract.txt,generated/v13_gene_pool_ba3c7b2a33/06_v13_grammar_tempo_compact.txt,"{""invalid_json"": 3}",generation_best
