model_key,model_label,row_no,row_category,command_eng,command_kor,det_score,det_pass,gt_exact,failure_reasons,prompt_chars,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,generation_error_type,generation_error_types,oom_flag,worker_python,resolved_model_path,warmup_excluded,selected_candidate_index,repair_applied,candidate_count,generation_call_count,repair_call_count,row_success
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,100.0,True,True,[],78486,19082,53,19135,4.8357,8.0273,3957.0279,17.755,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,0,False,1,1,0,True
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,69.9,False,False,"[""gt_mismatch"", ""numeric_grounding""]",76006,18569,47,18616,4.5787,7.7373,4065.7829,17.6577,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,0,False,1,1,0,False
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,100.0,True,True,[],77893,18879,58,18937,4.9551,8.159,3821.719,17.7179,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,0,False,1,1,0,True
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,100.0,True,True,[],79203,19044,49,19093,4.6941,7.8436,4067.4464,17.7459,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,0,False,1,1,0,True
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,100.0,True,True,[],76383,18397,43,18440,4.3995,7.6127,4191.3854,17.6269,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,0,False,1,1,0,True
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,31,2,Set the living room light to yellow.,거실 조명을 노란색으로 설정해줘.,100.0,True,True,[],67573,15690,60,15750,4.3174,6.7023,3648.0289,17.1228,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,0,False,1,1,0,True
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,32,2,Capture an image of the meeting room with the camera.,카메라로 회의실 사진을 촬영해줘.,100.0,True,True,[],54228,13001,44,13045,3.3068,5.6807,3944.9014,16.6207,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,0,False,1,1,0,True
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,33,2,Set the brightness of the living room light to 80%.,거실 조명의 밝기를 80%로 설정해줘.,93.2031,True,False,"[""arg_type"", ""gt_mismatch"", ""numeric_grounding""]",63969,14950,50,15000,3.885,6.0266,3861.0039,16.9825,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,0,False,1,1,0,True
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,34,2,Set all dehumidifiers in the lab to AI drying mode.,연구실 제습기를 모두 AI건조모드로 설정해줘.,100.0,True,True,[],52585,12964,64,13028,3.8474,6.2213,3386.1829,16.6143,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,0,False,1,1,0,True
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,35,2,Set the hue of the living room light to 240 and the saturation to 80.,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.",58.5016,False,False,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding""]",63995,14959,58,15017,4.0774,6.436,3682.9843,16.9842,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,0,False,1,1,0,False
