row_no,category,row_category,command_eng,command_kor,gt,gt_name,gt_cron,gt_period,gt_code,warmup_excluded,qwen25_coder_14b__det_score,qwen25_coder_14b__det_pass,qwen25_coder_14b__det_gt_exact,qwen25_coder_14b__det_gt_similarity,qwen25_coder_14b__failure_reasons,qwen25_coder_14b__output,qwen25_coder_14b__output_name,qwen25_coder_14b__output_cron,qwen25_coder_14b__output_period,qwen25_coder_14b__output_code,qwen25_coder_14b__prompt_chars,qwen25_coder_14b__prompt_tokens,qwen25_coder_14b__completion_tokens,qwen25_coder_14b__total_tokens,qwen25_coder_14b__llm_latency_sec,qwen25_coder_14b__total_pipeline_sec,qwen25_coder_14b__tokens_per_sec,qwen25_coder_14b__peak_vram_gb,qwen25_coder_14b__generation_error_type,qwen25_coder_14b__oom_flag,qwen25_coder_14b__worker_python,qwen25_coder_14b__resolved_model_path,qwen25_coder_14b__service_list_snippet_source,qwen25_coder_14b__service_list_device_count,qwen25_coder_14b__service_list_retrieval_status,qwen25_coder_14b__service_list_retrieval_mode,qwen25_coder_14b__service_list_retrieval_topk,qwen25_coder_14b__service_list_retrieval_categories,qwen25_coder_14b__warmup_excluded,qwen25_coder_14b__row_category,qwen25_coder_7b__det_score,qwen25_coder_7b__det_pass,qwen25_coder_7b__det_gt_exact,qwen25_coder_7b__det_gt_similarity,qwen25_coder_7b__failure_reasons,qwen25_coder_7b__output,qwen25_coder_7b__output_name,qwen25_coder_7b__output_cron,qwen25_coder_7b__output_period,qwen25_coder_7b__output_code,qwen25_coder_7b__prompt_chars,qwen25_coder_7b__prompt_tokens,qwen25_coder_7b__completion_tokens,qwen25_coder_7b__total_tokens,qwen25_coder_7b__llm_latency_sec,qwen25_coder_7b__total_pipeline_sec,qwen25_coder_7b__tokens_per_sec,qwen25_coder_7b__peak_vram_gb,qwen25_coder_7b__generation_error_type,qwen25_coder_7b__oom_flag,qwen25_coder_7b__worker_python,qwen25_coder_7b__resolved_model_path,qwen25_coder_7b__service_list_snippet_source,qwen25_coder_7b__service_list_device_count,qwen25_coder_7b__service_list_retrieval_status,qwen25_coder_7b__service_list_retrieval_mode,qwen25_coder_7b__service_list_retrieval_topk,qwen25_coder_7b__service_list_retrieval_categories,qwen25_coder_7b__warmup_excluded,qwen25_coder_7b__row_category
1,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).Dishwasher_SetDishwasherMode(\""dry\"")""}",,,0,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")",False,89.8937,True,False,0.953125,"[""arg_type"", ""gt_mismatch""]","{""name"":""SwitchDishwasherToDryMode"",""cron"":"""",""period"":0,""code"":""(#Dishwasher).dishwasher_setdishwashermode(dry)""}",SwitchDishwasherToDryMode,,0,(#Dishwasher).dishwasher_setdishwashermode(dry),153403,31867,52,31919,32.2601,34.62,989.4266,37.0605,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,service_schema_fallback,50,disabled,hybrid,10,[],False,1,96.7414,True,False,0.891379,"[""gt_mismatch""]","{""name"":""SwitchDishwasherToDryMode"",""cron"":"""",""period"":0,""code"":""(#Dishwasher).setdishwashermode(\""dry\"")""}",SwitchDishwasherToDryMode,,0,"(#Dishwasher).setdishwashermode(""dry"")",153403,31867,51,31918,17.8665,20.3343,1786.4719,20.1412,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,service_schema_fallback,50,disabled,hybrid,10,[],False,1
2,1,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).Oven_AddMoreTime(300)""}",,,0,(#Oven).Oven_AddMoreTime(300),False,93.1379,True,False,0.937931,"[""gt_mismatch"", ""semantic""]","{""name"":""Add5MinutesToOven"",""cron"":"""",""period"":0,""code"":""(#Oven).oven_addmoretime(300)""}",Add5MinutesToOven,,0,(#Oven).oven_addmoretime(300),153395,31868,49,31917,17.5962,19.9892,1813.8575,37.0608,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,service_schema_fallback,50,disabled,hybrid,10,[],False,1,24.0,False,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":"""",""cron"":"""",""period"":0,""code"":""""}",,,0,,153395,31868,6,31874,6.4066,8.7705,4975.1818,20.1412,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,service_schema_fallback,50,disabled,hybrid,10,[],False,1
3,1,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).RiceCooker_SetCookingParameters(\""cooking\"", 1800)""}",,,0,"(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)",False,74.9018,True,False,0.613393,"[""arg_type"", ""gt_mismatch"", ""semantic""]","{""name"":""StartRiceCooker"",""cron"":"""",""period"":0,""code"":""(#RiceCooker).ricecooker_setricecookermode(cooking)""}",StartRiceCooker,,0,(#RiceCooker).ricecooker_setricecookermode(cooking),153422,31873,52,31925,17.9302,20.3003,1780.5156,37.0617,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,service_schema_fallback,50,disabled,hybrid,10,[],False,1,92.8932,True,False,0.936719,"[""arg_type"", ""gt_mismatch""]","{""name"":""StartRiceCooker"",""cron"":"""",""period"":0,""code"":""(#RiceCooker).ricecooker_setcookingparameters(\""cooking\"", 30 * 60 * 1000)""}",StartRiceCooker,,0,"(#RiceCooker).ricecooker_setcookingparameters(""cooking"", 30 * 60 * 1000)",153422,31873,66,31939,8.3557,10.739,3822.4206,20.1407,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,service_schema_fallback,50,disabled,hybrid,10,[],False,1
4,1,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).Siren_SetSirenMode(\""emergency\"")""}",,,0,"(#Siren).Siren_SetSirenMode(""emergency"")",False,88.7692,True,False,0.942308,"[""arg_type"", ""gt_mismatch""]","{""name"":""SetSirenToEmergencyMode"",""cron"":"""",""period"":0,""code"":""(#Siren).siren_setsirenmode(emergency)""}",SetSirenToEmergencyMode,,0,(#Siren).siren_setsirenmode(emergency),153401,31868,48,31916,17.6724,20.0472,1805.9799,37.0608,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,service_schema_fallback,50,disabled,hybrid,10,[],False,1,49.08,False,False,0.636,"[""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match"", ""unknown_service:set""]","{""name"":""SetSirenEmergencyMode"",""cron"":"""",""period"":0,""code"":""(#Siren).set sirens_mode(emergency)""}",SetSirenEmergencyMode,,0,(#Siren).set sirens_mode(emergency),153401,31868,46,31914,7.7532,10.1771,4116.2359,20.1412,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,service_schema_fallback,50,disabled,hybrid,10,[],False,1
5,1,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).Speaker_SetVolume(30)""}",,,0,(#Speaker).Speaker_SetVolume(30),False,97.5344,True,False,0.957813,"[""gt_mismatch""]","{""name"":""SetSpeakerVolume"",""cron"":"""",""period"":0,""code"":""(#Speaker).speaker_setvolume(30)""}",SetSpeakerVolume,,0,(#Speaker).speaker_setvolume(30),153398,31869,43,31912,17.4143,19.8445,1832.517,37.0606,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,service_schema_fallback,50,disabled,hybrid,10,[],False,1,95.9071,True,False,0.903571,"[""gt_mismatch""]","{""name"":""SetSpeakerVolume"",""cron"":"""",""period"":0,""code"":""(#Speaker).setvolume(30)""}",SetSpeakerVolume,,0,(#Speaker).setvolume(30),153398,31869,42,31911,7.6258,9.9832,4184.6101,20.1407,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,service_schema_fallback,50,disabled,hybrid,10,[],False,1
6,1,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).Television_ChannelDown()""}",,,0,(#Television).Television_ChannelDown(),False,96.9342,True,False,0.964474,"[""gt_mismatch""]","{""name"":""TurnTVChannelDown"",""cron"":"""",""period"":0,""code"":""(#Television).television_channeldown()""}",TurnTVChannelDown,,0,(#Television).television_channeldown(),153401,31868,45,31913,17.5151,19.6579,1822.0279,37.0608,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,service_schema_fallback,50,disabled,hybrid,10,[],False,1,24.0,False,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":"""",""cron"":"""",""period"":0,""code"":""""}",,,0,,153401,31868,6,31874,6.5712,8.9453,4850.56,20.1412,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,service_schema_fallback,50,disabled,hybrid,10,[],False,1
7,1,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).Television_SetChannel(7)""}",,,0,(#Television).Television_SetChannel(7),False,96.5342,True,False,0.964474,"[""gt_mismatch""]","{""name"":""SwitchTVToChannel7"",""cron"":"""",""period"":0,""code"":""(#Television).television_setchannel(7)""}",SwitchTVToChannel7,,0,(#Television).television_setchannel(7),153396,31868,46,31914,17.5675,19.9413,1816.6501,37.0608,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,service_schema_fallback,50,disabled,hybrid,10,[],False,1,94.9,True,False,0.91,"[""gt_mismatch""]","{""name"":""SwitchTVChannel7"",""cron"":"""",""period"":0,""code"":""(#Television).setchannel(7)""}",SwitchTVChannel7,,0,(#Television).setchannel(7),153396,31868,43,31911,7.7327,10.0999,4126.7604,20.1412,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,service_schema_fallback,50,disabled,hybrid,10,[],False,1
8,1,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).TemperatureSensor_Temperature\n\n(#Speaker).Speaker_Speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",,,0,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",False,29.4197,False,False,0.480657,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match"", ""unknown_service:temperature_sensor_temperature""]","{""name"":""AnnounceTemperatureThroughSpeaker"",""cron"":"""",""period"":0,""code"":""(#TemperatureSensor).temperature_sensor_temperature().speaker_speak(\""The current temperature is \"" + (#TemperatureSensor).temperature_sensor_temperature() + \"" degrees Celsius.\"")""}",AnnounceTemperatureThroughSpeaker,,0,"(#TemperatureSensor).temperature_sensor_temperature().speaker_speak(""The current temperature is "" + (#TemperatureSensor).temperature_sensor_temperature() + "" degrees Celsius."")",153414,31868,68,31936,19.1584,21.6136,1666.945,37.0608,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,service_schema_fallback,50,disabled,hybrid,10,[],False,1,44.4351,False,False,0.481169,"[""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match"", ""unknown_service:temperature_sensor""]","{""name"":""AnnounceTemperature"",""cron"":"""",""period"":0,""code"":""(#AirQualitySensor).temperature_sensor.temperature()""}",AnnounceTemperature,,0,(#AirQualitySensor).temperature_sensor.temperature(),153414,31868,42,31910,7.7903,10.2287,4096.1195,20.1412,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,service_schema_fallback,50,disabled,hybrid,10,[],False,1
9,1,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).WeatherProvider_TemperatureWeather\n\n(#Speaker).Speaker_Speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}",,,0,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",False,24.0,False,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""TellOutdoorTemperatureThroughSpeaker"",""cron"":"""",""period"":0,""code"":""""}",TellOutdoorTemperatureThroughSpeaker,,0,,153421,31869,35,31904,16.8231,19.2721,1896.44,37.0606,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,service_schema_fallback,50,disabled,hybrid,10,[],False,1,24.0,False,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""TellOutdoorTemperature"",""cron"":"""",""period"":0,""code"":""""}",TellOutdoorTemperature,,0,,153421,31869,33,31902,7.5269,9.8593,4238.3983,20.1407,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,service_schema_fallback,50,disabled,hybrid,10,[],False,1
10,1,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).HumiditySensor_Humidity\n\n(#Speaker).Speaker_Speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}",,,0,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",False,80.4594,True,False,0.462931,"[""gt_mismatch""]","{""name"":""TellHumidityThroughSpeaker"",""cron"":"""",""period"":0,""code"":""(#AirQualitySensor).airqualitysensor_humidity().speaker_speak(\""The current humidity is \"" + (#AirQualitySensor).airqualitysensor_humidity() + \""%\"")""}",TellHumidityThroughSpeaker,,0,"(#AirQualitySensor).airqualitysensor_humidity().speaker_speak(""The current humidity is "" + (#AirQualitySensor).airqualitysensor_humidity() + ""%"")",153418,31869,71,31940,19.43,21.8327,1643.8497,37.0606,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,service_schema_fallback,50,disabled,hybrid,10,[],False,1,82.0279,True,False,0.515217,"[""gt_mismatch""]","{""name"":""TellMeCurrentHumidity"",""cron"":"""",""period"":0,""code"":""(#AirQualitySensor).airqualitysensor_humidity()""}",TellMeCurrentHumidity,,0,(#AirQualitySensor).airqualitysensor_humidity(),153418,31869,46,31915,7.9364,10.356,4021.3447,20.1407,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,service_schema_fallback,50,disabled,hybrid,10,[],False,1
