row_no,category,row_category,command_eng,command_kor,gt,gt_name,gt_cron,gt_period,gt_code,warmup_excluded,gpt41_mini__det_score,gpt41_mini__det_pass,gpt41_mini__det_profile,gpt41_mini__det_gt_exact,gpt41_mini__det_gt_similarity,gpt41_mini__det_gt_service_coverage,gpt41_mini__det_gt_service_precision,gpt41_mini__det_gt_receiver_coverage,gpt41_mini__det_dataflow_score,gpt41_mini__det_numeric_grounding,gpt41_mini__det_enum_grounding,gpt41_mini__failure_reasons,gpt41_mini__output,gpt41_mini__output_name,gpt41_mini__output_cron,gpt41_mini__output_period,gpt41_mini__output_code,gpt41_mini__prompt_chars,gpt41_mini__prompt_tokens,gpt41_mini__completion_tokens,gpt41_mini__total_tokens,gpt41_mini__llm_latency_sec,gpt41_mini__total_pipeline_sec,gpt41_mini__tokens_per_sec,gpt41_mini__peak_vram_gb,gpt41_mini__generation_error_type,gpt41_mini__oom_flag,gpt41_mini__worker_python,gpt41_mini__resolved_model_path,gpt41_mini__service_list_snippet_source,gpt41_mini__service_list_device_count,gpt41_mini__service_list_retrieval_status,gpt41_mini__service_list_retrieval_mode,gpt41_mini__service_list_retrieval_topk,gpt41_mini__service_list_retrieval_categories,gpt41_mini__prompt_render_mode,gpt41_mini__prompt_assets_dir,gpt41_mini__warmup_excluded,gpt41_mini__row_category
181,7,7,"Every 10 minutes, if the temperature is 30 degrees or higher, set the air conditioner to cool mode.",10분마다 확인해서 온도가 30도 이상이면 에어컨을 쿨모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 600000, 
""script"": ""\nif ((#TemperatureSensor).temperaturesensor_temperature >= 30) {\n\n    (#AirConditioner).airconditioner_setairconditionermode(\""cool\"")\n\n}""}",,,600000,"
if ((#TemperatureSensor).temperaturesensor_temperature >= 30) {

    (#AirConditioner).airconditioner_setairconditionermode(""cool"")

}",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""AirConditionerCoolModeOnHighTemp"",""cron"":"""",""period"":600000,""code"":""if ((#TemperatureSensor).temperaturesensor_temperature >= 30) {\n  (#AirConditioner).airconditioner_setairconditionermode(\""cool\"")\n}""}",AirConditionerCoolModeOnHighTemp,,600000,"if ((#TemperatureSensor).temperaturesensor_temperature >= 30) {
  (#AirConditioner).airconditioner_setairconditionermode(""cool"")
}",104388,27290,72,27362,5.3204,10.6109,5142.8464,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""TemperatureSensor"", ""AirConditioner"", ""AirPurifier"", ""AirQualitySensor"", ""ArmRobot"", ""Oven"", ""LaundryDryer"", ""Dishwasher"", ""WeatherProvider"", ""Dehumidifier""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,7
182,7,7,"Every 30 minutes, if the temperature is 20 degrees or higher and below 30 degrees, set the air conditioner to auto mode; if it is 30 degrees or higher, set it to cool mode.","30분마다 체크해서 온도가 20도 이상, 30도 미만이면 에어컨을 자동모드로 설정하고, 30도 이상이면 쿨모드로 설정해줘.","{""name"": """", 
""cron"": """", 
""period"": 1800000, 
""script"": ""\ntemp = (#TemperatureSensor).temperaturesensor_temperature\n\nif (temp >= 20 and temp < 30) {\n\n    (#AirConditioner).airconditioner_setairconditionermode(\""auto\"")\n\n} else if (temp >= 30) {\n\n    (#AirConditioner).airconditioner_setairconditionermode(\""cool\"")\n\n}""}",,,1800000,"
temp = (#TemperatureSensor).temperaturesensor_temperature

if (temp >= 20 and temp < 30) {

    (#AirConditioner).airconditioner_setairconditionermode(""auto"")

} else if (temp >= 30) {

    (#AirConditioner).airconditioner_setairconditionermode(""cool"")

}",False,94.495,True,strict,False,0.999002,1.0,1.0,1.0,1.0,1.0,0.5,"[""enum_grounding"", ""gt_mismatch""]","{""name"":""AirConditionerModeByTemperature"",""cron"":"""",""period"":1800000,""code"":""temp := (#TemperatureSensor).temperaturesensor_temperature\nif (temp >= 20 and temp < 30) {\n  (#AirConditioner).airconditioner_setairconditionermode(\""auto\"")\n} else if (temp >= 30) {\n  (#AirConditioner).airconditioner_setairconditionermode(\""cool\"")\n}""}",AirConditionerModeByTemperature,,1800000,"temp := (#TemperatureSensor).temperaturesensor_temperature
if (temp >= 20 and temp < 30) {
  (#AirConditioner).airconditioner_setairconditionermode(""auto"")
} else if (temp >= 30) {
  (#AirConditioner).airconditioner_setairconditionermode(""cool"")
}",104490,27328,108,27436,4.4468,5.4471,6169.83,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""TemperatureSensor"", ""AirConditioner"", ""AirPurifier"", ""AirQualitySensor"", ""ArmRobot"", ""LaundryDryer"", ""Oven"", ""Dishwasher"", ""Dehumidifier"", ""WeatherProvider""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,7
183,7,7,Lock the doorlock every day at midnight.,매일 자정에 도어락을 잠궈줘.,"{""name"": """", 
""cron"": ""0 0 * * *"", 
""period"": 0, 
""script"": ""\n(#DoorLock).doorlock_lock()""}",,0 0 * * *,0,"
(#DoorLock).doorlock_lock()",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""LockDoorlockAtMidnight"",""cron"":""0 0 * * *"",""period"":0,""code"":""(#DoorLock).doorlock_lock()""}",LockDoorlockAtMidnight,0 0 * * *,0,(#DoorLock).doorlock_lock(),103681,27236,47,27283,1.5364,2.4845,17757.7454,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Door"", ""DoorLock"", ""Safe"", ""ArmRobot"", ""Clock"", ""Plug"", ""LaundryDryer"", ""Dishwasher"", ""WindowCovering"", ""Charger""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,7
184,7,7,"On weekends at 3 PM, check for leakage; if detected, set the siren to emergency mode.",주말 오후 3시에 누수를 체크해서 감지되면 긴급 사이렌을 울려줘.,"{""name"": """", 
""cron"": ""0 15 * * 6,7"", 
""period"": 0, 
""script"": ""\nif ((#LeakSensor).leaksensor_leakage == true) {\n\n    (#Siren).siren_setsirenmode(\""emergency\"")\n}""}",,"0 15 * * 6,7",0,"
if ((#LeakSensor).leaksensor_leakage == true) {

    (#Siren).siren_setsirenmode(""emergency"")
}",False,93.9167,True,strict,False,0.85,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch"", ""semantic""]","{""name"":""WeekendLeakageSirenEmergency"",""cron"":""0 15 * * 6,0"",""period"":0,""code"":""if ((#LeakSensor).leaksensor_leakage == true) {\n  (#Siren).siren_setsirenmode(\""emergency\"")\n}""}",WeekendLeakageSirenEmergency,"0 15 * * 6,0",0,"if ((#LeakSensor).leaksensor_leakage == true) {
  (#Siren).siren_setsirenmode(""emergency"")
}",99389,26041,75,26116,2.9968,3.9642,8714.6289,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""PresenceSensor"", ""Siren"", ""LeakSensor"", ""Pump"", ""ArmRobot"", ""Charger"", ""PresenceVitalSensor"", ""Oven"", ""Safe"", ""RainSensor""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,7
185,7,7,Set the rice cooker to reheating mode every morning at 7 AM.,매일 아침 7시에 밥솥을 재가열 모드로 설정해줘.,"{""name"": """", 
""cron"": ""0 7 * * *"", 
""period"": 0, 
""script"": ""\n(#RiceCooker).ricecooker_setricecookermode(\""reheating\"")""}",,0 7 * * *,0,"
(#RiceCooker).ricecooker_setricecookermode(""reheating"")",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""SetRiceCookerReheatingAt7AM"",""cron"":""0 7 * * *"",""period"":0,""code"":""(#RiceCooker).ricecooker_setricecookermode(\""reheating\"")""}",SetRiceCookerReheatingAt7AM,0 7 * * *,0,"(#RiceCooker).ricecooker_setricecookermode(""reheating"")",102379,26796,61,26857,3.689,4.6748,7280.2928,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""RiceCooker"", ""Oven"", ""ArmRobot"", ""Dishwasher"", ""AirConditioner"", ""RobotVacuumCleaner"", ""Television"", ""Charger"", ""Pump"", ""LaundryDryer""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,7
186,7,7,"Every 30 minutes on weekend afternoons, set the robot vacuum cleaner to auto mode.",주말 오후에 30분마다 로봇청소기를 자동모드로 작동시켜줘.,"{""name"": """", 
""cron"": ""0 12 * * 6,7"", 
""period"": 1800000, 
""script"": ""\nif ((#Clock).clock_hour == 0) {\n\n    break\n\n}\n\n(#RobotVacuumCleaner).robotvacuumcleaner_setrobotvacuumcleanermodemode(\""auto\"")""}",,"0 12 * * 6,7",1800000,"
if ((#Clock).clock_hour == 0) {

    break

}

(#RobotVacuumCleaner).robotvacuumcleaner_setrobotvacuumcleanermodemode(""auto"")",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""WeekendAfternoonRobotVacuumAutoMode"",""cron"":""0 12 * * 6,7"",""period"":1800000,""code"":""if ((#Clock).clock_hour == 0) {\n    break\n}\n\n(#RobotVacuumCleaner).robotvacuumcleaner_setrobotvacuumcleanermodemode(\""auto\"")""}",WeekendAfternoonRobotVacuumAutoMode,"0 12 * * 6,7",1800000,"if ((#Clock).clock_hour == 0) {
    break
}

(#RobotVacuumCleaner).robotvacuumcleaner_setrobotvacuumcleanermodemode(""auto"")",101656,26634,70,26704,2.1382,3.1305,12489.0094,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""RobotVacuumCleaner"", ""ArmRobot"", ""Dishwasher"", ""LaundryDryer"", ""AirPurifier"", ""ColorControl"", ""Pump"", ""RiceCooker"", ""Charger"", ""AirQualitySensor""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,7
187,7,7,"From 10 PM to midnight every 10 minutes, sound the emergency siren.",밤10시부터 자정까지 10분마다 긴급 사이렌을 울려줘.,"{""name"": """", 
""cron"": ""0 22 * * *"", 
""period"": 600000, 
""script"": ""\nif ((#Clock).clock_hour == 0) {\n\n    break\n\n}\n\n(#Siren).siren_setsirenmode(\""emergency\"")""}",,0 22 * * *,600000,"
if ((#Clock).clock_hour == 0) {

    break

}

(#Siren).siren_setsirenmode(""emergency"")",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""EmergencySirenEvery10MinutesAtNight"",""cron"":""0 22 * * *"",""period"":600000,""code"":""if ((#Clock).clock_hour == 0) {\n    break\n}\n\n(#Siren).siren_setsirenmode(\""emergency\"")""}",EmergencySirenEvery10MinutesAtNight,0 22 * * *,600000,"if ((#Clock).clock_hour == 0) {
    break
}

(#Siren).siren_setsirenmode(""emergency"")",107856,28269,89,28358,2.0288,3.0065,13977.7208,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Siren"", ""ArmRobot"", ""SoundSensor"", ""Charger"", ""Clock"", ""PresenceVitalSensor"", ""AudioRecorder"", ""Speaker"", ""Button"", ""Oven""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,7
188,7,7,"On weekdays from 8 AM to midnight every hour, capture an image with the camera.",평일 오전 8시부터 자정까지 한 시간마다 카메라로 사진을 찍어줘.,"{""name"": """", 
""cron"": ""0 0,8-23 * * 1-5"", 
""period"": 0, 
""script"": ""\n(#Camera).camera_captureimage()""}",,"0 0,8-23 * * 1-5",0,"
(#Camera).camera_captureimage()",False,95.0731,True,strict,False,0.614615,1.0,0.5,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""WeekdayHourlyCameraCapture"",""cron"":""0 8 * * 1-5"",""period"":3600000,""code"":""if (((#Clock).clock_hour >= 8) and ((#Clock).clock_hour < 24)) {\n  (#Camera).camera_captureimage()\n} else {\n  break\n}""}",WeekdayHourlyCameraCapture,0 8 * * 1-5,3600000,"if (((#Clock).clock_hour >= 8) and ((#Clock).clock_hour < 24)) {
  (#Camera).camera_captureimage()
} else {
  break
}",106986,27901,83,27984,2.8875,3.9761,9691.4286,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Camera"", ""ArmRobot"", ""Clock"", ""ColorControl"", ""CarbonDioxideSensor"", ""Charger"", ""Television"", ""PresenceVitalSensor"", ""FaceRecognizer"", ""AudioRecorder""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,7
189,7,7,"When the new year begins, make the arm robot say hello.",새해가 되면 로봇팔로 인사해줘.,"{""name"": """", 
""cron"": ""0 0 1 1 *"", 
""period"": 0, 
""script"": ""\n(#ArmRobot).armrobot_hello()""}",,0 0 1 1 *,0,"
(#ArmRobot).armrobot_hello()",False,91.0029,True,strict,False,0.617241,1.0,0.333333,1.0,1.0,1.0,1.0,"[""extraneous"", ""gt_mismatch""]","{""name"":""NewYearArmRobotGreeting"",""cron"":"""",""period"":0,""code"":""wait until ((#Clock).clock_month == 1 and (#Clock).clock_day == 1)\n(#ArmRobot).armrobot_hello()""}",NewYearArmRobotGreeting,,0,"wait until ((#Clock).clock_month == 1 and (#Clock).clock_day == 1)
(#ArmRobot).armrobot_hello()",106283,27825,62,27887,2.0195,3.1986,13808.8636,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""ArmRobot"", ""RobotVacuumCleaner"", ""Button"", ""RiceCooker"", ""FaceRecognizer"", ""Clock"", ""Charger"", ""EmailProvider"", ""Valve""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,7
190,7,7,"On weekdays at 7 AM, start the rice cooker in auto-cleaning mode.",평일 오전 7시에 밥솥을 자동청소 모드로 작동해줘.,"{""name"": """", 
""cron"": ""0 7 * * 1-5"", 
""period"": 0, 
""script"": ""\n(#RiceCooker).ricecooker_setricecookermode(\""autoClean\"")""}",,0 7 * * 1-5,0,"
(#RiceCooker).ricecooker_setricecookermode(""autoClean"")",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""Weekday 7AM RiceCooker AutoClean"",""cron"":""0 7 * * 1-5"",""period"":0,""code"":""(#RiceCooker).ricecooker_setricecookermode(\""autoClean\"")""}",Weekday 7AM RiceCooker AutoClean,0 7 * * 1-5,0,"(#RiceCooker).ricecooker_setricecookermode(""autoClean"")",101514,26623,63,26686,1.8883,2.9445,14132.2883,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""RiceCooker"", ""Oven"", ""RobotVacuumCleaner"", ""Dishwasher"", ""ArmRobot"", ""LaundryDryer"", ""Charger"", ""Pump"", ""Television"", ""AirPurifier""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,7
