failure_type,affected_block_family,suggested_mutation_type,prompt_block_id,failure_count,original_failure_reasons,rule,priority,generation,model_key
semantic_error,DET_Helper,add_targeted_repair_hint,06,95,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,54,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,1,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,45,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,1,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,41,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,1,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,36,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,1,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,25,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,1,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,24,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,1,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,20,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:airpurifier_setdehumidifiermode|unknown_service:contactsensor_presence|unknown_service:light_on|unknown_service:tvchannelup,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,1,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,17,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,1,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,3,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,96,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,57,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,2,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,38,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,2,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,38,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,2,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,37,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,2,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,25,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,2,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,25,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:airpurifier_setdehumidifiermode|unknown_service:contactsensor_presence,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,2,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,21,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,2,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,13,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,2,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,qwen25_coder_14b
