index,category,command_kor,command_eng,gt_raw,connected_devices,gt,profile,output_joicode,output_name,output_cron,output_period,output_code,output_model_label,output_request_model,output_selected_model,output_translated_sentence,output_generation_error,output_response_time,output_prompt_tokens,output_completion_tokens,output_total_tokens,det_row_no,det_dataset_index,det_command,det_pass,det_sdet,det_script_similarity,det_fatal_reasons,det_predicted_services,det_reference_script,det_predicted_script
1,1,식기세척기를 건조 모드로 설정해줘.,Switch the dishwasher to dry mode.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).SetDishwasherMode(\""dry\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).Dishwasher_SetDishwasherMode(\""dry\"")""}",version0_12,"{""name"": ""SetDishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).DishwasherMode_setDishwasherMode(\""dry\"")""}",SetDishwasherDryMode,,-1,"(#Dishwasher).DishwasherMode_setDishwasherMode(""dry"")",Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 식기세척기를 건조 모드로 설정한다.,,12.2308 seconds,31167,54,31221,1,1,식기세척기를 건조 모드로 설정해줘.,False,0.0,0.941176,unknown_services:DishwasherMode_setDishwasherMode,DishwasherMode_setDishwasherMode,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")","(#Dishwasher).DishwasherMode_setDishwasherMode(""dry"")"
2,1,오븐의 작동 시간을 5분 늘려줘.,Add 5 minutes to the oven.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).AddMoreTime(300)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).Oven_AddMoreTime(300)""}",version0_12,"{""name"": ""IncreaseOvenDuration"", ""cron"": """", ""period"": -1, ""code"": ""(#Oven).ovenOperatingState_increaseDuration(5)""}",IncreaseOvenDuration,,-1,(#Oven).ovenOperatingState_increaseDuration(5),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 오븐의 작동 시간을 5분 연장한다.,,12.3610 seconds,31167,46,31213,2,2,오븐의 작동 시간을 5분 늘려줘.,False,0.0,0.453333,unknown_services:ovenOperatingState_increaseDuration,ovenOperatingState_increaseDuration,(#Oven).Oven_AddMoreTime(300),(#Oven).ovenOperatingState_increaseDuration(5)
3,1,밥솥을 조리 모드로 30분 작동시켜.,Start the rice cooker on cooking mode for 30 minutes.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).SetCookingParameters(\""cooking\"", 1800)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).RiceCooker_SetCookingParameters(\""cooking\"", 1800)""}",version0_12,"{""name"": ""RiceCookerCooking"", ""cron"": """", ""period"": -1, ""code"": ""(#RiceCooker).RiceCookerMode_setRiceCookerMode(\""cooking\"")\n(#RiceCooker).RiceCookerMode_addMoreTime(1800)""}",RiceCookerCooking,,-1,"(#RiceCooker).RiceCookerMode_setRiceCookerMode(""cooking"")
(#RiceCooker).RiceCookerMode_addMoreTime(1800)",Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"먼저 임의의 밥솥을 취사 모드로 설정하고, 그 다음 1800초를 추가한다.",,12.8800 seconds,31170,79,31249,3,3,밥솥을 조리 모드로 30분 작동시켜.,False,0.0,0.585366,"unknown_services:RiceCookerMode_addMoreTime,RiceCookerMode_setRiceCookerMode","RiceCookerMode_addMoreTime, RiceCookerMode_setRiceCookerMode","(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)","(#RiceCooker).RiceCookerMode_setRiceCookerMode(""cooking"")
(#RiceCooker).RiceCookerMode_addMoreTime(1800)"
4,1,사이렌을 응급모드로 울려줘.,Set the siren to emergency mode.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).SetSirenMode(\""emergency\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).Siren_SetSirenMode(\""emergency\"")""}",version0_12,"{""name"": ""EmergencySiren"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).SirenMode_setSirenMode(\""emergency\"")""}",EmergencySiren,,-1,"(#Siren).SirenMode_setSirenMode(""emergency"")",Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 사이렌을 긴급 모드로 켠다.,,12.4830 seconds,31166,48,31214,4,4,사이렌을 응급모드로 울려줘.,False,0.0,0.928571,unknown_services:SirenMode_setSirenMode,SirenMode_setSirenMode,"(#Siren).Siren_SetSirenMode(""emergency"")","(#Siren).SirenMode_setSirenMode(""emergency"")"
5,1,스피커의 볼륨을 30으로 설정해줘.,Set the speaker volume to 30.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).SetVolume(30)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).Speaker_SetVolume(30)""}",version0_12,"{""name"": ""SetSpeakerVolume"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).Speaker_Volume(30)""}",SetSpeakerVolume,,-1,(#Speaker).Speaker_Volume(30),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 스피커 볼륨을 30으로 설정한다.,,12.0863 seconds,31170,43,31213,5,5,스피커의 볼륨을 30으로 설정해줘.,False,0.0,0.95082,unknown_services:Speaker_Volume,Speaker_Volume,(#Speaker).Speaker_SetVolume(30),(#Speaker).Speaker_Volume(30)
6,1,TV 채널을 하나 내려줘.,Turn the TV channel down by one.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).ChannelDown()""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).Television_ChannelDown()""}",version0_12,"{""name"": ""TVChannelDown"", ""cron"": """", ""period"": -1, ""code"": ""(#Television).Television_ChannelDown()""}",TVChannelDown,,-1,(#Television).Television_ChannelDown(),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 텔레비전을 채널 내림한다.,,12.2758 seconds,31163,42,31205,6,6,TV 채널을 하나 내려줘.,False,0.0,1.0,unknown_services:Television_ChannelDown,Television_ChannelDown,(#Television).Television_ChannelDown(),(#Television).Television_ChannelDown()
7,1,TV로 7번 채널을 틀어줘.,Switch the TV to channel 7.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).SetChannel(7)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).Television_SetChannel(7)""}",version0_12,"{""name"": ""TVChannelChange"", ""cron"": """", ""period"": -1, ""code"": ""(#Television).Television_SetChannel(7)""}",TVChannelChange,,-1,(#Television).Television_SetChannel(7),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 텔레비전 채널을 7번으로 변경한다.,,12.1814 seconds,31168,44,31212,7,7,TV로 7번 채널을 틀어줘.,False,0.0,1.0,unknown_services:Television_SetChannel,Television_SetChannel,(#Television).Television_SetChannel(7),(#Television).Television_SetChannel(7)
8,1,현재 온도를 스피커로 알려줘.,Announce the temperature through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).Temperature\n\n(#Speaker).Speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).TemperatureSensor_Temperature\n\n(#Speaker).Speaker_Speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",version0_12,"{""name"": ""ReportCurrentTemperature"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).Speaker_Speak((#TemperatureSensor).temperatureMeasurement_temperature)""}",ReportCurrentTemperature,,-1,(#Speaker).Speaker_Speak((#TemperatureSensor).temperatureMeasurement_temperature),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"임의의 온도를 측정한 후, 임의의 스피커로 그 온도를 말한다.",,12.3069 seconds,31166,48,31214,8,8,현재 온도를 스피커로 알려줘.,False,0.0,0.331492,unknown_services:Speaker_Speak,Speaker_Speak,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",(#Speaker).Speaker_Speak((#TemperatureSensor).temperatureMeasurement_temperature)
9,1,외부 온도를 스피커로 출력해줘.,Tell me the outdoor temperature through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).TemperatureWeather\n\n(#Speaker).Speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).WeatherProvider_TemperatureWeather\n\n(#Speaker).Speaker_Speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}",version0_12,"{""name"": ""ExternalTempToSpeaker"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).Speaker_Speak((#WeatherProvider).WeatherProvider_TemperatureWeather)""}",ExternalTempToSpeaker,,-1,(#Speaker).Speaker_Speak((#WeatherProvider).WeatherProvider_TemperatureWeather),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"먼저 외부 날씨 제공자의 현재 온도를 확인하고, 임의의 스피커가 그 온도를 말하게 한다.",,12.6309 seconds,31169,51,31220,9,9,외부 온도를 스피커로 출력해줘.,False,0.0,0.615385,unknown_services:Speaker_Speak,Speaker_Speak,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",(#Speaker).Speaker_Speak((#WeatherProvider).WeatherProvider_TemperatureWeather)
10,1,현재 습도를 스피커로 말해줘.,Tell me the current humidity through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).Humidity\n\n(#Speaker).Speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).HumiditySensor_Humidity\n\n(#Speaker).Speaker_Speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}",version0_12,"{""name"": ""ReportHumidity"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).Speaker_Speak((#HumiditySensor).Humidity)""}",ReportHumidity,,-1,(#Speaker).Speaker_Speak((#HumiditySensor).Humidity),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 습도 센서의 습도 값을 임의의 스피커가 말한다.,,12.4214 seconds,31167,48,31215,10,10,현재 습도를 스피커로 말해줘.,False,0.0,0.382979,unknown_services:Speaker_Speak,Speaker_Speak,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",(#Speaker).Speaker_Speak((#HumiditySensor).Humidity)
