model_key,model_label,row_no,row_category,command_eng,command_kor,det_score,det_pass,gt_exact,failure_reasons,prompt_chars,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,generation_error_type,generation_error_types,oom_flag,worker_python,resolved_model_path,warmup_excluded,selected_candidate_index,repair_applied,candidate_count,generation_call_count,repair_call_count,row_success
gpt41_mini,GPT-4.1-mini,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,100.0,True,True,[],77018,20386,45,20431,3.1793,8.3354,6426.2574,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,100.0,True,True,[],79261,21058,42,21100,2.7259,3.6668,7740.5627,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,100.0,True,True,[],76679,20278,52,20330,2.2286,3.1469,9122.3189,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,100.0,True,True,[],77887,20549,44,20593,2.0184,2.9163,10202.6358,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,100.0,True,True,[],81420,21247,39,21286,1.6313,2.5382,13048.4889,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,6,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,100.0,True,True,[],80860,21288,41,21329,2.1012,3.0154,10150.8662,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,7,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,100.0,True,True,[],80490,21187,40,21227,2.3669,3.261,8968.2707,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,8,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,100.0,True,True,[],82512,21568,47,21615,2.6419,3.5992,8181.6117,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,9,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,100.0,True,True,[],82056,21464,48,21512,2.1493,3.0886,10008.8401,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,10,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,100.0,True,True,[],79724,20943,49,20992,1.6999,2.6067,12348.9617,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,11,1,Tell me the outdoor humidity through the speaker.,외부 습도를 스피커로 말해줘.,100.0,True,True,[],78749,20699,50,20749,2.7576,3.6698,7524.2965,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,12,1,Output today's weather through the speaker.,오늘의 날씨를 스피커로 출력해줘.,100.0,True,True,[],83165,21732,47,21779,2.1465,3.0559,10146.2846,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,13,1,Announce the fine dust level through the speaker.,미세먼지 농도를 스피커로 알려줘.,100.0,True,True,[],77308,20353,57,20410,3.3298,4.2688,6129.4973,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,14,1,Announce the outdoor fine dust level using the speaker.,외부 미세먼지 농도를 스피커로 알려줘.,100.0,True,True,[],79099,20794,53,20847,4.893,5.863,4260.5763,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,15,1,"Generate a cat image using cloud service and save it as ""cat.png"".","클라우드로 고양이 사진을 생성하고 ""cat.png""로 저장해줘.",99.092,True,False,"[""gt_mismatch""]",84342,22048,65,22113,2.5015,3.4755,8839.8961,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,16,1,Output the charger's power consumption through the speaker.,충전기의 전력소모량을 스피커로 출력해줘.,100.0,True,True,[],79348,20832,48,20880,2.5452,3.5109,8203.6775,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,17,1,Tell me today's menu using the speaker.,오늘의 메뉴를 스피커로 출력해줘.,98.0388,True,False,"[""gt_mismatch""]",78954,20871,49,20920,1.9669,3.0576,10636.0262,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,18,1,Tell me the lunch menu for Building 301 today through the speaker.,오늘의 301동 점심 메뉴를 스피커로 알려줘.,97.5391,True,False,"[""gt_mismatch""]",85575,22395,62,22457,1.5202,2.4399,14772.3984,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,19,1,"Ask the cloud AI what an LLM is, and output its answer through the speaker.",클라우드 AI한테 llm이 무엇인지 질문하고 답을 스피커로 출력해줘.,98.0117,True,False,"[""gt_mismatch""]",83611,21873,62,21935,1.7607,2.7658,12458.1133,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,20,1,Set the hue of the light to 200 and the saturation to 50.,"조명의 색조를 200, 채도는 50으로 설정해줘.",100.0,True,True,[],80039,21031,53,21084,1.9993,2.9761,10545.691,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,21,1, Change the light color to yellow.,조명 색을 노란색으로 바꿔줘.,57.5471,False,False,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""semantic""]",78632,20684,46,20730,3.2895,4.1958,6301.8696,0.0,,[],False,,,False,0,False,1,1,0,False
gpt41_mini,GPT-4.1-mini,22,1,Lock the safe.,금고를 잠그어줘.,100.0,True,True,[],72603,19242,34,19276,1.8437,2.7455,10455.0632,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,23,1,Close the door.,문을 닫아줘.,100.0,True,True,[],74535,19702,34,19736,1.6612,2.5526,11880.5683,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,24,1,Set the pump to normal mode.,펌프를 일반 모드로 설정해줘.,100.0,True,True,[],72779,19298,41,19339,1.3304,2.2777,14536.2297,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,25,1,Stop the robot vacuum cleaner.,로봇 청소기를 멈춰줘.,100.0,True,True,[],78981,20726,53,20779,1.8345,2.7633,11326.792,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,26,1,"Play ""music.mp3"" through the speaker.","스피커로 ""music.mp3"" 재생해줘.",100.0,True,True,[],76274,20166,40,20206,1.989,2.8869,10158.8738,0.0,,[],False,,,False,0,False,1,1,0,True
gpt41_mini,GPT-4.1-mini,27,1,Set the speaker volume to maximum.,스피커 볼륨을 최대로 해줘.,100.0,True,True,[],75241,19826,39,19865,1.3238,2.2319,15006.0432,0.0,,[],False,,,False,0,False,1,1,0,True
