row_no,category,command_eng,command_kor,gt_name_display,service_list_schema,gt_code,generated_code,det_score,det_pass,det_profile,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,failure_reasons,service_list_retrieval_categories_display,prompt_context_mode,prompt_context_note,prompt_context_effective_topk,prompt_context_injected_categories,prompt_context_displayed_categories,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories,generation_error_type
1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,SwitchDishwasherToDryMode,service_list_ver2.0.1.json,"(#Dishwasher).dishwasher_setdishwashermode(""dry"")",,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]","Dishwasher, LaundryDryer, RiceCooker, Dehumidifier, AirConditioner, Oven, DimmerSwitch, Switch, AirPurifier, ArmRobot",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Dishwasher"", ""LaundryDryer"", ""RiceCooker"", ""Dehumidifier"", ""AirConditioner"", ""Oven"", ""DimmerSwitch"", ""Switch"", ""AirPurifier"", ""ArmRobot""]","[""Dishwasher"", ""LaundryDryer"", ""RiceCooker"", ""Dehumidifier"", ""AirConditioner"", ""Oven"", ""DimmerSwitch"", ""Switch"", ""AirPurifier"", ""ArmRobot""]",0,0,0,0.0,6.7773,0.0,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Dishwasher"", ""LaundryDryer"", ""RiceCooker"", ""Dehumidifier"", ""AirConditioner"", ""Oven"", ""DimmerSwitch"", ""Switch"", ""AirPurifier"", ""ArmRobot""]",worker_crash
2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,Add5MinutesToOven,service_list_ver2.0.1.json,(#Oven).oven_addmoretime(300),,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]","Oven, RiceCooker, ArmRobot, MenuProvider, Button, Dishwasher, Door, Television, SmokeDetector, LaundryDryer",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Oven"", ""RiceCooker"", ""ArmRobot"", ""MenuProvider"", ""Button"", ""Dishwasher"", ""Door"", ""Television"", ""SmokeDetector"", ""LaundryDryer""]","[""Oven"", ""RiceCooker"", ""ArmRobot"", ""MenuProvider"", ""Button"", ""Dishwasher"", ""Door"", ""Television"", ""SmokeDetector"", ""LaundryDryer""]",0,0,0,0.0,6.8256,0.0,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Oven"", ""RiceCooker"", ""ArmRobot"", ""MenuProvider"", ""Button"", ""Dishwasher"", ""Door"", ""Television"", ""SmokeDetector"", ""LaundryDryer""]",worker_crash
3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,StartRiceCookerOnCookingModeFor30Minutes,service_list_ver2.0.1.json,"(#RiceCooker).ricecooker_setcookingparameters(""cooking"", 1800)",,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]","RiceCooker, Oven, ArmRobot, Dishwasher, RobotVacuumCleaner, MenuProvider, Charger, CarbonDioxideSensor, AirConditioner, FaceRecognizer",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""RiceCooker"", ""Oven"", ""ArmRobot"", ""Dishwasher"", ""RobotVacuumCleaner"", ""MenuProvider"", ""Charger"", ""CarbonDioxideSensor"", ""AirConditioner"", ""FaceRecognizer""]","[""RiceCooker"", ""Oven"", ""ArmRobot"", ""Dishwasher"", ""RobotVacuumCleaner"", ""MenuProvider"", ""Charger"", ""CarbonDioxideSensor"", ""AirConditioner"", ""FaceRecognizer""]",0,0,0,0.0,6.7077,0.0,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""RiceCooker"", ""Oven"", ""ArmRobot"", ""Dishwasher"", ""RobotVacuumCleaner"", ""MenuProvider"", ""Charger"", ""CarbonDioxideSensor"", ""AirConditioner"", ""FaceRecognizer""]",worker_crash
4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,SetSirenToEmergencyMode,service_list_ver2.0.1.json,"(#Siren).siren_setsirenmode(""emergency"")",,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]","Siren, ArmRobot, SoundSensor, Oven, Speaker, AudioRecorder, RiceCooker, Pump, Button, Charger",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Siren"", ""ArmRobot"", ""SoundSensor"", ""Oven"", ""Speaker"", ""AudioRecorder"", ""RiceCooker"", ""Pump"", ""Button"", ""Charger""]","[""Siren"", ""ArmRobot"", ""SoundSensor"", ""Oven"", ""Speaker"", ""AudioRecorder"", ""RiceCooker"", ""Pump"", ""Button"", ""Charger""]",0,0,0,0.0,6.8487,0.0,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Siren"", ""ArmRobot"", ""SoundSensor"", ""Oven"", ""Speaker"", ""AudioRecorder"", ""RiceCooker"", ""Pump"", ""Button"", ""Charger""]",worker_crash
5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,SetSpeakerVolumeTo30,service_list_ver2.0.1.json,(#Speaker).speaker_setvolume(30),,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]","Speaker, SoundSensor, Siren, AudioRecorder, ArmRobot, Television, PressureSensor, Pump, ColorControl, LevelControl",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Speaker"", ""SoundSensor"", ""Siren"", ""AudioRecorder"", ""ArmRobot"", ""Television"", ""PressureSensor"", ""Pump"", ""ColorControl"", ""LevelControl""]","[""Speaker"", ""SoundSensor"", ""Siren"", ""AudioRecorder"", ""ArmRobot"", ""Television"", ""PressureSensor"", ""Pump"", ""ColorControl"", ""LevelControl""]",0,0,0,0.0,6.8701,0.0,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""SoundSensor"", ""Siren"", ""AudioRecorder"", ""ArmRobot"", ""Television"", ""PressureSensor"", ""Pump"", ""ColorControl"", ""LevelControl""]",worker_crash
31,2,Set the living room light to yellow.,거실 조명을 노란색으로 설정해줘.,SetLivingRoomLightToYellow,service_list_ver2.0.1.json,"(#LivingRoom #Light).colorcontrol_setcolor(""255,255,0"")",,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 2 connected-device category group(s) were injected.",0,"[""Light"", ""ColorControl""]","[""Light"", ""ColorControl""]",0,0,0,0.0,4.4368,0.0,0.0,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],worker_crash
32,2,Capture an image of the meeting room with the camera.,카메라로 회의실 사진을 촬영해줘.,CaptureImageOfMeetingRoomWithCamera,service_list_ver2.0.1.json,(#MeetingRoom #Camera).camera_captureimage(),,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 1 connected-device category group(s) were injected.",0,"[""Camera""]","[""Camera""]",0,0,0,0.0,4.4663,0.0,0.0,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],worker_crash
33,2,Set the brightness of the living room light to 80%.,거실 조명의 밝기를 80%로 설정해줘.,SetBrightnessOfLivingRoomLightTo80,service_list_ver2.0.1.json,"(#LivingRoom #Light).light_movetobrightness(80, 0)",,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 1 connected-device category group(s) were injected.",0,"[""Light""]","[""Light""]",0,0,0,0.0,4.4567,0.0,0.0,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],worker_crash
34,2,Set all dehumidifiers in the lab to AI drying mode.,연구실 제습기를 모두 AI건조모드로 설정해줘.,SetAllDehumidifiersInLabToAIDryingMode,service_list_ver2.0.1.json,"all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(""AIDrying"")",,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 1 connected-device category group(s) were injected.",0,"[""Dehumidifier""]","[""Dehumidifier""]",0,0,0,0.0,4.4611,0.0,0.0,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],worker_crash
35,2,Set the hue of the living room light to 240 and the saturation to 80.,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.",SetHueOfLivingRoomLightTo240,service_list_ver2.0.1.json,"(#LivingRoom #Light).light_movetohueandsaturation(240, 80)",,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",not used (connected_devices scope),connected_devices scope,"Prompt context came from connected_devices, so retrieval was skipped. 1 connected-device category group(s) were injected.",0,"[""Light""]","[""Light""]",0,0,0,0.0,4.5203,0.0,0.0,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],worker_crash
