model_key,model_label,failure_reason,count
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_mismatch,28
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_receiver_coverage,11
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_service_coverage,11
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,semantic,11
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,extraneous,9
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,numeric_grounding,8
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,arg_type,7
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,enum_grounding,6
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,service_match,5
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,precondition,2
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:oven_mode,2
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,dataflow,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:add_more_time,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:airpurifiersleepmode,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:audio_recorder_stop,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:noisesensor_noise,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:oven_setmode,1
