row_no,command_eng,variant,code,legacy_score,strict_score,delta,legacy_failures,strict_failures,legacy_gt_service_coverage,strict_gt_service_coverage,legacy_gt_receiver_coverage,strict_gt_receiver_coverage,legacy_dataflow_score,strict_dataflow_score,legacy_numeric_grounding,strict_numeric_grounding
10,Tell me the current humidity through the speaker.,sensor_only,(#HumiditySensor).HumiditySensor_Humidity,87.7078,67.5942,-20.1136,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]",0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0
10,Tell me the current humidity through the speaker.,speaker_only,"(#Speaker).Speaker_Speak(""The current humidity is 55%"")",89.0377,69.9,-19.1377,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]",0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0
10,Tell me the current humidity through the speaker.,malformed_chain,"(#HumiditySensor).humiditysensor_humidity() -> (#Speaker).speaker_speak(""The current humidity is "") + str()",96.1031,69.9,-26.2031,"[""dataflow"", ""gt_mismatch""]","[""dataflow"", ""gt_mismatch""]",1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0
8,Announce the temperature through the speaker.,sensor_only,(#TemperatureSensor).TemperatureSensor_Temperature,88.203,67.6767,-20.5263,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]",0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0
8,Announce the temperature through the speaker.,speaker_only,"(#Speaker).Speaker_Speak(""The temperature is 24 degrees"")",87.4966,69.7018,-17.7948,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]",0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0
8,Announce the temperature through the speaker.,literal_speak_chain,"(#TemperatureSensor).TemperatureSensor_Temperature
(#Speaker).Speaker_Speak(""The current temperature is "")",96.5994,69.9,-26.6994,"[""dataflow"", ""gt_mismatch""]","[""dataflow"", ""gt_mismatch""]",1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0
3,Start the rice cooker on cooking mode for 30 minutes.,set_mode_only,"(#RiceCooker).RiceCooker_SetRiceCookerMode(""cooking"")",84.9912,48.6096,-36.3816,"[""enum_grounding"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding"", ""semantic""]","[""enum_grounding"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding"", ""semantic""]",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,Start the rice cooker on cooking mode for 30 minutes.,set_mode_plus_add30,"(#RiceCooker).RiceCooker_SetRiceCookerMode(""cooking"")
(#RiceCooker).RiceCooker_AddMoreTime(30)",85.0649,50.8442,-34.2207,"[""enum_grounding"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding""]","[""enum_grounding"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding""]",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,Start the rice cooker on cooking mode for 30 minutes.,wrong_unit_ms_expr,"(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 30 * 60 * 1000)",93.9479,69.9,-24.0479,"[""arg_type"", ""gt_mismatch"", ""numeric_grounding""]","[""arg_type"", ""gt_mismatch"", ""numeric_grounding""]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3,Start the rice cooker on cooking mode for 30 minutes.,wrong_service_same_arg,"(#RiceCooker).RiceCooker_SetCookingParameters(""warm"", 1800)",93.4188,69.9,-23.5188,"[""enum_grounding"", ""gt_mismatch"", ""semantic""]","[""enum_grounding"", ""gt_mismatch"", ""semantic""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,Lock all door locks.,explicit_two,"all(#Back #DoorLock).DoorLock_Lock()
all(#Front #DoorLock).DoorLock_Lock()",92.3641,97.0607,4.6966,"[""gt_mismatch""]","[""gt_mismatch""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,Lock all door locks.,only_back,all(#Back #DoorLock).DoorLock_Lock(),96.7727,69.9,-26.8727,"[""gt_mismatch"", ""gt_receiver_coverage""]","[""gt_mismatch"", ""gt_receiver_coverage""]",1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0
37,Lock all door locks.,wrong_service,all(#DoorLock).DoorLock_Unlock(),89.629,61.6048,-28.0242,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
