condition,result_dir,model_key,model_label,failure_reason,count
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_mismatch,264
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,semantic,191
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_receiver_coverage,188
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_service_coverage,182
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,dataflow,176
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,numeric_grounding,119
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,arg_type,105
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,extraneous,77
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,service_match,71
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,precondition,61
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,enum_grounding,34
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:motion_sensor_motion,4
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:presence_sensor_presence,3
