model_key,model_label,failure_reason,count
llama31_8b,Llama-3.1-8B-Instruct,invalid_json,31
llama31_8b,Llama-3.1-8B-Instruct,gt_mismatch,4
llama31_8b,Llama-3.1-8B-Instruct,arg_type,2
llama31_8b,Llama-3.1-8B-Instruct,enum_grounding,2
llama31_8b,Llama-3.1-8B-Instruct,gt_receiver_coverage,2
llama31_8b,Llama-3.1-8B-Instruct,gt_service_coverage,2
llama31_8b,Llama-3.1-8B-Instruct,semantic,2
llama31_8b,Llama-3.1-8B-Instruct,dataflow,1
llama31_8b,Llama-3.1-8B-Instruct,numeric_grounding,1
llama31_8b,Llama-3.1-8B-Instruct,service_match,1
llama31_8b,Llama-3.1-8B-Instruct,unknown_service:charger_switch_off,1
