failure_type,affected_block_family,suggested_mutation_type,count
gt_mismatch,det_helper,targeted_repair_hint,37
enum_type_mismatch,schema_enum_grounding,enum_type_rule,24
semantic_error,skeleton,skeleton_rule,23
extraneous_action,skeleton,minimality_rule,18
owner_device_mismatch,owner_device_rule,receiver_rule,12
service_mapping,service_mapping,coverage_rule,12
service_mapping,service_mapping,service_grounding_rule,10
other,det_helper,targeted_repair_hint,7
numeric_or_temporal_error,temporal_rule,unit_grounding_rule,6
dataflow_error,dataflow,dataflow_rule,4
schema_violation,output_format,repair_clause_injection,1
