index,category,command_kor,command_eng,gt_raw,connected_devices,gt
8,1,현재 온도를 스피커로 알려줘.,Announce the temperature through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).Temperature\n\n(#Speaker).Speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).TemperatureSensor_Temperature\n\n(#Speaker).Speaker_Speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}"
21,1,조명 색을 노란색으로 바꿔줘., Change the light color to yellow.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Light).MoveToRGB(255, 255, 0)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Light).Light_MoveToRGB(255, 255, 0)""}"
18,2,거실 벽에 있는 조명을 빨간색으로 바꿔줘.,Change the light on the living room wall to red.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#LivingRoom #Wall #Light).MoveToRGB(255, 0, 0)""}","{'LR_Wall_Light': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['LivingRoom', 'Wall', 'Light', 'ColorControl', 'Switch']}, 'LR_Ceiling_Light': {'category': ['Light', 'ColorControl', 'Switch'], 'tags': ['LivingRoom', 'Ceiling', 'Light', 'ColorControl', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#LivingRoom #Wall #Light).Light_MoveToRGB(255, 0, 0)""}"
15,4,충전 전압이 250V보다 높아지면 충전을 중단해줘.,"When the charging voltage exceeds 250V, stop charging.","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#Charger).Voltage > 250000)\n\n(#Charger).Off()""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#Charger).Charger_Voltage > 250000)\n\n(#Charger).Switch_Off()""}"
6,5,재실 센서에 감지가 되면 1분 뒤에 사진을 찍어줘.,"When the presence sensor detects someone, take a picture after 1 minute.","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#PresenceSensor).Presence == true)\n\ndelay(1 MIN)\n\n(#Camera).CaptureImage()""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#PresenceSensor).PresenceSensor_Presence == true)\n\ndelay(1 MIN)\n\n(#Camera).Camera_CaptureImage()""}"
3,7,매일 자정에 도어락을 잠궈줘.,Lock the doorlock every day at midnight.,"{""name"": """", 
""cron"": ""0 0 * * *"", 
""period"": 0, 
""script"": ""\n(#DoorLock).Lock()""}",,"{""name"": """", 
""cron"": ""0 0 * * *"", 
""period"": 0, 
""script"": ""\n(#DoorLock).DoorLock_Lock()""}"
25,7,지금부터 오후 3시까지 10분마다 긴급 사이렌을 5초간 울렸다 꺼줘.,"Every 10 minutes from now until 3 PM, sound the emergency siren for 5 seconds and then turn it off.","{""name"": """", 
""cron"": """", 
""period"": 600000, 
""script"": ""\nif ((#Clock).Hour == 15) {\n \n    break\n\n}\n\n(#Siren).SetSirenMode(\""emergency\"")\n\ndelay(5 SEC)\n\n(#Siren).Off()""}",,"{""name"": """", 
""cron"": """", 
""period"": 600000, 
""script"": ""\nif ((#Clock).Clock_Hour == 15) {\n \n    break\n\n}\n\n(#Siren).Siren_SetSirenMode(\""emergency\"")\n\ndelay(5 SEC)\n\n(#Siren).Switch_Off()""}"
46,7,오후 10시부터 11시까지 5분마다 체크해서 충전이 완료되면 꺼줘.,Check every 5 minutes from 10 PM to 11 PM and turn it off when charging is complete.,"{""name"": """", 
""cron"": ""*/5 22 * * *"", 
""period"": 0, 
""script"": ""\nif ((#Charger).ChargingState == \""fullyCharged\"") {\n\n    (#Charger).Off()\n\n}""}","{'Charger': {'category': ['Charger', 'Switch'], 'tags': ['Main', 'Charger', 'Switch']}, 'Phone': {'category': ['Charger'], 'tags': ['Phone', 'Charger']}}","{""name"": """", 
""cron"": ""*/5 22 * * *"", 
""period"": 0, 
""script"": ""\nif ((#Charger).Charger_ChargingState == \""fullyCharged\"") {\n\n    (#Charger).Switch_Off()\n\n}""}"
50,7,오후 6시부터 8시까지 1층에 사람이 감지되면 1층 불을 다 켜줘.,"Every hour from 6 PM to 8 PM, if someone is detected on the 1st floor, turn on all 1st floor lights.","{""name"": """", 
""cron"": ""0 18 * * *"", 
""period"": 100, 
""script"": ""\nif ((#Clock).Hour >= 20) {\n\n    break\n\n}\n\nif ((#Floor1 #PresenceSensor).Presence == true) {\n\n    all(#Floor1 #Light).On()\n\n}""}","{'F1_Presence': {'category': ['PresenceSensor'], 'tags': ['Floor1', 'PresenceSensor']}, 'F1_Light': {'category': ['Light', 'Switch'], 'tags': ['Floor1', 'Light', 'Switch']}, 'F2_Presence': {'category': ['PresenceSensor'], 'tags': ['Floor2', 'PresenceSensor']}}","{""name"": """", 
""cron"": ""0 18 * * *"", 
""period"": 100, 
""script"": ""\nif ((#Clock).Clock_Hour >= 20) {\n\n    break\n\n}\n\nif ((#Floor1 #PresenceSensor).PresenceSensor_Presence == true) {\n\n    all(#Floor1 #Light).Switch_On()\n\n}""}"
6,8,습도가 30% 이하로 떨어질 때마다 가습기를 켜줘.,"Whenever the humidity level drops to 30% or below, turn on the humidifier.","{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#HumiditySensor).Humidity <= 30) {\n    if (triggered == false) {\n        (#Humidifier).On()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}",,"{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#HumiditySensor).HumiditySensor_Humidity <= 30) {\n    if (triggered == false) {\n        (#Humidifier).Switch_On()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}"
