model_key,model_label,row_no,row_category,command_eng,command_kor,det_score,det_pass,gt_exact,failure_reasons,prompt_chars,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,generation_error_type,generation_error_types,oom_flag,worker_python,resolved_model_path,warmup_excluded,selected_candidate_index,repair_applied,candidate_count,generation_call_count,repair_call_count,row_success
gemma2_9b_it,Gemma-2-9B-it,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,0.0,False,False,"[""invalid_json""]",78486,20800,1,20801,9.4574,14.1692,2199.4417,26.534,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,False,0,False,1,1,0,False
gemma2_9b_it,Gemma-2-9B-it,2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,0.0,False,False,"[""invalid_json""]",76006,20264,1,20265,10.1552,14.9737,1995.5294,26.2829,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,False,0,False,1,1,0,False
gemma2_9b_it,Gemma-2-9B-it,3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,0.0,False,False,"[""invalid_json""]",77893,20593,1,20594,10.7682,15.4246,1912.4831,26.5532,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,False,0,False,1,1,0,False
gemma2_9b_it,Gemma-2-9B-it,4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,0.0,False,False,"[""invalid_json""]",79203,20890,1,20891,10.9502,15.7544,1907.819,26.7157,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,False,0,False,1,1,0,False
gemma2_9b_it,Gemma-2-9B-it,5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,0.0,False,False,"[""invalid_json""]",76383,20203,1,20204,9.9773,14.7406,2024.9967,26.3303,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,False,0,False,1,1,0,False
gemma2_9b_it,Gemma-2-9B-it,31,2,Set the living room light to yellow.,거실 조명을 노란색으로 설정해줘.,0.0,False,False,"[""invalid_json""]",67573,17089,256,17345,22.58,25.003,768.1577,24.8195,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,False,0,False,1,1,0,False
gemma2_9b_it,Gemma-2-9B-it,32,2,Capture an image of the meeting room with the camera.,카메라로 회의실 사진을 촬영해줘.,0.0,False,False,"[""invalid_json""]",54228,13992,256,14248,20.2134,22.6395,704.8789,23.3964,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,False,0,False,1,1,0,False
gemma2_9b_it,Gemma-2-9B-it,33,2,Set the brightness of the living room light to 80%.,거실 조명의 밝기를 80%로 설정해줘.,0.0,False,False,"[""invalid_json""]",63969,16180,256,16436,22.5785,24.9878,727.9492,24.3956,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,False,0,False,1,1,0,False
gemma2_9b_it,Gemma-2-9B-it,34,2,Set all dehumidifiers in the lab to AI drying mode.,연구실 제습기를 모두 AI건조모드로 설정해줘.,0.0,False,False,"[""invalid_json""]",52585,13759,256,14015,19.8482,22.265,706.1094,23.2907,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,False,0,False,1,1,0,False
gemma2_9b_it,Gemma-2-9B-it,35,2,Set the hue of the living room light to 240 and the saturation to 80.,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.",0.0,False,False,"[""invalid_json""]",63995,16195,256,16451,22.451,24.8789,732.7513,24.4028,,[],False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,False,0,False,1,1,0,False
