failure_type,affected_block_family,suggested_mutation_type,prompt_block_id,failure_count,original_failure_reasons,rule,priority,generation,model_key
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,8,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,1,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,8,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,1,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,4,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,1,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,4,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,4,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,1,qwen25_coder_7b
precondition,DET_Helper,add_targeted_repair_hint,06,4,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,4,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,1,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,8,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,2,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,8,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,2,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,4,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,2,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,4,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,4,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,2,qwen25_coder_7b
precondition,DET_Helper,add_targeted_repair_hint,06,4,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,4,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,2,qwen25_coder_7b
