index,category,command_kor,command_eng,gt_raw,connected_devices,gt,row_no,profile,genome_id,genome_seed,run_id,candidate_count,candidates,candidate_metadata,prompt_log_paths,generation_status,generation_total_pipeline_sec,llm_mode,llm_model,prompt_render_mode,prompt_assets_dir,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_device,service_list_retrieval_categories,service_list_retrieval_scores,service_list_retrieval_fallback_reason,generation_call_count,generation_error_count,generation_error_type,generation_error_types,generation_oom_flag,generation_prompt_chars_total,generation_prompt_tokens_total,generation_completion_tokens_total,generation_total_tokens_total,generation_llm_latency_sec,generation_peak_vram_gb
1,1,식기세척기를 건조 모드로 설정해줘.,Switch the dishwasher to dry mode.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).SetDishwasherMode(\""dry\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).dishwasher_setdishwashermode(\""dry\"")""}",1,version0_15_update20260413,gen-example-version0-15__gemma2_9b_it,12345,suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15,1,"[""""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 103159, ""error"": ""System role not supported"", ""error_type"": ""worker_crash"", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""16"", ""service_list_function_count"": ""19""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15/row_001_cand_1.json""]",partial_error,6.7777,worker,google/gemma-2-9b-it,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Dishwasher"", ""LaundryDryer"", ""RiceCooker"", ""Dehumidifier"", ""AirConditioner"", ""Oven"", ""DimmerSwitch"", ""Switch"", ""AirPurifier"", ""ArmRobot""]","[1.787421, 0.95885, 0.843339, 0.866039, 0.831299, 0.831903, 0.964742, 1.072461, 0.831126, 1.472868]",,1,1,worker_crash,"[""worker_crash""]",False,103159,0,0,0,0.0,0.0
2,1,오븐의 작동 시간을 5분 늘려줘.,Add 5 minutes to the oven.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).AddMoreTime(300)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).oven_addmoretime(300)""}",2,version0_15_update20260413,gen-example-version0-15__gemma2_9b_it,12345,suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15,1,"[""""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 101481, ""error"": ""System role not supported"", ""error_type"": ""worker_crash"", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""14"", ""service_list_function_count"": ""18""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15/row_002_cand_1.json""]",partial_error,6.8464,worker,google/gemma-2-9b-it,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Oven"", ""RiceCooker"", ""ArmRobot"", ""MenuProvider"", ""Button"", ""Dishwasher"", ""Door"", ""Television"", ""SmokeDetector"", ""LaundryDryer""]","[1.811228, 0.917373, 1.467694, 0.558015, 0.535093, 0.52837, 0.521857, 0.513368, 0.513095, 0.511515]",,1,1,worker_crash,"[""worker_crash""]",False,101481,0,0,0,0.0,0.0
3,1,밥솥을 조리 모드로 30분 작동시켜.,Start the rice cooker on cooking mode for 30 minutes.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).SetCookingParameters(\""cooking\"", 1800)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).ricecooker_setcookingparameters(\""cooking\"", 1800)""}",3,version0_15_update20260413,gen-example-version0-15__gemma2_9b_it,12345,suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15,1,"[""""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 102838, ""error"": ""System role not supported"", ""error_type"": ""worker_crash"", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""17"", ""service_list_function_count"": ""18""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15/row_003_cand_1.json""]",partial_error,6.8283,worker,google/gemma-2-9b-it,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""RiceCooker"", ""Oven"", ""ArmRobot"", ""Dishwasher"", ""RobotVacuumCleaner"", ""MenuProvider"", ""Charger"", ""CarbonDioxideSensor"", ""AirConditioner"", ""FaceRecognizer""]","[2.688916, 1.296932, 1.504577, 0.821529, 0.81013, 0.533087, 0.53061, 0.530472, 0.757368, 0.890591]",,1,1,worker_crash,"[""worker_crash""]",False,102838,0,0,0,0.0,0.0
4,1,사이렌을 응급모드로 울려줘.,Set the siren to emergency mode.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).SetSirenMode(\""emergency\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).siren_setsirenmode(\""emergency\"")""}",4,version0_15_update20260413,gen-example-version0-15__gemma2_9b_it,12345,suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15,1,"[""""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 103873, ""error"": ""System role not supported"", ""error_type"": ""worker_crash"", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""16"", ""service_list_function_count"": ""23""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15/row_004_cand_1.json""]",partial_error,6.8854,worker,google/gemma-2-9b-it,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Siren"", ""ArmRobot"", ""SoundSensor"", ""Oven"", ""Speaker"", ""AudioRecorder"", ""RiceCooker"", ""Pump"", ""Button"", ""Charger""]","[2.958263, 1.665225, 0.583403, 0.986702, 0.677959, 0.543135, 0.946428, 0.966494, 0.537508, 0.537421]",,1,1,worker_crash,"[""worker_crash""]",False,103873,0,0,0,0.0,0.0
5,1,스피커의 볼륨을 30으로 설정해줘.,Set the speaker volume to 30.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).SetVolume(30)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).speaker_setvolume(30)""}",5,version0_15_update20260413,gen-example-version0-15__gemma2_9b_it,12345,suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15,1,"[""""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 102018, ""error"": ""System role not supported"", ""error_type"": ""worker_crash"", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""15"", ""service_list_function_count"": ""22""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15/row_005_cand_1.json""]",partial_error,6.6283,worker,google/gemma-2-9b-it,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Speaker"", ""SoundSensor"", ""Siren"", ""AudioRecorder"", ""ArmRobot"", ""Television"", ""PressureSensor"", ""Pump"", ""ColorControl"", ""LevelControl""]","[2.968468, 0.618491, 0.771969, 0.596527, 1.604045, 0.704993, 0.527547, 0.697687, 0.701858, 0.876753]",,1,1,worker_crash,"[""worker_crash""]",False,102018,0,0,0,0.0,0.0
1,2,거실 조명을 노란색으로 설정해줘.,Set the living room light to yellow.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).SetColor(\""255,255,0\"")""}","{'LivingRoom_Light': {'category': ['Light', 'ColorControl'], 'tags': ['LivingRoom', 'Light', 'ColorControl']}, 'Kitchen_Light': {'category': ['Light', 'ColorControl'], 'tags': ['Kitchen', 'Light', 'ColorControl']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).colorcontrol_setcolor(\""255,255,0\"")""}",31,version0_15_update20260413,gen-example-version0-15__gemma2_9b_it,12345,suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15,1,"[""""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 95119, ""error"": ""System role not supported"", ""error_type"": ""worker_crash"", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""9"", ""service_list_function_count"": ""8""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15/row_031_cand_1.json""]",partial_error,4.4922,worker,google/gemma-2-9b-it,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,cpu,[],[],,1,1,worker_crash,"[""worker_crash""]",False,95119,0,0,0,0.0,0.0
2,2,카메라로 회의실 사진을 촬영해줘.,Capture an image of the meeting room with the camera.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#MeetingRoom #Camera).CaptureImage()""}","{'MeetingRoom_Camera': {'category': 'Camera', 'tags': ['MeetingRoom', 'Camera']}, 'Hallway_Camera': {'category': 'Camera', 'tags': ['Hallway', 'Camera']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#MeetingRoom #Camera).camera_captureimage()""}",32,version0_15_update20260413,gen-example-version0-15__gemma2_9b_it,12345,suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15,1,"[""""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 90827, ""error"": ""System role not supported"", ""error_type"": ""worker_crash"", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""4"", ""service_list_function_count"": ""4""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15/row_032_cand_1.json""]",partial_error,4.509,worker,google/gemma-2-9b-it,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,cpu,[],[],,1,1,worker_crash,"[""worker_crash""]",False,90827,0,0,0,0.0,0.0
3,2,거실 조명의 밝기를 80%로 설정해줘.,Set the brightness of the living room light to 80%.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).MoveToBrightness(80, 0)""}","{'LivingRoom_Light': {'category': 'Light', 'tags': ['LivingRoom', 'Light']}, 'Bedroom_Light': {'category': 'Light', 'tags': ['Bedroom', 'Light']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).light_movetobrightness(80, 0)""}",33,version0_15_update20260413,gen-example-version0-15__gemma2_9b_it,12345,suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15,1,"[""""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 94354, ""error"": ""System role not supported"", ""error_type"": ""worker_crash"", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""8"", ""service_list_function_count"": ""7""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15/row_033_cand_1.json""]",partial_error,4.5123,worker,google/gemma-2-9b-it,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,cpu,[],[],,1,1,worker_crash,"[""worker_crash""]",False,94354,0,0,0,0.0,0.0
4,2,연구실 제습기를 모두 AI건조모드로 설정해줘.,Set all dehumidifiers in the lab to AI drying mode.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Lab #Dehumidifier).SetDehumidifierMode(\""AIDrying\"")""}","{'Lab_Dehumidifier_1': {'category': 'Dehumidifier', 'tags': ['Lab', 'North', 'Dehumidifier']}, 'Lab_Dehumidifier_2': {'category': 'Dehumidifier', 'tags': ['Lab', 'South', 'Dehumidifier']}, 'Office_Dehumidifier': {'category': 'Dehumidifier', 'tags': ['Office', 'Dehumidifier']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(\""AIDrying\"")""}",34,version0_15_update20260413,gen-example-version0-15__gemma2_9b_it,12345,suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15,1,"[""""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 89119, ""error"": ""System role not supported"", ""error_type"": ""worker_crash"", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""1"", ""service_list_function_count"": ""1""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15/row_034_cand_1.json""]",partial_error,4.486,worker,google/gemma-2-9b-it,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,cpu,[],[],,1,1,worker_crash,"[""worker_crash""]",False,89119,0,0,0,0.0,0.0
5,2,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.",Set the hue of the living room light to 240 and the saturation to 80.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).MoveToHueAndSaturation(240, 80)""}","{'LivingRoom_Light': {'category': 'Light', 'tags': ['LivingRoom', 'Light']}, 'Kitchen_Light': {'category': 'Light', 'tags': ['Kitchen', 'Light']}}","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).light_movetohueandsaturation(240, 80)""}",35,version0_15_update20260413,gen-example-version0-15__gemma2_9b_it,12345,suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15,1,"[""""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 94380, ""error"": ""System role not supported"", ""error_type"": ""worker_crash"", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""8"", ""service_list_function_count"": ""7""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gemma2_9b_it_gen-example-version0-15_gemma2_9b_it_15/row_035_cand_1.json""]",partial_error,4.5124,worker,google/gemma-2-9b-it,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,cpu,[],[],,1,1,worker_crash,"[""worker_crash""]",False,94380,0,0,0,0.0,0.0
