index,category_analysis,selected,test_no,command,command_english,connected_dievces,options,joi_gt,joi_pred_llama4:scout.dense,script_similarity_llama4:scout.dense,cloud_similarity_llama4:scout.dense,response_time_llama4:scout_dence [ms],joi_pred_english_Qwen2.5-Coder:7B,cloud_similarity_english_Qwen2.5-Coder:7B,script_similarity_english_Qwen2.5-Coder:7B,response_time_english_Qwen2.5-Coder:7B,joi_pred_Qwen2.5-Coder:7B,cloud_similarity_Qwen2.5-Coder:7B,script_similarity_Qwen2.5-Coder:7B,response_time_Qwen2.5-Coder:7B,joi_pred_english_gpt-4.1-mini,cloud_similarity_english_gpt-4.1-mini,script_similarity_english_gpt-4.1-mini,response_time_english_gpt-4.1-mini,joi_pred_gpt-4.1-mini,cloud_similarity_gpt-4.1-mini,script_similarity_gpt-4.1-mini,response_time_gpt-4.1-mini
1,1,1,0,사이렌을 울려줘.,Sound the siren.,"{
'GreenhouseA_alarm_left': {
    'category': 'Alarm',
    'tags': ['GreenhouseA', 'left', 'Alarm']
  },
  'GreenhouseA_alarm_right': {
    'category': 'Alarm',
    'tags': ['GreenhouseA', 'right', 'Alarm']
  },
  'GreenhouseA_alarm_center': {
    'category': 'Alarm',
    'tags': ['GreenhouseA', 'center', 'Alarm']
  },
  'GreenhouseA_alarm_entrance': {
    'category': 'Alarm',
    'tags': ['GreenhouseA', 'entrance', 'Alarm']
  },
  'GreenhouseA_alarm_exit': {
    'category': 'Alarm',
    'tags': ['GreenhouseA', 'exit', 'Alarm']
  }
}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Sirens).sirens_activate()""}",0.49,0,0.8,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",1,0,1.969,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",1,0,2.781,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",1,0,1.659,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",1,0,1.749
2,1,1,0,사이렌을 울려줘.,Sound the siren.,"{ 'GreenhouseA_alarm_left': {'category': 'Siren', 'tags': ['GreenhouseA', 'left', 'Siren']}, 'GreenhouseA_alarm_right': {'category': 'Siren', 'tags': ['GreenhouseA', 'right', 'Siren']}, 'GreenhouseA_alarm_center': {'category': 'Siren', 'tags': ['GreenhouseA', 'center', 'Siren']}, 'GreenhouseA_alarm_entrance': {'category': 'Siren', 'tags': ['GreenhouseA', 'entrance', 'Siren']}, 'GreenhouseA_alarm_exit': {'category': 'Siren', 'tags': ['GreenhouseA', 'exit', 'Siren']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""siren\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Sirens).sirens_activate()""}",0.463,0,3,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#Siren).switch_on()\n(#Siren).sirenMode_setSirenMode('siren')""}]",0.7,0,2.54,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#Siren).switch_on()\n(#Siren).sirenMode_setSirenMode('siren')""}]",0.7,0,3.4,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#Siren).switch_on()\n(#Siren).sirenMode_setSirenMode('siren')""}]",0.7,0,1.305,"[{'name': 'Sound the siren', 'cron': '', 'period': -1, 'code': '(#Siren).switch_on()\n(#Siren).sirenMode_setSirenMode(""siren"")'}]",0.7,0,2.038
3,1,1,0,경광등을 켜 줘.,Turn on the strobe.,"{ 'GreenhouseA_alarm_left': {'category': 'Alarm', 'tags': ['GreenhouseA', 'left', 'Alarm']}, 'GreenhouseA_alarm_center': {'category': 'Alarm', 'tags': ['GreenhouseA', 'center', 'Alarm']}, 'GreenhouseA_alarm_right': {'category': 'Alarm', 'tags': ['GreenhouseA', 'right', 'Alarm']}}
",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_strobe()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#AlarmLight).alarmLight_on()""}",0.48,0,4.8,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_strobe()'}]",1,0,1.967,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",0.5,0,2.855,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_strobe()'}]",1,0,1.918,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",0,0,1.869
4,1,1,0,경광등을 켜 줘.,Turn on the strobe.,"{ 'GreenhouseA_alarm_left': {'category': 'Siren', 'tags': ['GreenhouseA', 'left', 'Siren']}, 'GreenhouseA_alarm_right': {'category': 'Siren', 'tags': ['GreenhouseA', 'right', 'Siren']}, 'GreenhouseA_alarm_center': {'category': 'Siren', 'tags': ['GreenhouseA', 'center', 'Siren']}, 'GreenhouseA_alarm_entrance': {'category': 'Siren', 'tags': ['GreenhouseA', 'entrance', 'Siren']}, 'GreenhouseA_alarm_exit': {'category': 'Siren', 'tags': ['GreenhouseA', 'exit', 'Siren']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""strobe\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#AlarmLight).alarmLight_on()""}",0.429,0,50,[],0,0,1.976,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Siren).switch_on()'}]",0.4,0,2.788,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Siren).switch_on()\n(#Siren).sirenMode_setSirenMode(""strobe"")'}]",0.7,0,1.442,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Siren).switch_on()'}]",0,0,1.825
5,1,1,0,사이렌과 경광등을 동시에 켜 줘,Turn on the siren and the strobe at the same time,"{ 'GreenhouseA_alarm_left': {'category': 'Alarm', 'tags': ['GreenhouseA', 'left', 'Alarm']}, 'GreenhouseA_alarm_center': {'category': 'Alarm', 'tags': ['GreenhouseA', 'center', 'Alarm']}, 'GreenhouseA_alarm_right': {'category': 'Alarm', 'tags': ['GreenhouseA', 'right', 'Alarm']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Sirens).sirens_on()\\n(#FlashingLights).flashingLights_on()""}",0.485,0,43.4,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_both()'}]",1,0,1.963,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_both()\n(#Alarm).alarm_strobe()'}]",0.6,0,3.086,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_both()'}]",1,0,1.286,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'all(#Alarm).alarm_both()'}]",0.9,0,1.855
8,1,1,0,사이렌과 경광등을 둘 다 꺼 줘,Turn off both the siren and the strobe,"{ 'GreenhouseA_alarm_left': {'category': 'Siren', 'tags': ['GreenhouseA', 'left', 'Siren']}, 'GreenhouseA_alarm_right': {'category': 'Siren', 'tags': ['GreenhouseA', 'right', 'Siren']}, 'GreenhouseA_alarm_center': {'category': 'Siren', 'tags': ['GreenhouseA', 'center', 'Siren']}, 'GreenhouseA_alarm_entrance': {'category': 'Siren', 'tags': ['GreenhouseA', 'entrance', 'Siren']}, 'GreenhouseA_alarm_exit': {'category': 'Siren', 'tags': ['GreenhouseA', 'exit', 'Siren']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""off\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Sirens).sirens_stopSound()\\n(#FlashingLights).flashingLights_stopLight()""}",0.344,0,28.7,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#Siren).sirenMode_setSirenMode('off')\n(#Siren).switch_off()""}]",0.7,0,3.622,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Siren).switch_off()\n(#left).switch_off()'}]",0.3,0,3.066,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'all(#Siren).sirenMode_setSirenMode(""off"")'}]",0.9,0,1.449,"[{'name': 'TurnOffSirenAndLight', 'cron': '', 'period': -1, 'code': 'all(#Siren).sirenMode_setSirenMode(""off"")\nall(#Siren).switch_off()'}]",0.6,0,2.296
9,2,1,0,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the occupancy sensor is detected.,"{
  ""SectorA_OccupancySensor_1"": {
    ""category"": ""OccupancySensor"",
    ""tags"": [""SectorA"", ""OccupancySensor""]
  },
  ""SectorA_OccupancySensor_2"": {
    ""category"": ""OccupancySensor"",
    ""tags"": [""SectorA"", ""OccupancySensor""]
  },
  ""SectorA_OccupancySensor_3"": {
    ""category"": ""OccupancySensor"",
    ""tags"": [""SectorB"", ""OccupancySensor""] 
  },
  ""SectorA_OccupancySensor_4"": {
    ""category"": ""OccupancySensor"",
    ""tags"": [""SectorB"", ""OccupancySensor""] 
  },
  ""Alarm"": {
    ""category"": ""Alarm"",
    ""tags"": [""Alarm""]
  }
}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#OccupancySensor).occupancySensor_isOccupied == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.554,0,,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#OccupancySensor).presenceSensor_presence == ""present"")\n(#Alarm).alarm_siren()'}]",0.8,0,2.61,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#OccupancySensor).presenceSensor_presence == ""present"")\n(#Alarm).alarm_siren()'}]",0.8,0,3.443,"[{'name': 'Sound alarm when occupancy detected', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#OccupancySensor).presenceSensor_presence == present) {\n  if (triggered == false) {\n    (#Alarm).alarm_siren()\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.6,0,3.923,"[{'name': 'OccupancyAlarm', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#OccupancySensor).presenceSensor_presence == present) {\n  if (triggered == false) {\n    (#Alarm).alarm_siren()\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.5,0,2.594
10,2,1,0,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the occupancy sensor is detected.,"{
  ""SectorA_PresenceSensor_1"": {
    ""category"": ""PresenceSensor"",
    ""tags"": [""SectorA"", ""PresenceSensor""]
  },
  ""SectorA_PresenceSensor_2"": {
    ""category"": ""PresenceSensor"",
    ""tags"": [""SectorA"", ""PresenceSensor""]
  },
  ""SectorA_PresenceSensor_3"": {
    ""category"": ""PresenceSensor"",
    ""tags"": [""SectorB"", ""PresenceSensor""] 
  },
  ""SectorA_PresenceSensor_4"": {
    ""category"": ""PresenceSensor"",
    ""tags"": [""SectorB"", ""PresenceSensor""] 
  },
  ""Alarm"": {
    ""category"": ""Alarm"",
    ""tags"": [""Alarm""]
  }
}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#OccupancySensor).occupancySensor_isOccupied == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.45,0,,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#PresenceSensor).presenceSensor_presence == ""present"")\n(#Alarm).alarm_siren()'}]",0.8,0,2.622,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#PresenceSensor).presenceSensor_presence == ""present"")\n(#Alarm).alarm_siren()'}]",0.8,0,3.457,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#PresenceSensor).presenceSensor_presence == present) {\n  (#Alarm).alarm_siren()\n}'}]",0.9,0,1.32,"[{'name': 'SoundAlarmOnOccupancy', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#PresenceSensor).presenceSensor_presence == ""present"") {\n  if (triggered == false) {\n    (#Alarm).alarm_siren()\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.5,0,2.891
12,2,1,0,에어컨의 모드가 냉방 모드면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the air conditioner is in cooling mode., ,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == \""cool\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditionerMode_mode ==""}",0.849,0,,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  (#Alarm).alarm_siren()\n}'}]",1,0,3.846,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  (#Alarm).alarm_siren()\n}'}]",1,0,4.632,"[{'name': 'AirConditionerCoolingAlarmSiren', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  (#Alarm).alarm_siren()\n}'}]",1,0,2.655,"[{'name': 'SoundSirenWhenCooling', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  if (any(#Alarm).switch_switch == ""on"") {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren).switch_switch == ""on"") {\n    (#Siren).sirenMode_setSirenMode(""siren"")\n  }\n}'}]",0.6,0,4.181
13,2,1,0,에어컨의 목표 온도가 30도면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the air conditioner's target temperature is 30 degrees., ,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditioner_getTargetTemperature() == 30) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.933,0,,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  (#Alarm).alarm_siren()\n}'}]",0.95,0,3.871,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  (#Alarm).alarm_siren()\n}'}]",0.95,0,4.664,"[{'name': 'AlarmIfACTemp30', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  if (any(#Alarm)) {\n    (#Alarm).alarm_siren()\n  }\n}'}]",0.8,0,1.888,"[{'name': 'AlarmWhenACTemp30', 'cron': '', 'period': -1, 'code': ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  if (any(#Alarm)) {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    (#Siren).sirenMode_setSirenMode('siren')\n  }\n}""}]",0.7,0,4.168
