row_no,category,command_eng,command_kor,gt_name_display,service_list_schema,gt_code,generated_code,det_score,det_pass,det_profile,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,failure_reasons,service_list_retrieval_categories_display,prompt_context_mode,prompt_context_note,prompt_context_effective_topk,prompt_context_injected_categories,prompt_context_displayed_categories,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories,generation_error_type
91,4,"When the contact sensor is detected, turn on the light.",접촉 센서가 감지되면 조명을 켜줘.,WhenContactSensorIsDetectedTurnOnLight,service_list_ver2.0.1.json,"wait until ((#ContactSensor).contactsensor_contact == true)

(#Light).switch_on()","triggered := false
if ((#ContactSensor).contactsensor_contact == true) {
  if (triggered == false) {
    (#Light).light_movetobrightness(100, 0)
    triggered = true
  }
} else {
  triggered = false
}",69.9,False,strict,False,0.370798,0.5,0.5,1.0,1.0,1.0,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","LightSensor, ContactSensor, Light, PresenceVitalSensor, PresenceSensor, MotionSensor, DimmerSwitch, CarbonDioxideSensor, TemperatureSensor, RainSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""LightSensor"", ""ContactSensor"", ""Light"", ""PresenceVitalSensor"", ""PresenceSensor"", ""MotionSensor"", ""DimmerSwitch"", ""CarbonDioxideSensor"", ""TemperatureSensor"", ""RainSensor""]","[""LightSensor"", ""ContactSensor"", ""Light"", ""PresenceVitalSensor"", ""PresenceSensor"", ""MotionSensor"", ""DimmerSwitch"", ""CarbonDioxideSensor"", ""TemperatureSensor"", ""RainSensor""]",21283,93,21376,3.4126,8.7436,6263.8457,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""LightSensor"", ""ContactSensor"", ""Light"", ""PresenceVitalSensor"", ""PresenceSensor"", ""MotionSensor"", ""DimmerSwitch"", ""CarbonDioxideSensor"", ""TemperatureSensor"", ""RainSensor""]",
92,4,"When the presence sensor detects someone, turn on the TV.",재실 센서가 감지되면 TV를 켜줘.,WhenPresenceSensorDetectsSomeoneTurnOnTV,service_list_ver2.0.1.json,"wait until ((#PresenceSensor).presencesensor_presence == true)

(#Television).switch_on()","wait until ((#PresenceSensor).presencesensor_presence == true)
(#Television).switch_on()",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"PresenceSensor, Television, PresenceVitalSensor, TemperatureSensor, ContactSensor, MotionSensor, Switch, PressureSensor, CarbonDioxideSensor, LeakSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""PresenceSensor"", ""Television"", ""PresenceVitalSensor"", ""TemperatureSensor"", ""ContactSensor"", ""MotionSensor"", ""Switch"", ""PressureSensor"", ""CarbonDioxideSensor"", ""LeakSensor""]","[""PresenceSensor"", ""Television"", ""PresenceVitalSensor"", ""TemperatureSensor"", ""ContactSensor"", ""MotionSensor"", ""Switch"", ""PressureSensor"", ""CarbonDioxideSensor"", ""LeakSensor""]",19957,53,20010,1.974,2.9014,10136.7781,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""PresenceSensor"", ""Television"", ""PresenceVitalSensor"", ""TemperatureSensor"", ""ContactSensor"", ""MotionSensor"", ""Switch"", ""PressureSensor"", ""CarbonDioxideSensor"", ""LeakSensor""]",
93,4,"When the sound sensor value exceeds 50, stop speaker playback.",소리 센서의 수치가 50보다 커지면 스피커 재생을 멈춰줘.,WhenSoundSensorValueExceeds50StopSpeakerPlayback,service_list_ver2.0.1.json,"wait until ((#SoundSensor).soundsensor_sound > 50)

(#Speaker).speaker_stop()","wait until ((#SoundSensor).soundsensor_sound > 50)
(#Speaker).speaker_stop()",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Speaker, SoundSensor, AudioRecorder, Siren, PresenceSensor, PressureSensor, PresenceVitalSensor, ContactSensor, RainSensor, LeakSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""PresenceSensor"", ""PressureSensor"", ""PresenceVitalSensor"", ""ContactSensor"", ""RainSensor"", ""LeakSensor""]","[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""PresenceSensor"", ""PressureSensor"", ""PresenceVitalSensor"", ""ContactSensor"", ""RainSensor"", ""LeakSensor""]",20864,54,20918,4.4556,5.4006,4694.7661,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""PresenceSensor"", ""PressureSensor"", ""PresenceVitalSensor"", ""ContactSensor"", ""RainSensor"", ""LeakSensor""]",
94,4,"When it rains, turn on the dehumidifier.",비가 오면 제습기를 켜줘.,WhenItRainsTurnOnDehumidifier,service_list_ver2.0.1.json,"wait until ((#RainSensor).rainsensor_rain == true)

(#Dehumidifier).switch_on()","wait until ((#RainSensor).rainsensor_rain == true)
(#Dehumidifier).dehumidifier_setdehumidifiermode(""dehumidifying"")",69.9,False,strict,False,0.754032,0.5,0.5,1.0,1.0,1.0,"[""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","Dehumidifier, Humidifier, HumiditySensor, RainSensor, WeatherProvider, AirPurifier, Pump, Dishwasher, DimmerSwitch, Switch",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Dehumidifier"", ""Humidifier"", ""HumiditySensor"", ""RainSensor"", ""WeatherProvider"", ""AirPurifier"", ""Pump"", ""Dishwasher"", ""DimmerSwitch"", ""Switch""]","[""Dehumidifier"", ""Humidifier"", ""HumiditySensor"", ""RainSensor"", ""WeatherProvider"", ""AirPurifier"", ""Pump"", ""Dishwasher"", ""DimmerSwitch"", ""Switch""]",20838,67,20905,1.9928,2.9007,10490.265,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Dehumidifier"", ""Humidifier"", ""HumiditySensor"", ""RainSensor"", ""WeatherProvider"", ""AirPurifier"", ""Pump"", ""Dishwasher"", ""DimmerSwitch"", ""Switch""]",
95,4,"When the brightness falls below 100 lux, turn on the light.",밝기가 100 럭스 미만이 되면 조명을 켜줘.,WhenBrightnessFallsBelow100LuxTurnOn,service_list_ver2.0.1.json,"wait until ((#LightSensor).lightsensor_brightness < 100)

(#Light).switch_on()","wait until ((#LightSensor).lightsensor_brightness < 100.0)
(#Light).switch_on()",69.9,False,strict,False,0.993919,1.0,1.0,1.0,0.0,1.0,"[""gt_mismatch"", ""numeric_grounding""]","LightSensor, Light, DimmerSwitch, ColorControl, Switch, SmokeDetector, Plug, Charger, PresenceVitalSensor, Television",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""LightSensor"", ""Light"", ""DimmerSwitch"", ""ColorControl"", ""Switch"", ""SmokeDetector"", ""Plug"", ""Charger"", ""PresenceVitalSensor"", ""Television""]","[""LightSensor"", ""Light"", ""DimmerSwitch"", ""ColorControl"", ""Switch"", ""SmokeDetector"", ""Plug"", ""Charger"", ""PresenceVitalSensor"", ""Television""]",22296,56,22352,2.1332,3.1106,10478.1549,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""LightSensor"", ""Light"", ""DimmerSwitch"", ""ColorControl"", ""Switch"", ""SmokeDetector"", ""Plug"", ""Charger"", ""PresenceVitalSensor"", ""Television""]",
96,4,"When the carbon dioxide concentration reaches 1000ppm or higher, sound the emergency siren.",이산화탄소 농도가 1000ppm 이상이 되면 긴급 사이렌을 울려줘.,WhenCarbonDioxideConcentrationReaches1000ppmOrHigh,service_list_ver2.0.1.json,"wait until ((#CarbonDioxideSensor).carbondioxidesensor_carbondioxide >= 1000)

(#Siren).siren_setsirenmode(""emergency"")","wait until ((#CarbonDioxideSensor).carbondioxidesensor_carbondioxide >= 1000.0)
(#Siren).siren_setsirenmode(""emergency"")",69.9,False,strict,False,0.996087,1.0,1.0,1.0,0.0,1.0,"[""gt_mismatch"", ""numeric_grounding""]","CarbonDioxideSensor, AirQualitySensor, Siren, SoundSensor, Charger, AirConditioner, AirPurifier, SmokeDetector, AudioRecorder, RobotVacuumCleaner",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""CarbonDioxideSensor"", ""AirQualitySensor"", ""Siren"", ""SoundSensor"", ""Charger"", ""AirConditioner"", ""AirPurifier"", ""SmokeDetector"", ""AudioRecorder"", ""RobotVacuumCleaner""]","[""CarbonDioxideSensor"", ""AirQualitySensor"", ""Siren"", ""SoundSensor"", ""Charger"", ""AirConditioner"", ""AirPurifier"", ""SmokeDetector"", ""AudioRecorder"", ""RobotVacuumCleaner""]",20904,72,20976,2.2035,3.179,9519.401,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""CarbonDioxideSensor"", ""AirQualitySensor"", ""Siren"", ""SoundSensor"", ""Charger"", ""AirConditioner"", ""AirPurifier"", ""SmokeDetector"", ""AudioRecorder"", ""RobotVacuumCleaner""]",
97,4,"When smoke is detected, sound the fire alarm with the siren.",연기가 감지되면 사이렌으로 화재경보를 울려줘.,WhenSmokeIsDetectedSoundFireAlarmWith,service_list_ver2.0.1.json,"wait until ((#SmokeDetector).smokedetector_smoke == true)

(#Siren).siren_setsirenmode(""fire"")","if ((#SmokeDetector).smokedetector_smoke == true) {
  (#Siren).siren_setsirenmode(""fire"")
}",96.093,True,strict,False,0.818605,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","SmokeDetector, Siren, SoundSensor, AudioRecorder, AirPurifier, PresenceVitalSensor, AirQualitySensor, Oven, Safe, Door",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""SmokeDetector"", ""Siren"", ""SoundSensor"", ""AudioRecorder"", ""AirPurifier"", ""PresenceVitalSensor"", ""AirQualitySensor"", ""Oven"", ""Safe"", ""Door""]","[""SmokeDetector"", ""Siren"", ""SoundSensor"", ""AudioRecorder"", ""AirPurifier"", ""PresenceVitalSensor"", ""AirQualitySensor"", ""Oven"", ""Safe"", ""Door""]",21610,62,21672,3.5344,4.4967,6131.7338,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""SmokeDetector"", ""Siren"", ""SoundSensor"", ""AudioRecorder"", ""AirPurifier"", ""PresenceVitalSensor"", ""AirQualitySensor"", ""Oven"", ""Safe"", ""Door""]",
98,4,"When the button is pushed 3 times, open the valve.",버튼이 세번 눌리면 벨브를 열어줘.,WhenButtonIsPushed3TimesOpenValve,service_list_ver2.0.1.json,"wait until ((#Button).button_button == ""pushed_3x"")

(#Valve).valve_open()","triggered := false
if ((#Button).button_button == ""pushed_3x"") {
  if (triggered == false) {
    (#Valve).valve_open()
    triggered = true
  }
} else {
  triggered = false
}",95.8044,True,strict,False,0.520874,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","Valve, Button, TapDialSwitch, Door, PresenceVitalSensor, Pump, DimmerSwitch, RobotVacuumCleaner, Safe, PressureSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Valve"", ""Button"", ""TapDialSwitch"", ""Door"", ""PresenceVitalSensor"", ""Pump"", ""DimmerSwitch"", ""RobotVacuumCleaner"", ""Safe"", ""PressureSensor""]","[""Valve"", ""Button"", ""TapDialSwitch"", ""Door"", ""PresenceVitalSensor"", ""Pump"", ""DimmerSwitch"", ""RobotVacuumCleaner"", ""Safe"", ""PressureSensor""]",21264,90,21354,2.8634,3.8303,7457.5679,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Valve"", ""Button"", ""TapDialSwitch"", ""Door"", ""PresenceVitalSensor"", ""Pump"", ""DimmerSwitch"", ""RobotVacuumCleaner"", ""Safe"", ""PressureSensor""]",
99,4,"When the temperature reaches 35 degrees or higher, set the air conditioner to 30 degrees.",온도가 35도 이상이 되면 에어컨의 목표 온도를 30도로 설정해줘.,WhenTemperatureReaches35DegreesOrHigherSet,service_list_ver2.0.1.json,"wait until ((#TemperatureSensor).temperaturesensor_temperature >= 35)

(#AirConditioner).airconditioner_settargettemperature(30)","wait until ((#TemperatureSensor).temperaturesensor_temperature >= 35.0)
(#AirConditioner).airconditioner_settargettemperature(30.0)",69.9,False,strict,False,0.9928,1.0,1.0,1.0,0.0,1.0,"[""gt_mismatch"", ""numeric_grounding""]","AirConditioner, AirPurifier, AirQualitySensor, TemperatureSensor, LaundryDryer, Dishwasher, WeatherProvider, Dehumidifier, ArmRobot, RiceCooker",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""AirConditioner"", ""AirPurifier"", ""AirQualitySensor"", ""TemperatureSensor"", ""LaundryDryer"", ""Dishwasher"", ""WeatherProvider"", ""Dehumidifier"", ""ArmRobot"", ""RiceCooker""]","[""AirConditioner"", ""AirPurifier"", ""AirQualitySensor"", ""TemperatureSensor"", ""LaundryDryer"", ""Dishwasher"", ""WeatherProvider"", ""Dehumidifier"", ""ArmRobot"", ""RiceCooker""]",22200,69,22269,5.0062,5.9491,4448.2841,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""AirConditioner"", ""AirPurifier"", ""AirQualitySensor"", ""TemperatureSensor"", ""LaundryDryer"", ""Dishwasher"", ""WeatherProvider"", ""Dehumidifier"", ""ArmRobot"", ""RiceCooker""]",
100,4,"When the safe is unlocked, sound the police siren.",금고가 열리면 경찰 사이렌을 울려줘.,WhenSafeIsUnlockedSoundPoliceSiren,service_list_ver2.0.1.json,"wait until ((#Safe).safe_safestate == ""unlocked"")

(#Siren).siren_setsirenmode(""police"")","wait until ((#Safe).safe_safestate == ""open"")
(#Siren).siren_setsirenmode(""police"")",97.4889,True,strict,False,0.977778,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","Safe, Siren, SoundSensor, DoorLock, PresenceVitalSensor, Door, AudioRecorder, Speaker, Plug, TapDialSwitch",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Safe"", ""Siren"", ""SoundSensor"", ""DoorLock"", ""PresenceVitalSensor"", ""Door"", ""AudioRecorder"", ""Speaker"", ""Plug"", ""TapDialSwitch""]","[""Safe"", ""Siren"", ""SoundSensor"", ""DoorLock"", ""PresenceVitalSensor"", ""Door"", ""AudioRecorder"", ""Speaker"", ""Plug"", ""TapDialSwitch""]",22093,60,22153,4.1117,5.1044,5387.7958,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Safe"", ""Siren"", ""SoundSensor"", ""DoorLock"", ""PresenceVitalSensor"", ""Door"", ""AudioRecorder"", ""Speaker"", ""Plug"", ""TapDialSwitch""]",
