Index: 0,Korean,Script
0,로비의 온도가 26도 이상이면 로비의 에어컨을 켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#lobby #TemperatureSensor).temperatureMeasurement_temperature >= 26) {
      (#lobby #AirConditioner).switch_on()
    }
  ""
}",
1,회의실에 사람이 들어오면 회의실 조명을 켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until(#meeting_room #OccupancySensor).presenceSensor_presence == 'not present')
    wait until(#meeting_room #OccupancySensor).presenceSensor_presence == 'present')
    (#meeting_room #Light).switch_on()
  ""
}",
2,사무실의 습도가 70% 이상이면 사무실 제습기를 켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#office #HumiditySensor).relativeHumidityMeasurement_humidity >= 70)
      (#office #Dehumidifier).switch_on()
  ""
}",
3,휴게실에 아무도 없으면 로봇청소기를 자동모드로 작동시켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#lounge #OccupancySensor).presenceSensor_presence == 'not present') {
      (#lounge #RobotCleaner).robotCleanerCleaningMode_setRobotCleanerCleaningMode('auto')
    }
  ""
}",
4,조도가 20이하이고 사람이 없으면 조명을 꺼줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#LightSensor).lightLevel_light <= 20 and (#OccupancySensor).presenceSensor_presence == 'not present')
      (#Light).switch_off()
  ""
}",
5,출입구의 창문이 열려있으면 출입구 창문을 닫아줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#entrance #Window).windowControl_window == 'open') {
      (#entrance #Window).windowControl_close()
    }
  ""
}",
6,임원실에서 소음이 80dB이 이상이면 스피커로 '조용히 해주세요'라고 말해줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#manager_room #SoundSensor).soundPressureLevel_soundPressureLevel >= 80)
      (#manager_room #Speaker).mediaPlayback_speak('조용히 해주세요')
  ""
}",
7,회의실의 현재 온도가 30도 이상이면 알람의 사이렌을 울려줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#manager_room #TemperatureSensor).temperatureMeasurement_temperature >= 30)
      (#manager_room #Alarm).alarm_siren()
  ""
}",
8,연기가 감지되면 알람의 사이렌을 울려줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#SmokeDetector).smokeDetector_smoke == 'not detected')
    wait until((#SmokeDetector).smokeDetector_smoke == 'detected')
    (#Alarm).alarm_siren()
  ""
}",
9,임원실의 에어컨이 꺼져있으면 에어컨을 켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#manager_room #AirConditioner).switch_switch == 'off') {
      (#manager_room #AirConditioner).switch_on()
    }
  ""
}",
10,로비의 온도가 10도 이상이고 20도 이하면 에어컨을 꺼줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#lobby #TemperatureSensor).temperatureMeasurement_temperature >= 10 and (#lobby #TemperatureSensor).temperatureMeasurement_temperature <= 20)
      (#lobby #TemperatureSensor).switch_off()
    }
  ""
}",
11,회의실 커튼을 닫고 10분 뒤 에어컨을 25도로 설정해줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    (#meetingRoom #Curtain).curtain_close()
    (#clock).clock_delay(0|10|0)
    (#meetingRoom #AirConditioner).airConditionerMode_setTemperature(25)
  ""
}",
12,회의실 온도가 28도 이상이면 에어컨을 쿨 모드로 설정해줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#meeting_room #TemperatureSensor).temperatureMeasurement_temperature >= 28)
      (#meeting_room #AirConditioner).airConditionerMode_setAirConditionerMode('cool')
  ""
}",
13,로비에서 스피커로 인사하고 5초 후 로비의 조명을 꺼줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
      (#lobby #Speaker).mediaPlayback_speak('환영합니다')
      (#clock).clock_delay(0|0|5)
      (#lobby #Light).switch_off()
  ""
}",
14,오전 9시마다 사무실 조명을 켜고 10초 뒤 공기청정기를 자동모드로 설정해줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": ""0 9 * * *"",
  ""period"": -1,
  ""code"": ""
    (#office #Light).switch_on()
    (#clock).clock_delay(0|0|10)
    (#office #AirPurifier).airPurifierFanMode_setAirPurifierFanMode('auto')
  ""
}",
15,휴게실 습도가 70% 이상이면 제습기를 켜고 아니면 꺼줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#lounge #HumiditySensor).relativeHumidityMeasurement_humidity >= 70) {
      (#lounge #Dehumidifier).switch_on()
    }
    else {
      (#lounge #Dehumidifier).switch_off()
    }
  ""
}",
16,임원실의 블라인드를 닫고 3초 뒤 조명을 꺼줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    (#executive_office #Blind).blind_close()
    (#clock).clock_delay(0|0|3)
    (#executive_office #Light).switch_off()
  ""
}",
17,문이 열림 상태이면 카메라로 사진을 찍고 알람으로 사이렌을 울려줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#DoorLock).doorControl_door == 'open')
      (#Camera).camera_take()
      (#Alarm).alarm_siren()
  ""
}",
18,오전 8시마다 로비 커튼을 열고 5초 뒤에 공기청정기를 켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": ""0 8 * * *"",
  ""period"": -1,
  ""code"": ""
    (#lobby #Curtain).curtain_open()
    (#clock).clock_delay(0|0|5)
    (#lobby #AirPurifier).switch_on()
  ""
}",
19,임원실 CO2 농도가 1000ppm 이상이면 창문을 열고 팬을 최대 속도로 켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#manager_room #AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000)
      (#meeting_room #Window).windowControl_open()
      (#meeting_room #Fan).fanControl_setFanSpeed(100)
  ""
}",
20,비가 오면 창문을 닫아줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#WeatherProvider).weatherProvider_temperatureWeather != 'rain')
    wait until((#WeatherProvider).weatherProvider_temperatureWeather == 'rain')
    (#Window).windowControl_close()

  ""
}",
21,회의실의 조명이 켜지면 스피커로 인사해줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#meetingRoom #Light).switch_switch == 'off')
    wait until((#meetingRoom #Light).switch_switch == 'on')
    (#Speaker).mediaPlayback_speak('Hi')
  ""
}",
22,임원실의 불이 꺼지고 나서 임원실의 온도가 20도 이하로 떨어지면 온도를 25도로 맞춰줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#manager_room #Light).switch_switch == 'on')
    wait until((#manager_room #Light).switch_switch == 'off')
    wait until((#manager_room #TemperatureSensor).temperatureMeasurement_temperature <= 20)
    (#manager_room #AirConditioner).airConditionerMode_setTemperature(25)
  ""
}",
23,실시간으로 확인하여 출입구의 문이 열릴 때마다 조명을 켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": 100,
  ""code"": ""
    last_state := 'closed'
    door_state = (#entrance #DoorLock).doorControl_door
    if (door_state != last_state) {
      if (door_state == 'open') {
        (#entrance #Light).switch_on()
      }
      last_state = door_state
    }
  ""
}",
24,회의실의 제습기가 꺼지면 켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#meeting_room #Dehumidifier).switch_switch == 'on')
    wait until((#meeting_room #Dehumidifier).switch_switch == 'off')
    (meeting_room #Dehumidifier).switch_on()
  ""
}",
25,회의실의 현재 이산화탄소 농도가 1000ppm을 넘으면 공기청정기를 켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if (#meeting_room #AirQualityDetector).carbonDioxideMeasurement_carbonDioxide > 1000) {
      (#meeting_room #AirPurifier).switch_on()
    }
  ""
}",
26,로비에 사람이 나가면 조명을 꺼,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#lobby #PresenceSensor).presenceSensor_presence == 'present')
    wait until((#lobby #PresenceSensor).presenceSensor_presence == 'not present')
    (#lobby #Light).switch_off()
  ""
}",
27,사무실의 미세먼지가 50을 초과하면 공기청정기를 강풍으로 켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until(#office #AirQualityDetector).dustSensor_dustLevel <= 50)
    wait until(#office #AirQualityDetector).dustSensor_dustLevel > 50)
    (#office #AirPurifier).airPurifierFanMode_setAirPurifierFanMode('high')
  ""
}",
28,휴게실의 조도가 100룩스 이하이면 조명을 켜,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if (#lounge #LightSensor).lightLevel_light <= 100) {
      (#lounge #Light).switch_on()
    }
  ""
}",
29,사무실 문이 열리면 알람으로 사이렌을 울려,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#office #DoorLock).doorControl_door == 'closed')
    wait until((#office #DoorLock).doorControl_door == 'open')
    (#office #Alarm).alarm_siren()
  ""
}",
30,임원실의 현재 온도가 28도 이상이면 에어컨을 냉방으로 작동시켜줘.,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if (#manager_room #TemperatureSensor).temperatureMeasurement_temperature >= 28) {
      (#manager_room #AirConditioner).airConditionerMode_setAirConditionerMode('cool')
    }
  ""
}",
31,화장실에서 물이 감지되면 누수 경고 알람을 울려,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#restroom #LeakSensor).leakSensor_leakage == 'not detected')
    wait until((#restroom #LeakSensor).leakSensor_leakage == 'detected')
    (#restroom #Alarm).alarm_both()

  ""
}",
32,로비의 습도가 80%를 넘으면 제습기를 작동시켜,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#lobby #AirQualityDetector).relativeHumidityMeasurement_humidity <= 80)
    wait until((#lobby #AirQualityDetector).relativeHumidityMeasurement_humidity > 80)
    (#lobby #Dehumidifier).switch_on()
  ""
}",
33,입구에 사람이 감지되면 조명을 켜,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#entrance #PresenceSensor).presenceSensor_presence == 'not present')
    wait until((#entrance #PresenceSensor).presenceSensor_presence == 'present')
    (#entrance #Light).switch_on()
  ""
}",
34,임원실의 문이 열리면 카메라로 사진을 찍고 알림을 울려,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#manager_room #DoorLock).doorControl_door == 'closed')
    wait until((#manager_room #DoorLock).doorControl_door == 'open')
    (#manager_room #Camera).camera_take()
    (#manager_room #Alarm).alarm_both()
  ""
}",
35,사무실의 팬 속도를 80으로 설정하고 10초 후 조명을 켜줘,"{
  ""name"": ""Scenario1"",
    ""cron"": """",
    ""period"": -1,
    ""code"": ""
      (#office #Fan).fanControl_setFanSpeed(80)
      (#clock).clock_delay(0|0|10)
      (#office #Light).switch_on()
    ""
}",
36,회의실 블라인드를 열고 5초 후 조명을 켜줘,"{
  ""name"": ""Scenario1"",
    ""cron"": """",
    ""period"": -1,
    ""code"": ""
      (#meeting_room #Blind).blind_open()
      (#clock).clock_delay(0|0|5)
      (#meeting_room #Light).switch_on()
    ""
}",
37,입구에서 소리가 감지되면 알람을 울리고 카메라로 영상 촬영을 시작해,"{
  ""name"": ""Scenario1"",
    ""cron"": """",
    ""period"": -1,
    ""code"": ""
      wait until((#entrance #SoundSensor).soundSensor_sound == 'not detected')
      wait until((#entrance #SoundSensor).soundSensor_sound == 'detected')
      (#entrance #Alarm).alarm_both()
      (#entrance #Camera).camera_takeTimelapse(10|1)
    ""
}",
38,휴게실의 커튼을 닫고 조명을 끄고 3초 후 환풍기를 켜줘,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    (#lounge #Curtain).curtain_close()
    (#lounge #Light).switch_off()
    (#clock).clock_delay(0|0|3)
    (#lounge #Fan).switch_on()
  ""
}",
39,임원실의 팬이 꺼지면 다시 켜줘,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#manager_room #Fan).switch_switch == 'off')
    wait until((#manager_room #Fan).switch_switch == 'on')
    (#manager_room #Fan).switch_on()
  ""
}",
40,회의실의 습도가 60% 이하로 떨어지면 가습기를 켜줘,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#meeting_room #HumiditySensor).relativeHumidityMeasurement_humidity >= 61)
    wait until((#meeting_room #HumiditySensor).relativeHumidityMeasurement_humidity <= 60)
    (#meeting_room #Humidifier).switch_on()
  ""
}",
41,화장실의 소음이 70dB을 초과하면 스피커로 소음이 너무 큽니다 라고 말해줘,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#restroom #SoundSensor).soundPressureLevel_soundPressureLevel <= 70)
    wait until((#restroom #SoundSensor).soundPressureLevel_soundPressureLevel > 70)
    (#restroom #Speaker).mediaPlayback_speak('소음이 너무 큽니다')
    }
  ""
}",
42,회의실의 조도가 30lux 이하로 떨어지면 커튼을 열어줘,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#meeting_room #LightSensor).lightLevel_light > 30)
    wait until((#meeting_room #LightSensor).lightLevel_light <= 30)
    (#meeting_room #Curtain).curtain_open()
  ""
}",
43,출입구의 문이 닫히면 팬을 꺼줘,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#entrance #DoorLock).doorControl_door == 'open')
    wait until((#entrance #DoorLock).doorControl_door == 'closed')
    (#entrance #Fan).switch_off()
  ""
}",
44,사무실에 사람이 들어오면 조명을 켜고 환풍기를 켜줘,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#office #PresenceSensor).presenceSensor_presence == 'not present')
    wait until((#office #PresenceSensor).presenceSensor_presence == 'present')
    (#office #Light).switch_on()
    (#office #Fan).switch_on()
  ""
}",
45,로비에 연기가 감지되면 사이렌을 울리고 커튼을 열어줘,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    wait until((#lobby #SmokeDetector).smokeDetector_smoke == 'not detected')
    wait until((#lobby #SmokeDetector).smokeDetector_smoke == 'detected')
    (#lobby #Alarm).alarm_siren()
    (#lobby #Curtain).curtain_open()
  ""
}",
46,임원실의 현재 온도가 18도 이하이면 난방 모드로 설정해줘,"{
  ""name"": ""Scenario1"",
  ""cron"": """",
  ""period"": -1,
  ""code"": ""
    if ((#manager_room #TemperatureSensor).temperatureMeasurement_temperature <= 18) {
      (#manager_room #AirConditioner).airConditionerMode_setAirConditionerMode('heat')
    }
  ""
}",
