category_analysis,command,GT,generated_code,response_time,cloud_similarity_gpt4o
0,사이렌을 울려줘.,"[{""code"": ""(#Alarm).alarm_siren()"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}]",3.0537716005928814,-1.0
0,사이렌을 울려줘.,"[{""code"": ""(#Siren).sirenMode_setSirenMode('siren')"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}]",50.43089549988508,-1.0
0,경광등을 켜 줘.,"[{""code"": ""(#Alarm).alarm_strobe()"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).switch_on()""}]",53.3308906997554,-1.0
0,경광등을 켜 줘.,"[{""code"": ""(#Siren).sirenMode_setSirenMode('strobe')"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).switch_on()""}]",56.10947270039469,-1.0
0,사이렌과 경광등을 동시에 켜 줘,"[{""code"": ""(#Alarm).alarm_both()"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}]",52.45310469949618,-1.0
0,사이렌과 경광등을 동시에 켜 줘,"[{""code"": ""(#Siren).sirenMode_setSirenMode('both')"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}]",55.4245270001702,-1.0
0,사이렌과 경광등을 둘 다 꺼 줘,"[{""code"": ""(#Alarm).alarm_off()"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_off()""}]",52.279090399853885,-1.0
0,사이렌과 경광등을 둘 다 꺼 줘,"[{""code"": ""(#Siren).sirenMode_setSirenMode('off')"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_off()""}]",55.48907009931281,-1.0
0,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#OccupancySensor).presenceSensor_presence == 'present') {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == 'present') {\n(#Alarm).alarm_siren()\n}""}]",55.800617299973965,-1.0
0,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#PresenceSensor).presenceSensor_presence == 'present') {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == 'present') {\n(#Alarm).alarm_siren()\n}""}]",56.467094300314784,-1.0
0,에어컨의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirConditioner).switch_switch == 'on') {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).switch_switch == 'on') {\n(#Alarm).alarm_siren()\n}""}]",56.601332699880004,-1.0
0,에어컨의 모드가 냉방 모드면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == 'cool') {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == 'cool') {\n(#Alarm).alarm_siren()\n}""}]",55.79733829991892,-1.0
0,에어컨의 목표 온도가 30도면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n(#Alarm).alarm_siren()\n}""}]",55.85863659996539,-1.0
0,에어컨이 지원하는 모드를 스피커로 출력해줘,"[{""code"": ""modes = (#AirConditioner).airConditionerMode_supportedAcModes\n(#Speaker).mediaPlayback_speak(modes)\n"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""modes := (#AirConditioner).airConditionerMode_supportedAcModes\n(#Speaker).mediaPlayback_speak(modes)""}]",55.88690249994397,-1.0
0,에어컨을 꺼줘.,"[{""code"": ""(#AirConditioner).switch_off()"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).switch_off()""}]",53.39942479971796,-1.0
0,에어컨을 켜줘.,"[{""code"": ""(#AirConditioner).switch_on()"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).switch_on()""}]",54.7453371998854,-1.0
0,에어컨의 전원을 토글해줘.,"[{""code"": ""(#AirConditioner).switch_toggle()"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).switch_toggle()""}]",53.86306979972869,-1.0
0,에어컨을 자동 모드로 설정해줘.,"[{""code"": ""(#AirConditioner).airConditionerMode_setAirConditionerMode('auto')"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setAirConditionerMode('auto')""}]",56.30108319967985,-1.0
0,에어컨의 목표 온도를 18도로 설정해줘.,"[{""code"": ""(#AirConditioner).airConditionerMode_setTemperature(18)"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setTemperature(18)""}]",54.2394723999314,-1.0
0,공기청정기의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirPurifier).switch_switch == 'on') {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": 0, ""code"": ""if ((#AirPurifier).switch_switch == 'on') {\n(#Alarm).alarm_siren()\n}""}]",55.36362909991294,-1.0
0,공기청정기가 수면 모드면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirPurifier).airPurifierFanMode_airPurifierFanMode == 'sleep') {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirPurifier).airPurifierFanMode_airPurifierFanMode == 'sleep') {\n(#Alarm).alarm_siren()\n}""}]",57.00198120018467,-1.0
0,공기청정기가 지원하는 모드를 스피커로 출력해줘,"[{""code"": ""modes = (#AirPurifier).airPurifierFanMode_supportedAirPurifierFanModes\n(#Speaker).mediaPlayback_speak(modes)\n"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_speak((#AirPurifier).airPurifierFanMode_supportedAirPurifierFanModes())""}]",61.119850900024176,-1.0
0,공기청정기를 꺼줘.,"[{""code"": ""(#AirPurifier).switch_off()"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).switch_off()""}]",52.064547799993306,-1.0
0,공기청정기를 켜줘.,"[{""code"": ""(#AirPurifier).switch_on()"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).switch_on()""}]",55.13072990020737,-1.0
0,공기청정기의 전원을 토글해줘.,"[{""code"": ""(#AirPurifier).switch_toggle()"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).switch_toggle()""}]",56.86972870025784,-1.0
0,공기청정기의 모드를 자동으로 설정해줘.,"[{""code"": ""(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode('auto')"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode('auto')""}]",56.80131289968267,-1.0
0,공기질 측정기의 측정 온도가 20도이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirQualityDetector).temperatureMeasurement_temperature == 20) {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).temperatureMeasurement_temperature == 20) {\n(#Alarm).alarm_siren()\n}""}]",57.12847869982943,-1.0
0,이산화탄소 농도가 800ppm 이상이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 800) {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 800) {\n(#Alarm).alarm_siren()\n}""}]",57.185233200434595,-1.0
0,공기질 측정기의 상대 습도가 70퍼센트 이상이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirQualityDetector).relativeHumidityMeasurement_humidity >= 70) {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).relativeHumidityMeasurement_humidity >= 70) {\n(#Alarm).alarm_siren()\n}""}]",58.11446849955246,-1.0
0,실내 황사 농도가 150마이크로그램 이상이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirQualityDetector).dustSensor_dustLevel >= 150) {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).dustSensor_fineDustLevel >= 150) {\n(#Alarm).alarm_siren()\n}""}]",56.19198579993099,-1.0
0,실내 미세먼지 농도가 35마이크로그램 이상이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirQualityDetector).dustSensor_fineDustLevel >= 35) {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": 0, ""code"": ""if ((#AirQualityDetector).dustSensor_fineDustLevel >= 35) {\n(#Alarm).alarm_siren()\n}""}]",56.35961430007592,-1.0
0,실내 초미세먼지 농도가 15마이크로그램 이상이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirQualityDetector).dustSensor_veryFineDustLevel >= 15) {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).dustSensor_veryFineDustLevel >= 15) {\n(#Alarm).alarm_siren()\n}""}]",55.06129510002211,-1.0
0,총 휘발성 유기 화합물 농도가 0.5ppm 이상이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#AirQualityDetector).tvocMeasurement_tvocLevel >= 0.5) {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).tvocMeasurement_tvocLevel >= 0.5) {\n(#Alarm).alarm_siren()\n}""}]",56.18812680011615,-1.0
0,알람이 경광등 모드이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#Alarm).alarm_alarm == 'strobe') {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Alarm).alarm_alarm == 'strobe') {\n(#Alarm).alarm_siren()\n}""}]",57.05109529942274,-1.0
0,알람의 볼륨이 높음이면 알람의 사이렌을 울려줘.,"[{""code"": ""if ((#Alarm).alarm_alarmVolume == 'high') {\n  (#Alarm).alarm_siren()\n}"", ""cron"": """", ""name"": ""Scenario1"", ""period"": -1}]","[{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Alarm).alarm_alarmVolume == 'high') {\n(#Alarm).alarm_siren()\n}""}]",55.45056309970096,-1.0
