condition,model_key,result_dir,row_no,category,command_eng,command_kor,gt_name,gt_code,warmup_excluded,det_score,det_pass,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,generation_error_type,oom_flag,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")",False,96.7414,True,False,0.891379,,,,,,31867,51,31918,17.8665,20.3343,1786.4719,20.1412,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,,(#Oven).Oven_AddMoreTime(300),False,24.0,False,False,0.3,,,,,,31868,6,31874,6.4066,8.7705,4975.1818,20.1412,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,,"(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)",False,92.8932,True,False,0.936719,,,,,,31873,66,31939,8.3557,10.739,3822.4206,20.1407,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,,"(#Siren).Siren_SetSirenMode(""emergency"")",False,49.08,False,False,0.636,,,,,,31868,46,31914,7.7532,10.1771,4116.2359,20.1412,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,,(#Speaker).Speaker_SetVolume(30),False,95.9071,True,False,0.903571,,,,,,31869,42,31911,7.6258,9.9832,4184.6101,20.1407,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,6,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,,(#Television).Television_ChannelDown(),False,24.0,False,False,0.3,,,,,,31868,6,31874,6.5712,8.9453,4850.56,20.1412,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,7,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,,(#Television).Television_SetChannel(7),False,94.9,True,False,0.91,,,,,,31868,43,31911,7.7327,10.0999,4126.7604,20.1412,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,8,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",False,44.4351,False,False,0.481169,,,,,,31868,42,31910,7.7903,10.2287,4096.1195,20.1412,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,9,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",False,24.0,False,False,0.3,,,,,,31869,33,31902,7.5269,9.8593,4238.3983,20.1407,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,10,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",False,82.0279,True,False,0.515217,,,,,,31869,46,31915,7.9364,10.356,4021.3447,20.1407,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,31,2,Set the living room light to yellow.,거실 조명을 노란색으로 설정해줘.,,"(#LivingRoom #Light).ColorControl_SetColor(""255|255|0"")",False,85.7941,True,False,0.626471,,,,,,7893,59,7952,2.7648,5.1366,2876.1574,15.6699,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,32,2,Capture an image of the meeting room with the camera.,카메라로 회의실 사진을 촬영해줘.,,(#MeetingRoom #Camera).Camera_CaptureImage(),False,96.6795,True,False,0.969318,,,,,,5402,44,5446,1.9241,4.2071,2830.4142,15.2057,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,33,2,Set the brightness of the living room light to 80%.,거실 조명의 밝기를 80%로 설정해줘.,,"(#LivingRoom #Light).Light_MoveToBrightness(80, 0)",False,88.0938,True,False,0.953125,,,,,,7187,50,7237,2.4067,4.7864,3007.0221,15.5384,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,34,2,Set all dehumidifiers in the lab to AI drying mode.,연구실 제습기를 모두 AI건조모드로 설정해줘.,,"all(#Lab #Dehumidifier).Dehumidifier_SetDehumidifierMode(""AIDrying"")",False,94.4059,True,False,0.973529,,,,,,5424,67,5491,2.5254,4.8977,2174.309,15.208,,False,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,35,2,Set the hue of the living room light to 240 and the saturation to 80.,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.",,"(#LivingRoom #Light).Light_MoveToHueAndSaturation(240, 80)",False,95.9123,True,False,0.952632,,,,,,7186,62,7248,2.7092,5.0742,2675.3285,15.5377,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,36,2,Set all robot vacuum cleaners with even tags to auto mode.,짝수 태그 로봇 청소기를 모두 자동 모드로 설정해줘.,,"all(#Even #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""auto"")",False,85.9832,True,False,0.897059,,,,,,4715,61,4776,2.2519,4.6574,2120.8757,15.0747,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,37,2,Lock all door locks.,모든 도어락을 잠궈줘.,,all(#DoorLock).DoorLock_Lock(),False,92.1019,True,False,0.803398,,,,,,4614,58,4672,2.2094,4.6249,2114.6012,15.0591,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,38,2,Set the target temperature of the air conditioner in Sector1 to 18 degrees.,구역1의 에어컨의 목표 온도를 18도로 설정해줘.,,(#Sector1 #AirConditioner).AirConditioner_SetTargetTemperature(18),False,95.3908,True,False,0.913025,,,,,,4906,51,4957,2.0228,4.4357,2450.5636,15.1161,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
