model_key,category,generation,mean_DETPass
gemma2_9b_it,1,1,0.0
gemma2_9b_it,1,2,0.0
gemma2_9b_it,1,3,0.0
gemma2_9b_it,2,1,0.0
gemma2_9b_it,2,2,0.0
gemma2_9b_it,2,3,0.0
gemma2_9b_it,3,1,0.0
gemma2_9b_it,3,2,0.0
gemma2_9b_it,3,3,0.0
gemma2_9b_it,4,1,0.0
gemma2_9b_it,4,2,0.0
gemma2_9b_it,4,3,0.0
gemma2_9b_it,5,1,0.0
gemma2_9b_it,5,2,0.0
gemma2_9b_it,5,3,0.0
gemma2_9b_it,6,1,0.0
gemma2_9b_it,6,2,0.0
gemma2_9b_it,6,3,0.0
gemma2_9b_it,7,1,0.0
gemma2_9b_it,7,2,0.0
gemma2_9b_it,7,3,0.0
gemma2_9b_it,8,1,0.0
gemma2_9b_it,8,2,0.0
gemma2_9b_it,8,3,0.0
