row_no,category,command_eng,command_kor,gt_name_display,service_list_schema,gt_code,generated_code,det_score,det_pass,det_profile,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,failure_reasons,service_list_retrieval_categories_display,prompt_context_mode,prompt_context_note,prompt_context_effective_topk,prompt_context_injected_categories,prompt_context_displayed_categories,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories,generation_error_type
61,3,"If the audio recorder is recording, stop recording and save as test.mp3; otherwise, start recording.",녹음기가 녹음중이면 녹음을 중지하고 test.mp3로 저장해줘. 녹음중이 아니면 녹음을 시작해줘.,IfAudioRecorderIsRecordingStopRecordingSave,service_list_ver2.0.1.json,"if ((#AudioRecorder).recorderstatus == ""recording"") {

    (#AudioRecorder).audiorecorder_recordstop(""test.mp3"")

} else {

    (#AudioRecorder).audiorecorder_recordstart()

}","if ((#AudioRecorder).audiorecorder_recordstatus == ""recording"") {
  (#AudioRecorder).audiorecorder_recordstop(""test.mp3"")
} else {
  (#AudioRecorder).audiorecorder_recordstart()
}",97.6651,True,strict,False,0.983019,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","AudioRecorder, SoundSensor, Speaker, Camera, Siren, AirQualitySensor, ArmRobot, FaceRecognizer, Charger, AirPurifier",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""AudioRecorder"", ""SoundSensor"", ""Speaker"", ""Camera"", ""Siren"", ""AirQualitySensor"", ""ArmRobot"", ""FaceRecognizer"", ""Charger"", ""AirPurifier""]","[""AudioRecorder"", ""SoundSensor"", ""Speaker"", ""Camera"", ""Siren"", ""AirQualitySensor"", ""ArmRobot"", ""FaceRecognizer"", ""Charger"", ""AirPurifier""]",20980,80,21060,2.6126,7.9331,8060.9355,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""AudioRecorder"", ""SoundSensor"", ""Speaker"", ""Camera"", ""Siren"", ""AirQualitySensor"", ""ArmRobot"", ""FaceRecognizer"", ""Charger"", ""AirPurifier""]",
62,3,Stop charging if the voltage is 220V or higher.,"충전 전압이 220볼트 이상이면, 충전을 멈춰줘.",StopChargingIfVoltageIs220VOrHigher,service_list_ver2.0.1.json,"if ((#Charger).charger_voltage >= 220000) {

    (#Charger).switch_off()

}","if ((#Charger).charger_voltage >= 220.0) {
  (#Charger).safe_lock()
}",61.2484,False,strict,False,0.809677,0.5,0.5,0.2,0.0,1.0,"[""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding"", ""semantic""]","Charger, Plug, CarbonDioxideSensor, PresenceVitalSensor, WindowCovering, AudioRecorder, Pump, Safe, ArmRobot, TapDialSwitch",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Charger"", ""Plug"", ""CarbonDioxideSensor"", ""PresenceVitalSensor"", ""WindowCovering"", ""AudioRecorder"", ""Pump"", ""Safe"", ""ArmRobot"", ""TapDialSwitch""]","[""Charger"", ""Plug"", ""CarbonDioxideSensor"", ""PresenceVitalSensor"", ""WindowCovering"", ""AudioRecorder"", ""Pump"", ""Safe"", ""ArmRobot"", ""TapDialSwitch""]",20359,60,20419,2.0789,3.2192,9822.0213,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Charger"", ""Plug"", ""CarbonDioxideSensor"", ""PresenceVitalSensor"", ""WindowCovering"", ""AudioRecorder"", ""Pump"", ""Safe"", ""ArmRobot"", ""TapDialSwitch""]",
63,3,"If the cloud service is activated, upload test.png file to the cloud.","클라우드 서비스가 활성화되어있으면, test.png 파일을 클라우드에 업로드해줘.",IfCloudServiceIsActivatedUploadTestPngFile,service_list_ver2.0.1.json,"if ((#CloudServiceProvider).cloudserviceprovider_isavailable == true) {

    (#CloudServiceProvider).cloudserviceprovider_uploadfile(""test.png"")

}","if ((#CloudServiceProvider).cloudserviceprovider_chatsession != """") {
  (#CloudServiceProvider).cloudserviceprovider_uploadfile(""test.png"")
}",69.9,False,strict,False,0.831343,0.5,0.5,1.0,1.0,1.0,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","CloudServiceProvider, WeatherProvider, LevelControl, MenuProvider, EmailProvider, AirPurifier, Charger, Button, Pump, Plug",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""CloudServiceProvider"", ""WeatherProvider"", ""LevelControl"", ""MenuProvider"", ""EmailProvider"", ""AirPurifier"", ""Charger"", ""Button"", ""Pump"", ""Plug""]","[""CloudServiceProvider"", ""WeatherProvider"", ""LevelControl"", ""MenuProvider"", ""EmailProvider"", ""AirPurifier"", ""Charger"", ""Button"", ""Pump"", ""Plug""]",20975,68,21043,2.0615,3.1273,10207.6158,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""CloudServiceProvider"", ""WeatherProvider"", ""LevelControl"", ""MenuProvider"", ""EmailProvider"", ""AirPurifier"", ""Charger"", ""Button"", ""Pump"", ""Plug""]",
64,3,"If the oven is in grill mode, add 4 more minutes.","오븐이 그릴 모드이면, 시간을 4분 더 추가해줘",IfOvenIsInGrillModeAdd4More,service_list_ver2.0.1.json,"if ((#Oven).oven_ovenmode == ""grill"") {

    (#Oven).oven_addmoretime(240)

}","if ((#Oven).oven_ovenmode == ""grill"") {
  (#Oven).oven_addmoretime(4)
}",69.9,False,strict,False,0.992969,1.0,1.0,0.2,0.0,1.0,"[""dataflow"", ""gt_mismatch"", ""numeric_grounding""]","Oven, RiceCooker, MenuProvider, Dishwasher, Siren, Clock, DimmerSwitch, AirConditioner, Plug, SmokeDetector",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""Siren"", ""Clock"", ""DimmerSwitch"", ""AirConditioner"", ""Plug"", ""SmokeDetector""]","[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""Siren"", ""Clock"", ""DimmerSwitch"", ""AirConditioner"", ""Plug"", ""SmokeDetector""]",20511,67,20578,2.9024,3.8467,7089.9945,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""Siren"", ""Clock"", ""DimmerSwitch"", ""AirConditioner"", ""Plug"", ""SmokeDetector""]",
65,3,"If the rice cooker is on keep-warm mode, switch it to cooking mode.","밥솥이 보온 모드이면, 조리 모드로 변경해줘.",IfRiceCookerIsOnKeepWarmModeSwitch,service_list_ver2.0.1.json,"if ((#RiceCooker).ricecooker_ricecookermode == ""keepWarm"") {

    (#RiceCooker).ricecooker_setricecookermode(""cooking"")

}","if ((#RiceCooker).ricecooker_ricecookermode == ""keepWarm"") {
  (#RiceCooker).ricecooker_setricecookermode(""cooking"")
}",100.0,True,strict,True,1.0,1.0,1.0,0.2,1.0,1.0,[],"RiceCooker, Oven, AirConditioner, Dishwasher, RobotVacuumCleaner, Switch, TemperatureSensor, ArmRobot, SmokeDetector, DimmerSwitch",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""RiceCooker"", ""Oven"", ""AirConditioner"", ""Dishwasher"", ""RobotVacuumCleaner"", ""Switch"", ""TemperatureSensor"", ""ArmRobot"", ""SmokeDetector"", ""DimmerSwitch""]","[""RiceCooker"", ""Oven"", ""AirConditioner"", ""Dishwasher"", ""RobotVacuumCleaner"", ""Switch"", ""TemperatureSensor"", ""ArmRobot"", ""SmokeDetector"", ""DimmerSwitch""]",19648,73,19721,2.0011,3.0133,9855.0797,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""RiceCooker"", ""Oven"", ""AirConditioner"", ""Dishwasher"", ""RobotVacuumCleaner"", ""Switch"", ""TemperatureSensor"", ""ArmRobot"", ""SmokeDetector"", ""DimmerSwitch""]",
66,3,"If today is holiday, send an email to ""test@example.com"" with the subject ""Holiday"" and the message ""Today is holiday."".","오늘이 공휴일이면 ""test@example.com""으로 ""오늘은 공휴일입니다.""라는 내용을 ""공휴일"" 제목으로 이메일을 보내줘.",IfTodayIsHolidaySendEmailToTestExample,service_list_ver2.0.1.json,"if ((#Clock).clock_isholiday == true) {

    (#EmailProvider).emailprovider_sendmail(""test@example.com"", ""Holiday"", ""Today is holiday."")

}","if ((#Clock).clock_isholiday == true) {
  (#EmailProvider).emailprovider_sendmail(""test@example.com"" | ""Holiday"" | ""Today is holiday."")
}",89.2625,True,strict,False,0.985827,1.0,1.0,0.5,1.0,1.0,"[""arg_type"", ""gt_mismatch""]","EmailProvider, Clock, MenuProvider, Button, ArmRobot, Door, CloudServiceProvider, PresenceVitalSensor, TapDialSwitch, Charger",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""EmailProvider"", ""Clock"", ""MenuProvider"", ""Button"", ""ArmRobot"", ""Door"", ""CloudServiceProvider"", ""PresenceVitalSensor"", ""TapDialSwitch"", ""Charger""]","[""EmailProvider"", ""Clock"", ""MenuProvider"", ""Button"", ""ArmRobot"", ""Door"", ""CloudServiceProvider"", ""PresenceVitalSensor"", ""TapDialSwitch"", ""Charger""]",22328,73,22401,2.0579,3.0137,10885.3686,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""EmailProvider"", ""Clock"", ""MenuProvider"", ""Button"", ""ArmRobot"", ""Door"", ""CloudServiceProvider"", ""PresenceVitalSensor"", ""TapDialSwitch"", ""Charger""]",
67,3,"If the outdoor very fine dust level is 15 or higher, sound the emergency siren.","바깥의 초미세먼지 농도가 15 이상이면, 긴급 사이렌을 울려줘.",IfOutdoorVeryFineDustLevelIs15Or,service_list_ver2.0.1.json,"if ((#WeatherProvider).weatherprovider_pm25weather >= 15) {

    (#Siren).siren_setsirenmode(""emergency"")

}","if ((#WeatherProvider).weatherprovider_pm25weather >= 15) {
  (#Siren).siren_setsirenmode(""emergency"")
}",100.0,True,strict,True,1.0,1.0,1.0,0.2,1.0,1.0,[],"AirQualitySensor, Siren, SoundSensor, AirPurifier, SmokeDetector, Dishwasher, WeatherProvider, AudioRecorder, RobotVacuumCleaner, Speaker",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""AirQualitySensor"", ""Siren"", ""SoundSensor"", ""AirPurifier"", ""SmokeDetector"", ""Dishwasher"", ""WeatherProvider"", ""AudioRecorder"", ""RobotVacuumCleaner"", ""Speaker""]","[""AirQualitySensor"", ""Siren"", ""SoundSensor"", ""AirPurifier"", ""SmokeDetector"", ""Dishwasher"", ""WeatherProvider"", ""AudioRecorder"", ""RobotVacuumCleaner"", ""Speaker""]",20375,68,20443,3.9189,4.937,5216.5148,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""AirQualitySensor"", ""Siren"", ""SoundSensor"", ""AirPurifier"", ""SmokeDetector"", ""Dishwasher"", ""WeatherProvider"", ""AudioRecorder"", ""RobotVacuumCleaner"", ""Speaker""]",
68,3,"If the charger current is 10 amperes or above, sound the emergency siren.","충전기의 전류가 10암페어 이상이면, 긴급 사이렌을 울려줘.",IfChargerCurrentIs10AmperesOrAboveSound,service_list_ver2.0.1.json,"if ((#Charger).charger_current >= 10) {

    (#Siren).siren_setsirenmode(""emergency"")

}","if ((#Charger).charger_current >= 10) {
  (#Siren).siren_setsirenmode(""emergency"")
}",100.0,True,strict,True,1.0,1.0,1.0,0.2,1.0,1.0,[],"Charger, Siren, SoundSensor, PresenceVitalSensor, Plug, ArmRobot, AudioRecorder, Pump, WindowCovering, PressureSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Charger"", ""Siren"", ""SoundSensor"", ""PresenceVitalSensor"", ""Plug"", ""ArmRobot"", ""AudioRecorder"", ""Pump"", ""WindowCovering"", ""PressureSensor""]","[""Charger"", ""Siren"", ""SoundSensor"", ""PresenceVitalSensor"", ""Plug"", ""ArmRobot"", ""AudioRecorder"", ""Pump"", ""WindowCovering"", ""PressureSensor""]",19762,64,19826,2.3733,3.3307,8353.769,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Charger"", ""Siren"", ""SoundSensor"", ""PresenceVitalSensor"", ""Plug"", ""ArmRobot"", ""AudioRecorder"", ""Pump"", ""WindowCovering"", ""PressureSensor""]",
69,3,"If the pump is in normal mode, set it to maximum mode.",펌프가 노말 모드이면 맥시멈 모드로 설정해줘.,IfPumpIsInNormalModeSetItTo,service_list_ver2.0.1.json,"if ((#Pump).pump_pumpmode == ""normal"") {

    (#Pump).pump_setpumpmode(""maximum"")

}","if ((#Pump).pump_pumpmode == ""normal"") {
  (#Pump).pump_setpumpmode(""maximum"")
}",100.0,True,strict,True,1.0,1.0,1.0,0.2,1.0,1.0,[],"Pump, Humidifier, Valve, PressureSensor, Plug, Button, RobotVacuumCleaner, Charger, ArmRobot, Oven",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Pump"", ""Humidifier"", ""Valve"", ""PressureSensor"", ""Plug"", ""Button"", ""RobotVacuumCleaner"", ""Charger"", ""ArmRobot"", ""Oven""]","[""Pump"", ""Humidifier"", ""Valve"", ""PressureSensor"", ""Plug"", ""Button"", ""RobotVacuumCleaner"", ""Charger"", ""ArmRobot"", ""Oven""]",19241,59,19300,1.9766,2.9543,9764.2416,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Pump"", ""Humidifier"", ""Valve"", ""PressureSensor"", ""Plug"", ""Button"", ""RobotVacuumCleaner"", ""Charger"", ""ArmRobot"", ""Oven""]",
70,3,"If the speaker is playing, stop it.","스피커가 재생중이면, 멈춰줘.",IfSpeakerIsPlayingStopIt,service_list_ver2.0.1.json,"if ((#Speaker).speaker_playbackstate == ""playing"") {

    (#Speaker).speaker_stop()

}","if ((#Speaker).speaker_playbackstate == ""playing"") {
  (#Speaker).speaker_stop()
}",100.0,True,strict,True,1.0,1.0,1.0,0.2,1.0,1.0,[],"Speaker, AudioRecorder, SoundSensor, Siren, PresenceVitalSensor, TapDialSwitch, Switch, Television, Camera, Pump",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Speaker"", ""AudioRecorder"", ""SoundSensor"", ""Siren"", ""PresenceVitalSensor"", ""TapDialSwitch"", ""Switch"", ""Television"", ""Camera"", ""Pump""]","[""Speaker"", ""AudioRecorder"", ""SoundSensor"", ""Siren"", ""PresenceVitalSensor"", ""TapDialSwitch"", ""Switch"", ""Television"", ""Camera"", ""Pump""]",20944,53,20997,2.4837,3.4563,8453.9196,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""AudioRecorder"", ""SoundSensor"", ""Siren"", ""PresenceVitalSensor"", ""TapDialSwitch"", ""Switch"", ""Television"", ""Camera"", ""Pump""]",
