model_key,category,generation,genome_id,failure_reason,failure_count,feedback_rule_candidates,validation_avg_det_score,validation_det_pass_rate
llama31_8b,1,3,mut-b2c3876c-88d6-cd8b-69e2-32a5fffb9170,gt_mismatch,3,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,3,mut-b2c3876c-88d6-cd8b-69e2-32a5fffb9170,arg_type,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,3,mut-b2c3876c-88d6-cd8b-69e2-32a5fffb9170,gt_receiver_coverage,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,3,mut-b2c3876c-88d6-cd8b-69e2-32a5fffb9170,gt_service_coverage,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,3,mut-b2c3876c-88d6-cd8b-69e2-32a5fffb9170,numeric_grounding,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,3,mut-b2c3876c-88d6-cd8b-69e2-32a5fffb9170,semantic,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,4,cross-2af85447-22fe-0324-46b8-f7f8e31565a8,gt_mismatch,3,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,4,cross-2af85447-22fe-0324-46b8-f7f8e31565a8,arg_type,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,4,cross-2af85447-22fe-0324-46b8-f7f8e31565a8,gt_receiver_coverage,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,4,cross-2af85447-22fe-0324-46b8-f7f8e31565a8,gt_service_coverage,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,4,cross-2af85447-22fe-0324-46b8-f7f8e31565a8,numeric_grounding,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,4,cross-2af85447-22fe-0324-46b8-f7f8e31565a8,semantic,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
