model_key,model_label,failure_reason,count
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_mismatch,222
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,semantic,124
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_receiver_coverage,101
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_service_coverage,99
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,numeric_grounding,76
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,extraneous,70
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,dataflow,65
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,precondition,24
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,service_match,22
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,arg_type,20
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,enum_grounding,20
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:door_state,3
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:doorlock_state,3
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_on,3
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:safe_state,2
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,no_parseable_member_access,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:airpurifier_mode,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:clock_dayofweek,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_move,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_movebrightness,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_switch,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_switch_off,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_switch_on,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_switch_switch,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:pump_mode,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:pump_off,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:pump_on,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:pump_switch,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:robotvacuumcleaner_stop,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:setheatermode,1
