model_key,model_label,failure_reason,count
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_mismatch,20
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,arg_type,7
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_receiver_coverage,7
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_service_coverage,7
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,semantic,6
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,extraneous,5
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,precondition,5
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,service_match,5
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,numeric_grounding,4
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,dataflow,3
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,enum_grounding,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:set,1
qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:temperature_sensor,1
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_mismatch,20
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,arg_type,8
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_receiver_coverage,5
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_service_coverage,5
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,semantic,5
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,dataflow,3
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,extraneous,2
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,numeric_grounding,2
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,precondition,2
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,service_match,2
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,enum_grounding,1
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,unknown_service:temperature_sensor_temperature,1
