row_no,category,command_eng,command_kor,gt_code,generated_code,det_score,det_pass,det_profile,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,failure_reasons,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories,generation_error_type
1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")",(#Dishwasher).dishwasher_setdishwashermode(dry),96.0656,True,strict,False,0.953125,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch""]",10956,52,11008,21.0563,24.415,522.7889,30.8051,service_retrieval_fallback,10,used,hybrid,10,"[""Dishwasher"", ""LaundryDryer"", ""DimmerSwitch"", ""Dehumidifier"", ""Switch"", ""AirPurifier"", ""RiceCooker"", ""AirConditioner"", ""Oven"", ""Humidifier""]",
2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,(#Oven).Oven_AddMoreTime(300),(#Oven).oven_addmoretime(300),94.6897,True,strict,False,0.937931,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch"", ""semantic""]",11448,48,11496,6.3566,9.6991,1808.514,30.955,service_retrieval_fallback,10,used,hybrid,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""LaundryDryer"", ""Clock"", ""AirConditioner"", ""Button"", ""TemperatureSensor"", ""Door""]",
3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,"(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)","(#RiceCooker).ricecooker_setricecookermode(cooking)
delay(1800000)
(#RiceCooker).ricecooker_addmoretime(30)",47.8113,False,strict,False,0.478916,0.0,0.0,1.0,0.0,0.0,"[""arg_type"", ""enum_grounding"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding""]",10773,88,10861,8.2958,11.5788,1309.2167,30.7526,service_retrieval_fallback,10,used,hybrid,10,"[""RiceCooker"", ""Oven"", ""Dishwasher"", ""RobotVacuumCleaner"", ""FaceRecognizer"", ""AudioRecorder"", ""CarbonDioxideSensor"", ""MenuProvider"", ""Charger"", ""Siren""]",
4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,"(#Siren).Siren_SetSirenMode(""emergency"")",(#Siren).siren_setsirenmode(emergency),95.2115,True,strict,False,0.942308,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch""]",10920,48,10968,6.1904,9.5571,1771.7757,30.7966,service_retrieval_fallback,10,used,hybrid,10,"[""Siren"", ""SoundSensor"", ""AudioRecorder"", ""Speaker"", ""Pump"", ""Oven"", ""Safe"", ""ArmRobot"", ""RiceCooker"", ""PressureSensor""]",
5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,(#Speaker).Speaker_SetVolume(30),(#Speaker).speaker_setvolume(30),98.5891,True,strict,False,0.957813,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",11580,43,11623,6.1494,9.4108,1890.1031,30.9968,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""Television"", ""Pump"", ""PressureSensor"", ""AirPurifier"", ""CloudServiceProvider"", ""LevelControl""]",
6,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,(#Television).Television_ChannelDown(),(#Television).television_channeldown(),97.8224,True,strict,False,0.964474,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",11684,45,11729,6.3285,9.6208,1853.3618,31.0232,service_retrieval_fallback,10,used,hybrid,10,"[""Television"", ""DimmerSwitch"", ""Speaker"", ""TapDialSwitch"", ""Dishwasher"", ""Camera"", ""Switch"", ""LevelControl"", ""Valve"", ""Dehumidifier""]",
7,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,(#Television).Television_SetChannel(7),(#Television).television_setchannel(7),97.4224,True,strict,False,0.964474,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",11558,46,11604,6.3574,9.9412,1825.2745,30.9864,service_retrieval_fallback,10,used,hybrid,10,"[""Television"", ""Switch"", ""TapDialSwitch"", ""LevelControl"", ""DimmerSwitch"", ""Valve"", ""Dishwasher"", ""Speaker"", ""Camera"", ""ColorControl""]",
8,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")","(#TemperatureSensor).temperaturesensor_temperature() => (#Speaker).speaker_speak(""The current temperature is "") + (#TemperatureSensor).temperaturesensor_temperature() + "" degrees Celsius""",69.9,False,strict,False,0.721731,1.0,1.0,0.2,1.0,1.0,"[""dataflow"", ""gt_mismatch""]",12004,76,12080,8.1742,11.4937,1477.8205,31.1208,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""TemperatureSensor"", ""AirConditioner"", ""WeatherProvider"", ""AudioRecorder"", ""SoundSensor"", ""PresenceVitalSensor"", ""AirQualitySensor"", ""Siren"", ""Television""]",
9,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")","(#WeatherProvider).weatherprovider_getweatherinfo().split("","")[0].let(temp => (#Speaker).speaker_speak(""The outdoor temperature is "" + temp + "" degrees Celsius.""))",62.519,False,strict,False,0.689504,0.5,0.5,0.0,1.0,1.0,"[""arg_type"", ""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]",11929,75,12004,8.1452,11.4374,1473.7514,31.0962,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""TemperatureSensor"", ""WeatherProvider"", ""AirConditioner"", ""SoundSensor"", ""AudioRecorder"", ""AirQualitySensor"", ""Siren"", ""PresenceVitalSensor"", ""AirPurifier""]",
10,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")","(#HumiditySensor).humiditysensor_humidity() -> (#Speaker).speaker_speak(""The current humidity is "") + str()",69.9,False,strict,False,0.870103,1.0,1.0,0.2,1.0,1.0,"[""dataflow"", ""gt_mismatch""]",11342,62,11404,7.166,10.4343,1591.4039,30.9254,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""HumiditySensor"", ""SoundSensor"", ""WeatherProvider"", ""AirQualitySensor"", ""AudioRecorder"", ""Humidifier"", ""AirPurifier"", ""Plug"", ""Charger""]",
