category_analysis,command,connected_devices,options,GT,generated_code_gpt4.0_gpt_mg,cloud_similarity_gpt4o,generated_code_gpt-4.1_cap,cloud_similarity_gpt-4.1_cap,generated_code_gpt-4.1-mini_student,cloud_similarity_gpt-4.1-mini,joi_pred_Qwen2.5-Coder:7B,cloud_similarity_Qwen2.5-Coder:7B,joi_pred_llama4:scout.dense,script_similarity_llama4:scout.dense,generated_code_gpt4.0_gpt_mg,cloud_similarity_gpt4o_old
1,사이렌을 울려줘.,"{
 'GreenhouseA_alarm_left': {
  'category': 'Alarm',
  'tags': ['GreenhouseA', 'left', 'Alarm']
  },
  'GreenhouseA_alarm_right': {
  'category': 'Alarm',
  'tags': ['GreenhouseA', 'right', 'Alarm']
  },
  'GreenhouseA_alarm_center': {
  'category': 'Alarm',
  'tags': ['GreenhouseA', 'center', 'Alarm']
  },
  'GreenhouseA_alarm_entrance': {
  'category': 'Alarm',
  'tags': ['GreenhouseA', 'entrance', 'Alarm']
  },
  'GreenhouseA_alarm_exit': {
  'category': 'Alarm',
  'tags': ['GreenhouseA', 'exit', 'Alarm']
  }
 }",nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Alarm).alarm_siren()""}",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",1,"{""cron"": """", ""period"": ""-1"", ""code"": ""(#Sirens).sirens_activate()""}",0.49,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}",1
1,사이렌을 울려줘.,"{ 'GreenhouseA_alarm_left': {'category': 'Siren', 'tags': ['GreenhouseA', 'left', 'Siren']}, 'GreenhouseA_alarm_right': {'category': 'Siren', 'tags': ['GreenhouseA', 'right', 'Siren']}, 'GreenhouseA_alarm_center': {'category': 'Siren', 'tags': ['GreenhouseA', 'center', 'Siren']}, 'GreenhouseA_alarm_entrance': {'category': 'Siren', 'tags': ['GreenhouseA', 'entrance', 'Siren']}, 'GreenhouseA_alarm_exit': {'category': 'Siren', 'tags': ['GreenhouseA', 'exit', 'Siren']}}",nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""siren\"")""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""siren\"")""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Siren).sirenMode_setSirenMode('siren')""}",1,"[{'name': 'Sound the siren', 'cron': '', 'period': -1, 'code': '(#Siren).switch_on()\n(#Siren).sirenMode_setSirenMode(""siren"")'}]",0.7,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#Siren).switch_on()\n(#Siren).sirenMode_setSirenMode('siren')""}]",0.7,"{""cron"": """", ""period"": ""-1"", ""code"": ""(#Sirens).sirens_activate()""}",0.463,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""siren\"")""}",1
1,경광등을 켜 줘.,"{ 'GreenhouseA_alarm_left': {'category': 'Alarm', 'tags': ['GreenhouseA', 'left', 'Alarm']}, 'GreenhouseA_alarm_center': {'category': 'Alarm', 'tags': ['GreenhouseA', 'center', 'Alarm']}, 'GreenhouseA_alarm_right': {'category': 'Alarm', 'tags': ['GreenhouseA', 'right', 'Alarm']}}",nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_strobe()""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_strobe()""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Alarm).alarm_strobe()""}",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",0,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",0.5,"{""cron"": """", ""period"": ""-1"", ""code"": ""(#AlarmLight).alarmLight_on()""}",0.48,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_strobe()""}",1
1,경광등을 켜 줘.,"{ 'GreenhouseA_alarm_left': {'category': 'Siren', 'tags': ['GreenhouseA', 'left', 'Siren']}, 'GreenhouseA_alarm_right': {'category': 'Siren', 'tags': ['GreenhouseA', 'right', 'Siren']}, 'GreenhouseA_alarm_center': {'category': 'Siren', 'tags': ['GreenhouseA', 'center', 'Siren']}, 'GreenhouseA_alarm_entrance': {'category': 'Siren', 'tags': ['GreenhouseA', 'entrance', 'Siren']}, 'GreenhouseA_alarm_exit': {'category': 'Siren', 'tags': ['GreenhouseA', 'exit', 'Siren']}}",nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""strobe\"")""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""strobe\"")""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Siren).sirenMode_setSirenMode('strobe')""}",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Siren).switch_on()'}]",0,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Siren).switch_on()'}]",0.4,"{""cron"": """", ""period"": ""-1"", ""code"": ""(#AlarmLight).alarmLight_on()""}",0.429,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""strobe\"")""}",1
1,사이렌과 경광등을 동시에 켜 줘,"{ 'GreenhouseA_alarm_left': {'category': 'Alarm', 'tags': ['GreenhouseA', 'left', 'Alarm']}, 'GreenhouseA_alarm_center': {'category': 'Alarm', 'tags': ['GreenhouseA', 'center', 'Alarm']}, 'GreenhouseA_alarm_right': {'category': 'Alarm', 'tags': ['GreenhouseA', 'right', 'Alarm']}}",nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Alarm).alarm_both()""}",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'all(#Alarm).alarm_both()'}]",0.9,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_both()\n(#Alarm).alarm_strobe()'}]",0.6,"{""cron"": """", ""period"": ""-1"", ""code"": ""(#Sirens).sirens_on()\\n(#FlashingLights).flashingLights_on()""}",0.485,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}",1
1,사이렌과 경광등을 둘 다 꺼 줘,"{ 'GreenhouseA_alarm_left': {'category': 'Siren', 'tags': ['GreenhouseA', 'left', 'Siren']}, 'GreenhouseA_alarm_right': {'category': 'Siren', 'tags': ['GreenhouseA', 'right', 'Siren']}, 'GreenhouseA_alarm_center': {'category': 'Siren', 'tags': ['GreenhouseA', 'center', 'Siren']}, 'GreenhouseA_alarm_entrance': {'category': 'Siren', 'tags': ['GreenhouseA', 'entrance', 'Siren']}, 'GreenhouseA_alarm_exit': {'category': 'Siren', 'tags': ['GreenhouseA', 'exit', 'Siren']}}",nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""off\"")""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""off\"")""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Siren).sirenMode_setSirenMode('off')""}",1,"[{'name': 'TurnOffSirenAndLight', 'cron': '', 'period': -1, 'code': 'all(#Siren).sirenMode_setSirenMode(""off"")\nall(#Siren).switch_off()'}]",0.6,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Siren).switch_off()\n(#left).switch_off()'}]",0.3,"{""cron"": """", ""period"": ""-1"", ""code"": ""(#Sirens).sirens_stopSound()\\n(#FlashingLights).flashingLights_stopLight()""}",0.344,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""off\"")""}",1
2,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{
  ""SectorA_OccupancySensor_1"": {
  ""category"": ""OccupancySensor"",
  ""tags"": [""SectorA"", ""OccupancySensor""]
  },
  ""SectorA_OccupancySensor_2"": {
  ""category"": ""OccupancySensor"",
  ""tags"": [""SectorA"", ""OccupancySensor""]
  },
  ""SectorA_OccupancySensor_3"": {
  ""category"": ""OccupancySensor"",
  ""tags"": [""SectorB"", ""OccupancySensor""] 
  },
  ""SectorA_OccupancySensor_4"": {
  ""category"": ""OccupancySensor"",
  ""tags"": [""SectorB"", ""OccupancySensor""] 
  }, 
  ""Alarm"": {
  ""category"": ""Alarm"",
  ""tags"": [""Alarm""]
  }
 }",nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n (#Alarm).alarm_siren()\n}""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#OccupancySensor).presenceSensor_presence == 'present') { (#Alarm).alarm_siren() }""}",1,"[{'name': 'OccupancyAlarm', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#OccupancySensor).presenceSensor_presence == present) {\n  if (triggered == false) {\n    (#Alarm).alarm_siren()\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.5,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#OccupancySensor).presenceSensor_presence == ""present"")\n(#Alarm).alarm_siren()'}]",0.8,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#OccupancySensor).occupancySensor_isOccupied == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.554,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}",1
2,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{
  ""SectorA_PresenceSensor_1"": {
  ""category"": ""PresenceSensor"",
  ""tags"": [""SectorA"", ""PresenceSensor""]
  },
  ""SectorA_PresenceSensor_2"": {
  ""category"": ""PresenceSensor"",
  ""tags"": [""SectorA"", ""PresenceSensor""]
  },
  ""SectorA_PresenceSensor_3"": {
  ""category"": ""PresenceSensor"",
  ""tags"": [""SectorB"", ""PresenceSensor""] 
  },
  ""SectorA_PresenceSensor_4"": {
  ""category"": ""PresenceSensor"",
  ""tags"": [""SectorB"", ""PresenceSensor""] 
  }, 
  ""Alarm"": {
  ""category"": ""Alarm"",
  ""tags"": [""Alarm""]
  }
 }",nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n (#Alarm).alarm_siren()\n}""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#PresenceSensor).presenceSensor_presence == 'present') {\n    (#Alarm).alarm_siren()\n}""}",1,"[{'name': 'SoundAlarmOnOccupancy', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#PresenceSensor).presenceSensor_presence == ""present"") {\n  if (triggered == false) {\n    (#Alarm).alarm_siren()\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.5,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#PresenceSensor).presenceSensor_presence == ""present"")\n(#Alarm).alarm_siren()'}]",0.8,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#OccupancySensor).occupancySensor_isOccupied == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.45,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}",1
2,에어컨의 모드가 냉방 모드면 알람의 사이렌을 울려줘.,,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == \""cool\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == \""cool\"") {\n (#Alarm).alarm_siren()\n}""}",1," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == 'cool') {(#Alarm).alarm_siren()}""}",1,"[{'name': 'SoundSirenWhenCooling', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  if (any(#Alarm).switch_switch == ""on"") {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren).switch_switch == ""on"") {\n    (#Siren).sirenMode_setSirenMode(""siren"")\n  }\n}'}]",0.6,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  (#Alarm).alarm_siren()\n}'}]",1,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditionerMode_mode ==""}",0.849,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == \""cool\"") {\n  (#Alarm).alarm_siren()\n}""}",1
2,에어컨의 목표 온도가 30도면 알람의 사이렌을 울려줘.,,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n (#Alarm).alarm_siren()\n}""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {(#Alarm).alarm_siren()}""}",1,"[{'name': 'AlarmWhenACTemp30', 'cron': '', 'period': -1, 'code': ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  if (any(#Alarm)) {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    (#Siren).sirenMode_setSirenMode('siren')\n  }\n}""}]",0.7,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  (#Alarm).alarm_siren()\n}'}]",0.95,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditioner_getTargetTemperature() == 30) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.933,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  (#Alarm).alarm_siren()\n}""}",1
