index,category,command_kor,command_eng,gt,connected_devices,gt_converted,profile,output_joicode,output_name,output_cron,output_period,output_code,output_model_label,output_request_model,output_selected_model,output_translated_sentence,output_generation_error,output_response_time,output_prompt_tokens,output_completion_tokens,output_total_tokens,det_row_no,det_dataset_index,det_command,det_pass,det_sdet,det_script_similarity,det_fatal_reasons,det_predicted_services,det_reference_script,det_predicted_script
1,1,식기세척기를 건조 모드로 설정해줘.,Switch the dishwasher to dry mode.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).SetDishwasherMode(\""dry\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).Dishwasher_SetDishwasherMode(\""dry\"")""}",version0_13,"{""name"": ""Set Dishwasher Dry Mode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",Set Dishwasher Dry Mode,,-1,"(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")",local_8b (version0_13),gpt_mg.version0_13,local_8b,임의의 식기세척기를 건조 모드로 설정한다.,,13.8513 seconds,45832,52,45884,1,1,식기세척기를 건조 모드로 설정해줘.,True,0.921569,0.921569,,dishwasherMode_setDishwasherMode,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")"
2,1,오븐의 작동 시간을 5분 늘려줘.,Add 5 minutes to the oven.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).AddMoreTime(300)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).Oven_AddMoreTime(300)""}",version0_13,"{""name"": ""IncreaseOvenDuration"", ""cron"": """", ""period"": -1, ""code"": ""ovenDuration := (#Oven).ovenControl_duration\n(#Oven).ovenControl_setDuration(ovenDuration + 300)""}",IncreaseOvenDuration,,-1,"ovenDuration := (#Oven).ovenControl_duration
(#Oven).ovenControl_setDuration(ovenDuration + 300)",local_8b (version0_13),gpt_mg.version0_13,local_8b,"임의의 오븐의 조리 시간을 먼저 확인하고, 그 다음 5분(300초) 늘린다.",,13.9143 seconds,45832,62,45894,2,2,오븐의 작동 시간을 5분 늘려줘.,False,0.0,0.333333,unknown_services:ovenControl_duration,ovenControl_duration,(#Oven).Oven_AddMoreTime(300),"ovenDuration := (#Oven).ovenControl_duration
(#Oven).ovenControl_setDuration(ovenDuration + 300)"
3,1,밥솥을 조리 모드로 30분 작동시켜.,Start the rice cooker on cooking mode for 30 minutes.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).SetCookingParameters(\""cooking\"", 1800)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).RiceCooker_SetCookingParameters(\""cooking\"", 1800)""}",version0_13,"{""name"": ""CookRice"", ""cron"": """", ""period"": 1800000, ""code"": ""if ((#Dishwasher).dishwasherMode_dishwasherMode == \""idle\"") {\n  (#Dishwasher).dishwasherMode_setDishwasherMode(\""cooking\"")\n  (#Dishwasher).dishwasherOperatingState_startWatering()\n}""}",CookRice,,1800000,"if ((#Dishwasher).dishwasherMode_dishwasherMode == ""idle"") {
  (#Dishwasher).dishwasherMode_setDishwasherMode(""cooking"")
  (#Dishwasher).dishwasherOperatingState_startWatering()
}",local_8b (version0_13),gpt_mg.version0_13,local_8b,"먼저 임의의 식기세척기가 대기 상태인지 확인하고, 대기 상태이면 임의의 식기세척기를 요리 모드로 설정한 후 물을 공급한다.",,14.6201 seconds,45835,95,45930,3,3,밥솥을 조리 모드로 30분 작동시켜.,False,0.0,0.244541,unknown_services:dishwasherOperatingState_startWatering,"dishwasherMode_dishwasherMode, dishwasherMode_setDishwasherMode, dishwasherOperatingState_startWatering","(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)","if ((#Dishwasher).dishwasherMode_dishwasherMode == ""idle"") {
  (#Dishwasher).dishwasherMode_setDishwasherMode(""cooking"")
  (#Dishwasher).dishwasherOperatingState_startWatering()
}"
4,1,사이렌을 응급모드로 울려줘.,Set the siren to emergency mode.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).SetSirenMode(\""emergency\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).Siren_SetSirenMode(\""emergency\"")""}",version0_13,"{""name"": ""EmergencySiren"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""emergency\"")""}",EmergencySiren,,-1,"(#Siren).sirenMode_setSirenMode(""emergency"")",local_8b (version0_13),gpt_mg.version0_13,local_8b,임의의 사이렌을 긴급 모드로 켠다.,,13.7689 seconds,45831,48,45879,4,4,사이렌을 응급모드로 울려줘.,True,0.904762,0.904762,,sirenMode_setSirenMode,"(#Siren).Siren_SetSirenMode(""emergency"")","(#Siren).sirenMode_setSirenMode(""emergency"")"
5,1,스피커의 볼륨을 30으로 설정해줘.,Set the speaker volume to 30.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).SetVolume(30)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).Speaker_SetVolume(30)""}",version0_13,"{""name"": ""SetSpeakerVolume"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).audioVolume_setVolume(30)""}",SetSpeakerVolume,,-1,(#Speaker).audioVolume_setVolume(30),local_8b (version0_13),gpt_mg.version0_13,local_8b,임의의 스피커 볼륨을 30으로 설정한다.,,13.8715 seconds,45835,44,45879,5,5,스피커의 볼륨을 30으로 설정해줘.,True,0.735294,0.735294,,audioVolume_setVolume,(#Speaker).Speaker_SetVolume(30),(#Speaker).audioVolume_setVolume(30)
6,1,TV 채널을 하나 내려줘.,Turn the TV channel down by one.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).ChannelDown()""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).Television_ChannelDown()""}",version0_13,"{""name"": ""TVChannelDown"", ""cron"": """", ""period"": -1, ""code"": ""(#Television).tvChannel_channelDown()""}",TVChannelDown,,-1,(#Television).tvChannel_channelDown(),local_8b (version0_13),gpt_mg.version0_13,local_8b,임의의 텔레비전 채널을 내린다.,,13.7160 seconds,45828,42,45870,6,6,TV 채널을 하나 내려줘.,True,0.773333,0.773333,,tvChannel_channelDown,(#Television).Television_ChannelDown(),(#Television).tvChannel_channelDown()
7,1,TV로 7번 채널을 틀어줘.,Switch the TV to channel 7.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).SetChannel(7)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).Television_SetChannel(7)""}",version0_13,"{""name"": ""TVChannelChange"", ""cron"": """", ""period"": -1, ""code"": ""(#Television).tvChannel_setTvChannel(7)""}",TVChannelChange,,-1,(#Television).tvChannel_setTvChannel(7),local_8b (version0_13),gpt_mg.version0_13,local_8b,임의의 텔레비전 채널을 7번으로 변경한다.,,13.7907 seconds,45833,45,45878,7,7,TV로 7번 채널을 틀어줘.,True,0.753247,0.753247,,tvChannel_setTvChannel,(#Television).Television_SetChannel(7),(#Television).tvChannel_setTvChannel(7)
8,1,현재 온도를 스피커로 알려줘.,Announce the temperature through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).Temperature\n\n(#Speaker).Speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).TemperatureSensor_Temperature\n\n(#Speaker).Speaker_Speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",version0_13,"{""name"": ""ReportTemperature"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_speak((#TemperatureSensor).temperatureMeasurement_temperature)""}",ReportTemperature,,-1,(#Speaker).mediaPlayback_speak((#TemperatureSensor).temperatureMeasurement_temperature),local_8b (version0_13),gpt_mg.version0_13,local_8b,"임의의 온도를 먼저 측정하고, 그 값을 임의의 스피커가 말한다.",,13.9028 seconds,45831,48,45879,8,8,현재 온도를 스피커로 알려줘.,True,0.513369,0.513369,,mediaPlayback_speak,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",(#Speaker).mediaPlayback_speak((#TemperatureSensor).temperatureMeasurement_temperature)
9,1,외부 온도를 스피커로 출력해줘.,Tell me the outdoor temperature through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).TemperatureWeather\n\n(#Speaker).Speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).WeatherProvider_TemperatureWeather\n\n(#Speaker).Speaker_Speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}",version0_13,"{""name"": ""ExternalTempToSpeaker"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_speak((#WeatherProvider).temperatureMeasurement_temperature)""}",ExternalTempToSpeaker,,-1,(#Speaker).mediaPlayback_speak((#WeatherProvider).temperatureMeasurement_temperature),local_8b (version0_13),gpt_mg.version0_13,local_8b,"임의의 WeatherProvider에서 현재 온도를 측정하여, 임의의 스피커가 그 온도를 음성으로 안내한다.",,14.2257 seconds,45834,50,45884,9,9,외부 온도를 스피커로 출력해줘.,True,0.446809,0.446809,,mediaPlayback_speak,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",(#Speaker).mediaPlayback_speak((#WeatherProvider).temperatureMeasurement_temperature)
10,1,현재 습도를 스피커로 말해줘.,Tell me the current humidity through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).Humidity\n\n(#Speaker).Speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).HumiditySensor_Humidity\n\n(#Speaker).Speaker_Speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}",version0_13,"{""name"": ""ReportHumidity"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_speak((#HumiditySensor).relativeHumidityMeasurement_humidity)""}",ReportHumidity,,-1,(#Speaker).mediaPlayback_speak((#HumiditySensor).relativeHumidityMeasurement_humidity),local_8b (version0_13),gpt_mg.version0_13,local_8b,임의의 습도 센서의 습도 값을 임의의 스피커가 알려준다.,,13.9805 seconds,45832,53,45885,10,10,현재 습도를 스피커로 말해줘.,True,0.434286,0.434286,,mediaPlayback_speak,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",(#Speaker).mediaPlayback_speak((#HumiditySensor).relativeHumidityMeasurement_humidity)
