model_key,model_label,failure_reason,count
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_mismatch,21
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,semantic,16
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,extraneous,12
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_receiver_coverage,10
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_service_coverage,10
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,enum_grounding,9
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,arg_type,8
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,service_match,8
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,precondition,7
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,dataflow,4
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,numeric_grounding,4
qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,unknown_service:airconditionersetairconditionermode,2
