row_no,category,command_eng,command_kor,gt_name_display,service_list_schema,gt_code,generated_code,det_score,det_pass,det_profile,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,failure_reasons,service_list_retrieval_categories_display,prompt_context_mode,prompt_context_note,prompt_context_effective_topk,prompt_context_injected_categories,prompt_context_displayed_categories,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories,generation_error_type
1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,SwitchDishwasherToDryMode,service_list_ver2.0.1.json,"(#Dishwasher).dishwasher_setdishwashermode(""dry"")","(#Dishwasher).dishwasher_setdishwashermode(""dry"")",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Dishwasher, LaundryDryer, DimmerSwitch, Dehumidifier, Switch, AirPurifier, RiceCooker, AirConditioner, Oven, Humidifier",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Dishwasher"", ""LaundryDryer"", ""DimmerSwitch"", ""Dehumidifier"", ""Switch"", ""AirPurifier"", ""RiceCooker"", ""AirConditioner"", ""Oven"", ""Humidifier""]","[""Dishwasher"", ""LaundryDryer"", ""DimmerSwitch"", ""Dehumidifier"", ""Switch"", ""AirPurifier"", ""RiceCooker"", ""AirConditioner"", ""Oven"", ""Humidifier""]",20054,44,20098,2.5773,7.8786,7798.0833,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Dishwasher"", ""LaundryDryer"", ""DimmerSwitch"", ""Dehumidifier"", ""Switch"", ""AirPurifier"", ""RiceCooker"", ""AirConditioner"", ""Oven"", ""Humidifier""]",
2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,Add5MinutesToOven,service_list_ver2.0.1.json,(#Oven).oven_addmoretime(300),(#Oven).oven_addmoretime(300),100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Oven, RiceCooker, MenuProvider, Dishwasher, LaundryDryer, Clock, AirConditioner, Button, TemperatureSensor, Door",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""LaundryDryer"", ""Clock"", ""AirConditioner"", ""Button"", ""TemperatureSensor"", ""Door""]","[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""LaundryDryer"", ""Clock"", ""AirConditioner"", ""Button"", ""TemperatureSensor"", ""Door""]",20726,43,20769,1.9797,2.8971,10490.9835,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""LaundryDryer"", ""Clock"", ""AirConditioner"", ""Button"", ""TemperatureSensor"", ""Door""]",
3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,StartRiceCookerOnCookingModeFor30Minutes,service_list_ver2.0.1.json,"(#RiceCooker).ricecooker_setcookingparameters(""cooking"", 1800)","(#RiceCooker).ricecooker_setcookingparameters(""cooking"", 1800)",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"RiceCooker, Oven, Dishwasher, RobotVacuumCleaner, FaceRecognizer, AudioRecorder, CarbonDioxideSensor, MenuProvider, Charger, Siren",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""RiceCooker"", ""Oven"", ""Dishwasher"", ""RobotVacuumCleaner"", ""FaceRecognizer"", ""AudioRecorder"", ""CarbonDioxideSensor"", ""MenuProvider"", ""Charger"", ""Siren""]","[""RiceCooker"", ""Oven"", ""Dishwasher"", ""RobotVacuumCleaner"", ""FaceRecognizer"", ""AudioRecorder"", ""CarbonDioxideSensor"", ""MenuProvider"", ""Charger"", ""Siren""]",19946,52,19998,5.5704,6.4829,3590.0474,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""RiceCooker"", ""Oven"", ""Dishwasher"", ""RobotVacuumCleaner"", ""FaceRecognizer"", ""AudioRecorder"", ""CarbonDioxideSensor"", ""MenuProvider"", ""Charger"", ""Siren""]",
4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,SetSirenToEmergencyMode,service_list_ver2.0.1.json,"(#Siren).siren_setsirenmode(""emergency"")","(#Siren).sirenmode_setsirenmode(""emergency"")",23.6429,False,strict,False,0.728571,0.0,0.0,1.0,1.0,0.0,"[""arg_type"", ""enum_grounding"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic"", ""service_match"", ""unknown_service:sirenmode_setsirenmode""]","Siren, SoundSensor, AudioRecorder, Speaker, Pump, Oven, Safe, ArmRobot, RiceCooker, PressureSensor",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Siren"", ""SoundSensor"", ""AudioRecorder"", ""Speaker"", ""Pump"", ""Oven"", ""Safe"", ""ArmRobot"", ""RiceCooker"", ""PressureSensor""]","[""Siren"", ""SoundSensor"", ""AudioRecorder"", ""Speaker"", ""Pump"", ""Oven"", ""Safe"", ""ArmRobot"", ""RiceCooker"", ""PressureSensor""]",20217,46,20263,1.7662,2.6802,11472.6532,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Siren"", ""SoundSensor"", ""AudioRecorder"", ""Speaker"", ""Pump"", ""Oven"", ""Safe"", ""ArmRobot"", ""RiceCooker"", ""PressureSensor""]",
5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,SetSpeakerVolumeTo30,service_list_ver2.0.1.json,(#Speaker).speaker_setvolume(30),(#Speaker).speaker_setvolume(30),100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Speaker, SoundSensor, AudioRecorder, Siren, Television, Pump, PressureSensor, AirPurifier, CloudServiceProvider, LevelControl",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""Television"", ""Pump"", ""PressureSensor"", ""AirPurifier"", ""CloudServiceProvider"", ""LevelControl""]","[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""Television"", ""Pump"", ""PressureSensor"", ""AirPurifier"", ""CloudServiceProvider"", ""LevelControl""]",20915,39,20954,1.5378,2.4449,13625.9592,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""Television"", ""Pump"", ""PressureSensor"", ""AirPurifier"", ""CloudServiceProvider"", ""LevelControl""]",
6,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,TurnTVChannelDownByOne,service_list_ver2.0.1.json,(#Television).television_channeldown(),(#Television).television_channeldown(),100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Television, DimmerSwitch, Speaker, TapDialSwitch, Dishwasher, Camera, Switch, LevelControl, Valve, Dehumidifier",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Television"", ""DimmerSwitch"", ""Speaker"", ""TapDialSwitch"", ""Dishwasher"", ""Camera"", ""Switch"", ""LevelControl"", ""Valve"", ""Dehumidifier""]","[""Television"", ""DimmerSwitch"", ""Speaker"", ""TapDialSwitch"", ""Dishwasher"", ""Camera"", ""Switch"", ""LevelControl"", ""Valve"", ""Dehumidifier""]",20956,39,20995,1.4707,2.3793,14275.5151,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Television"", ""DimmerSwitch"", ""Speaker"", ""TapDialSwitch"", ""Dishwasher"", ""Camera"", ""Switch"", ""LevelControl"", ""Valve"", ""Dehumidifier""]",
7,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,SwitchTVToChannel7,service_list_ver2.0.1.json,(#Television).television_setchannel(7),(#Television).television_setchannel(7),100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Television, Switch, TapDialSwitch, LevelControl, DimmerSwitch, Valve, Dishwasher, Speaker, Camera, ColorControl",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Television"", ""Switch"", ""TapDialSwitch"", ""LevelControl"", ""DimmerSwitch"", ""Valve"", ""Dishwasher"", ""Speaker"", ""Camera"", ""ColorControl""]","[""Television"", ""Switch"", ""TapDialSwitch"", ""LevelControl"", ""DimmerSwitch"", ""Valve"", ""Dishwasher"", ""Speaker"", ""Camera"", ""ColorControl""]",20855,40,20895,1.6461,2.5555,12693.6395,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Television"", ""Switch"", ""TapDialSwitch"", ""LevelControl"", ""DimmerSwitch"", ""Valve"", ""Dishwasher"", ""Speaker"", ""Camera"", ""ColorControl""]",
8,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,AnnounceTemperatureThroughSpeaker,service_list_ver2.0.1.json,"temp = (#TemperatureSensor).temperaturesensor_temperature

(#Speaker).speaker_speak(""현재 온도는 "" + temp + ""도입니다"")","temp = (#TemperatureSensor).temperaturemeasurement_temperature
(#Speaker).speaker_speak(temp)",63.1183,False,strict,False,0.809375,0.5,0.5,0.0,1.0,1.0,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""service_match"", ""unknown_service:temperaturemeasurement_temperature""]","Speaker, TemperatureSensor, AirConditioner, WeatherProvider, AudioRecorder, SoundSensor, PresenceVitalSensor, AirQualitySensor, Siren, Television",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Speaker"", ""TemperatureSensor"", ""AirConditioner"", ""WeatherProvider"", ""AudioRecorder"", ""SoundSensor"", ""PresenceVitalSensor"", ""AirQualitySensor"", ""Siren"", ""Television""]","[""Speaker"", ""TemperatureSensor"", ""AirConditioner"", ""WeatherProvider"", ""AudioRecorder"", ""SoundSensor"", ""PresenceVitalSensor"", ""AirQualitySensor"", ""Siren"", ""Television""]",21236,46,21282,2.5937,3.5162,8205.2666,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""TemperatureSensor"", ""AirConditioner"", ""WeatherProvider"", ""AudioRecorder"", ""SoundSensor"", ""PresenceVitalSensor"", ""AirQualitySensor"", ""Siren"", ""Television""]",
9,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,TellMeOutdoorTemperatureThroughSpeaker,service_list_ver2.0.1.json,"temp = (#WeatherProvider).weatherprovider_temperatureweather

(#Speaker).speaker_speak(""외부 온도는 "" + temp + ""도입니다"")","temp = (#WeatherProvider).weatherprovider_temperatureweather
(#Speaker).speaker_speak(temp)",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Speaker, TemperatureSensor, WeatherProvider, AirConditioner, SoundSensor, AudioRecorder, AirQualitySensor, Siren, PresenceVitalSensor, AirPurifier",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Speaker"", ""TemperatureSensor"", ""WeatherProvider"", ""AirConditioner"", ""SoundSensor"", ""AudioRecorder"", ""AirQualitySensor"", ""Siren"", ""PresenceVitalSensor"", ""AirPurifier""]","[""Speaker"", ""TemperatureSensor"", ""WeatherProvider"", ""AirConditioner"", ""SoundSensor"", ""AudioRecorder"", ""AirQualitySensor"", ""Siren"", ""PresenceVitalSensor"", ""AirPurifier""]",21132,50,21182,4.2971,5.2321,4929.371,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""TemperatureSensor"", ""WeatherProvider"", ""AirConditioner"", ""SoundSensor"", ""AudioRecorder"", ""AirQualitySensor"", ""Siren"", ""PresenceVitalSensor"", ""AirPurifier""]",
10,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,TellMeCurrentHumidityThroughSpeaker,service_list_ver2.0.1.json,"hum = (#HumiditySensor).humiditysensor_humidity

(#Speaker).speaker_speak(""현재 습도는 "" + hum + ""%입니다"")","hum = (#HumiditySensor).humiditysensor_humidity
(#Speaker).speaker_speak(hum)",100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,[],"Speaker, HumiditySensor, SoundSensor, WeatherProvider, AirQualitySensor, AudioRecorder, Humidifier, AirPurifier, Plug, Charger",retrieval premapping,Retrieval premapping was used for this row. Requested top-10 and injected 10 category group(s) into the prompt.,10,"[""Speaker"", ""HumiditySensor"", ""SoundSensor"", ""WeatherProvider"", ""AirQualitySensor"", ""AudioRecorder"", ""Humidifier"", ""AirPurifier"", ""Plug"", ""Charger""]","[""Speaker"", ""HumiditySensor"", ""SoundSensor"", ""WeatherProvider"", ""AirQualitySensor"", ""AudioRecorder"", ""Humidifier"", ""AirPurifier"", ""Plug"", ""Charger""]",20611,49,20660,1.8033,2.7621,11456.7737,0.0,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""HumiditySensor"", ""SoundSensor"", ""WeatherProvider"", ""AirQualitySensor"", ""AudioRecorder"", ""Humidifier"", ""AirPurifier"", ""Plug"", ""Charger""]",
