row_no,category,row_category,command_eng,command_kor,gt,gt_name,gt_cron,gt_period,gt_code,warmup_excluded,gpt41_mini__det_score,gpt41_mini__det_pass,gpt41_mini__det_profile,gpt41_mini__det_gt_exact,gpt41_mini__det_gt_similarity,gpt41_mini__det_gt_service_coverage,gpt41_mini__det_gt_service_precision,gpt41_mini__det_gt_receiver_coverage,gpt41_mini__det_dataflow_score,gpt41_mini__det_numeric_grounding,gpt41_mini__det_enum_grounding,gpt41_mini__failure_reasons,gpt41_mini__output,gpt41_mini__output_name,gpt41_mini__output_cron,gpt41_mini__output_period,gpt41_mini__output_code,gpt41_mini__prompt_chars,gpt41_mini__prompt_tokens,gpt41_mini__completion_tokens,gpt41_mini__total_tokens,gpt41_mini__llm_latency_sec,gpt41_mini__total_pipeline_sec,gpt41_mini__tokens_per_sec,gpt41_mini__peak_vram_gb,gpt41_mini__generation_error_type,gpt41_mini__oom_flag,gpt41_mini__worker_python,gpt41_mini__resolved_model_path,gpt41_mini__service_list_snippet_source,gpt41_mini__service_list_device_count,gpt41_mini__service_list_retrieval_status,gpt41_mini__service_list_retrieval_mode,gpt41_mini__service_list_retrieval_topk,gpt41_mini__service_list_retrieval_categories,gpt41_mini__prompt_render_mode,gpt41_mini__prompt_assets_dir,gpt41_mini__warmup_excluded,gpt41_mini__row_category
91,4,4,"When the contact sensor is detected, turn on the light.",접촉 센서가 감지되면 조명을 켜줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#ContactSensor).contactsensor_contact == true)\n\n(#Light).switch_on()""}",,,0,"
wait until ((#ContactSensor).contactsensor_contact == true)

(#Light).switch_on()",False,93.5443,True,strict,False,0.50885,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""TurnOnLightWhenContactDetected"",""cron"":"""",""period"":100,""code"":""prev := (#ContactSensor).contactsensor_contact\ncurr = (#ContactSensor).contactsensor_contact\nif (prev == false and curr == true) {\n    (#Light).switch_on()\n}\nprev = curr""}",TurnOnLightWhenContactDetected,,100,"prev := (#ContactSensor).contactsensor_contact
curr = (#ContactSensor).contactsensor_contact
if (prev == false and curr == true) {
    (#Light).switch_on()
}
prev = curr",76106,17715,64,17779,2.4425,7.7338,7279.0174,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""PresenceSensor"", ""ContactSensor"", ""LightSensor"", ""PresenceVitalSensor"", ""Light"", ""MotionSensor"", ""CarbonDioxideSensor"", ""TemperatureSensor"", ""Button"", ""ColorControl""]",blocks,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
92,4,4,"When the presence sensor detects someone, turn on the TV.",재실 센서가 감지되면 TV를 켜줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#PresenceSensor).presencesensor_presence == true)\n\n(#Television).switch_on()""}",,,0,"
wait until ((#PresenceSensor).presencesensor_presence == true)

(#Television).switch_on()",False,93.3051,True,strict,False,0.518163,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch"", ""semantic""]","{""name"":""TurnOnTvWhenPresenceDetected"",""cron"":"""",""period"":100,""code"":""prev := (#PresenceSensor).presencesensor_presence\ncurr = (#PresenceSensor).presencesensor_presence\nif (prev == false and curr == true) {\n    (#Television).switch_on()\n}\nprev = curr""}",TurnOnTvWhenPresenceDetected,,100,"prev := (#PresenceSensor).presencesensor_presence
curr = (#PresenceSensor).presencesensor_presence
if (prev == false and curr == true) {
    (#Television).switch_on()
}
prev = curr",71216,16779,67,16846,3.8945,4.8644,4325.5874,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""PresenceSensor"", ""Television"", ""PresenceVitalSensor"", ""TemperatureSensor"", ""CarbonDioxideSensor"", ""Switch"", ""ContactSensor"", ""MotionSensor"", ""ArmRobot"", ""PressureSensor""]",blocks,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
93,4,4,"When the sound sensor value exceeds 50, stop speaker playback.",소리 센서의 수치가 50보다 커지면 스피커 재생을 멈춰줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#SoundSensor).soundsensor_sound > 50)\n\n(#Speaker).speaker_stop()""}",,,0,"
wait until ((#SoundSensor).soundsensor_sound > 50)

(#Speaker).speaker_stop()",False,93.9134,True,strict,False,0.512679,1.0,1.0,1.0,1.0,0.75,1.0,"[""gt_mismatch"", ""numeric_grounding""]","{""name"":""StopSpeakerWhenSoundExceeds50"",""cron"":"""",""period"":100,""code"":""prev := (#SoundSensor).soundsensor_sound\ncurr = (#SoundSensor).soundsensor_sound\nif (prev <= 50 and curr > 50) {\n    (#Speaker).speaker_stop()\n}\nprev = curr""}",StopSpeakerWhenSoundExceeds50,,100,"prev := (#SoundSensor).soundsensor_sound
curr = (#SoundSensor).soundsensor_sound
if (prev <= 50 and curr > 50) {
    (#Speaker).speaker_stop()
}
prev = curr",76064,17740,67,17807,4.3664,5.3381,4078.188,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""PresenceSensor"", ""PressureSensor"", ""ContactSensor"", ""PresenceVitalSensor"", ""ArmRobot"", ""LeakSensor""]",blocks,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
94,4,4,"When it rains, turn on the dehumidifier.",비가 오면 제습기를 켜줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#RainSensor).rainsensor_rain == true)\n\n(#Dehumidifier).switch_on()""}",,,0,"
wait until ((#RainSensor).rainsensor_rain == true)

(#Dehumidifier).switch_on()",False,69.9,False,strict,False,0.329382,0.5,0.5,0.5,1.0,1.0,1.0,"[""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","{""name"":""TurnOnDehumidifierWhenRains"",""cron"":"""",""period"":100,""code"":""prev := (#RainSensor).rainsensor_rain\ncurr = (#RainSensor).rainsensor_rain\nif (prev == false and curr == true) {\n    (#Dehumidifier).dehumidifier_setdehumidifiermode(\""dehumidifying\"")\n}\nprev = curr""}",TurnOnDehumidifierWhenRains,,100,"prev := (#RainSensor).rainsensor_rain
curr = (#RainSensor).rainsensor_rain
if (prev == false and curr == true) {
    (#Dehumidifier).dehumidifier_setdehumidifiermode(""dehumidifying"")
}
prev = curr",75535,17697,83,17780,2.1913,3.1251,8113.905,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""HumiditySensor"", ""RainSensor"", ""Dehumidifier"", ""Humidifier"", ""WeatherProvider"", ""ArmRobot"", ""Dishwasher"", ""AirConditioner"", ""Pump"", ""LaundryDryer""]",blocks,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
95,4,4,"When the brightness falls below 100 lux, turn on the light.",밝기가 100 럭스 미만이 되면 조명을 켜줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#LightSensor).lightsensor_brightness < 100)\n\n(#Light).switch_on()""}",,,0,"
wait until ((#LightSensor).lightsensor_brightness < 100)

(#Light).switch_on()",False,92.8571,True,strict,False,0.507143,1.0,1.0,1.0,1.0,0.75,1.0,"[""gt_mismatch"", ""numeric_grounding""]","{""name"":""TurnOnLightWhenBrightnessBelow100Lux"",""cron"":"""",""period"":100,""code"":""prev := (#LightSensor).lightsensor_brightness\ncurr = (#LightSensor).lightsensor_brightness\nif (prev >= 100 and curr < 100) {\n    (#Light).switch_on()\n}\nprev = curr""}",TurnOnLightWhenBrightnessBelow100Lux,,100,"prev := (#LightSensor).lightsensor_brightness
curr = (#LightSensor).lightsensor_brightness
if (prev >= 100 and curr < 100) {
    (#Light).switch_on()
}
prev = curr",79609,18501,70,18571,2.8174,3.7747,6591.5383,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""LightSensor"", ""Light"", ""ColorControl"", ""DimmerSwitch"", ""ArmRobot"", ""Switch"", ""Plug"", ""Charger"", ""SmokeDetector"", ""Television""]",blocks,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
96,4,4,"When the carbon dioxide concentration reaches 1000ppm or higher, sound the emergency siren.",이산화탄소 농도가 1000ppm 이상이 되면 긴급 사이렌을 울려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#CarbonDioxideSensor).carbondioxidesensor_carbondioxide >= 1000)\n\n(#Siren).siren_setsirenmode(\""emergency\"")""}",,,0,"
wait until ((#CarbonDioxideSensor).carbondioxidesensor_carbondioxide >= 1000)

(#Siren).siren_setsirenmode(""emergency"")",False,93.1242,True,strict,False,0.541509,1.0,1.0,1.0,1.0,0.75,1.0,"[""gt_mismatch"", ""numeric_grounding""]","{""name"":""SoundEmergencySirenOnHighCO2"",""cron"":"""",""period"":100,""code"":""prev := (#CarbonDioxideSensor).carbondioxidesensor_carbondioxide\ncurr = (#CarbonDioxideSensor).carbondioxidesensor_carbondioxide\nif (prev < 1000 and curr >= 1000) {\n    (#Siren).siren_setsirenmode(\""emergency\"")\n}\nprev = curr""}",SoundEmergencySirenOnHighCO2,,100,"prev := (#CarbonDioxideSensor).carbondioxidesensor_carbondioxide
curr = (#CarbonDioxideSensor).carbondioxidesensor_carbondioxide
if (prev < 1000 and curr >= 1000) {
    (#Siren).siren_setsirenmode(""emergency"")
}
prev = curr",76460,17854,94,17948,1.9858,2.9513,9038.171,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""AirQualitySensor"", ""CarbonDioxideSensor"", ""Siren"", ""ArmRobot"", ""Charger"", ""SoundSensor"", ""AirConditioner"", ""SmokeDetector"", ""PresenceVitalSensor"", ""ColorControl""]",blocks,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
97,4,4,"When smoke is detected, sound the fire alarm with the siren.",연기가 감지되면 사이렌으로 화재경보를 울려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#SmokeDetector).smokedetector_smoke == true)\n\n(#Siren).siren_setsirenmode(\""fire\"")""}",,,0,"
wait until ((#SmokeDetector).smokedetector_smoke == true)

(#Siren).siren_setsirenmode(""fire"")",False,94.654,True,strict,False,0.5308,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""SoundFireAlarmOnSmokeDetection"",""cron"":"""",""period"":100,""code"":""prev := (#SmokeDetector).smokedetector_smoke\ncurr = (#SmokeDetector).smokedetector_smoke\nif (prev == false and curr == true) {\n    (#Siren).siren_setsirenmode(\""fire\"")\n}\nprev = curr""}",SoundFireAlarmOnSmokeDetection,,100,"prev := (#SmokeDetector).smokedetector_smoke
curr = (#SmokeDetector).smokedetector_smoke
if (prev == false and curr == true) {
    (#Siren).siren_setsirenmode(""fire"")
}
prev = curr",77278,18089,77,18166,1.9093,2.8476,9514.4817,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""PresenceSensor"", ""Siren"", ""SmokeDetector"", ""SoundSensor"", ""ArmRobot"", ""CarbonDioxideSensor"", ""Oven"", ""AirQualitySensor"", ""PresenceVitalSensor"", ""RiceCooker""]",blocks,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
98,4,4,"When the button is pushed 3 times, open the valve.",버튼이 세번 눌리면 벨브를 열어줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": 
""wait until ((#Button).button_button == \""pushed_3x\"")\n\n(#Valve).valve_open()""}",,,0,"wait until ((#Button).button_button == ""pushed_3x"")

(#Valve).valve_open()",False,94.4857,True,strict,False,0.507143,1.0,1.0,1.0,1.0,0.75,1.0,"[""gt_mismatch"", ""numeric_grounding""]","{""name"":""OpenValveOnButton3Push"",""cron"":"""",""period"":100,""code"":""prev := (#Button).button_button\ncurr = (#Button).button_button\nif (prev != \""pushed_3x\"" and curr == \""pushed_3x\"") {\n    (#Valve).valve_open()\n}\nprev = curr""}",OpenValveOnButton3Push,,100,"prev := (#Button).button_button
curr = (#Button).button_button
if (prev != ""pushed_3x"" and curr == ""pushed_3x"") {
    (#Valve).valve_open()
}
prev = curr",79103,18509,72,18581,2.0636,3.0311,9004.1675,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Valve"", ""Button"", ""ArmRobot"", ""TapDialSwitch"", ""Door"", ""Pump"", ""PresenceVitalSensor"", ""Oven"", ""Safe"", ""DimmerSwitch""]",blocks,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
99,4,4,"When the temperature reaches 35 degrees or higher, set the air conditioner to 30 degrees.",온도가 35도 이상이 되면 에어컨의 목표 온도를 30도로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#TemperatureSensor).temperaturesensor_temperature >= 35)\n\n(#AirConditioner).airconditioner_settargettemperature(30)""}",,,0,"
wait until ((#TemperatureSensor).temperaturesensor_temperature >= 35)

(#AirConditioner).airconditioner_settargettemperature(30)",False,100.0,True,strict,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],"{""name"":""SetAirConditionerTo30WhenTempAbove35"",""cron"":"""",""period"":0,""code"":""wait until ((#TemperatureSensor).temperaturesensor_temperature >= 35)\n(#AirConditioner).airconditioner_settargettemperature(30)""}",SetAirConditionerTo30WhenTempAbove35,,0,"wait until ((#TemperatureSensor).temperaturesensor_temperature >= 35)
(#AirConditioner).airconditioner_settargettemperature(30)",81550,18868,53,18921,3.1784,4.1416,5952.9952,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""TemperatureSensor"", ""AirConditioner"", ""AirPurifier"", ""AirQualitySensor"", ""ArmRobot"", ""LaundryDryer"", ""Dishwasher"", ""WeatherProvider"", ""Oven"", ""Dehumidifier""]",blocks,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
100,4,4,"When the safe is unlocked, sound the police siren.",금고가 열리면 경찰 사이렌을 울려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#Safe).safe_safestate == \""unlocked\"")\n\n(#Siren).siren_setsirenmode(\""police\"")""}",,,0,"
wait until ((#Safe).safe_safestate == ""unlocked"")

(#Siren).siren_setsirenmode(""police"")",False,95.1939,True,strict,False,0.518778,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""SoundPoliceSirenWhenSafeUnlocked"",""cron"":"""",""period"":100,""code"":""prev := (#Safe).safe_safestate\ncurr = (#Safe).safe_safestate\nif (prev != \""open\"" and curr == \""open\"") {\n    (#Siren).siren_setsirenmode(\""police\"")\n}\nprev = curr""}",SoundPoliceSirenWhenSafeUnlocked,,100,"prev := (#Safe).safe_safestate
curr = (#Safe).safe_safestate
if (prev != ""open"" and curr == ""open"") {
    (#Siren).siren_setsirenmode(""police"")
}
prev = curr",78641,18270,76,18346,2.5498,3.5258,7195.0741,0.0,,False,,,service_retrieval_fallback,10,used,hybrid,10,"[""Siren"", ""Safe"", ""SoundSensor"", ""ArmRobot"", ""DoorLock"", ""Door"", ""PresenceVitalSensor"", ""AudioRecorder"", ""PressureSensor"", ""Speaker""]",blocks,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
