category_analysis,command,GT,generated_code,cloud_similarity_gpt4o,explanation
1.0,사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}",1.0,
1.0,사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""siren\"")""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#Siren).sirenMode_setSirenMode('siren')""}",1.0,
1.0,경광등을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_strobe()""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_strobe()'}",1.0,
1.0,경광등을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""strobe\"")""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#Siren).sirenMode_setSirenMode('strobe')""}",1.0,
1.0,사이렌과 경광등을 동시에 켜 줘,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_both()'}",1.0,
1.0,사이렌과 경광등을 둘 다 꺼 줘,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""off\"")""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#Siren).sirenMode_setSirenMode('off')""}",1.0,
2.0,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""if ((#OccupancySensor).presenceSensor_presence == 'present') {\n    (#Alarm).alarm_siren()\n}""}",1.0,
2.0,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""if ((#PresenceSensor).presenceSensor_presence == 'present') {\n    (#Alarm).alarm_siren()\n}""}",1.0,
2.0,에어컨의 모드가 냉방 모드면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == \""cool\"") {\n  (#Alarm).alarm_siren()\n}""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""if ((#AirConditioner).airConditionerMode_airConditionerMode == 'cool') {\n    (#Alarm).alarm_siren()\n}""}",1.0,
2.0,에어컨의 목표 온도가 30도면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n  (#Alarm).alarm_siren()\n}""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n    (#Alarm).alarm_siren()\n}'}",1.0,
1.0,에어컨을 자동 모드로 설정해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setAirConditionerMode(\""auto\"")""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#AirConditioner).airConditionerMode_setAirConditionerMode('auto')""}",1.0,
1.0,알람을 꺼줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_off()""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_off()'}",1.0,
1.0,블라인드를 70 퍼센트로 설정해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blindLevel_setBlindLevel(70)""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Blind).blindLevel_setBlindLevel(70)'}",1.0,
2.0,블라인드 움직임을 멈춰줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blind_pause()""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Blind).blind_pause()'}",1.0,
2.0,버튼4가 위로 스와이프되었으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Buttonx4).buttonx4_button4 == \""swipe_up\"") {\n  (#Alarm).alarm_siren()\n}""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""if ((#Buttonx4).buttonx4_button4 == 'swipe_up') {\n(#Alarm).alarm_siren()\n}""}",1.0,
1.0,10을 3으로 나눈 나머지를 구해.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_mod(10 | 3)""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Calculator).calculator_mod(10,3)'}",0.8,"The generated code uses a comma ',' instead of a pipe '|' for the calculator_mod function, which might affect the intended operation."
9.0,"가장 최근에 찍은 사진을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '사진'과 내용 '사진입니다.'로 보내줘.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_photo = (#Camera).camera_image\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""사진\"", \""사진입니다.\"", latest_photo)""}","{'name': 'SendLatestPhotoByEmail', 'cron': '', 'period': -1, 'code': ""latest_photo = (#Camera).camera_image\n(#EmailProvider).emailProvider_sendMailWithFile('test@example.com','사진','사진입니다.', latest_photo)""}",0.9,"The generated code uses single quotes for strings, which is a minor syntactic difference."
9.0,"가장 최근 동영상을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '동영상'과 내용 '동영상입니다.'로 보내줘","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_video = (#Camera).camera_video\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""동영상\"", \""동영상입니다.\"", latest_video)""}","{'name': 'SendLatestVideoEmail', 'cron': '', 'period': -1, 'code': ""latest_video = (#Camera).camera_video\n(#EmailProvider).emailProvider_sendMailWithFile('test@example.com','동영상','동영상입니다.', latest_video)""}",0.9,"The generated code uses single quotes for strings, which is a minor syntactic difference."
1.0,카메라로 10초 동안 속도 2로 타임랩스 영상을 촬영해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Camera).camera_takeTimelapse(10 | 2)""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Camera).camera_takeTimelapse(10,2)'}",0.8,"The generated code uses a comma ',' instead of a pipe '|' for the camera_takeTimelapse function, which might affect the intended operation."
