model_key,model_label,category,generation,genome_id,fitness,train_avg_det_score,train_variance,train_det_pass_rate,train_gt_exact_rate,validation_avg_det_score,validation_variance,validation_det_pass_rate,validation_gt_exact_rate,prompt_tokens,llm_latency_sec,peak_vram_gb,block_01,block_02,block_03,block_06,failure_summary
llama31_8b,Llama-3.1-8B-Instruct,5,1,v15-fef7cd7b-adab-4862-9f0d-93a68f9c2b66,89.9844,89.9844,0.0,100.0,0.0,95.7064,6.388598,100.0,25.0,76570,26.1919,19.7145,01_preamble.txt,02_generator_prompt.txt,03_postprocessor.txt,06_det_helper.txt,"{""gt_mismatch"": 3, ""enum_grounding"": 2, ""numeric_grounding"": 2}"
llama31_8b,Llama-3.1-8B-Instruct,5,1,v13mix-dd31b045-0a95-cfa8-f8bb-4a7af9673ee1,53.3088,53.3088,0.0,0.0,0.0,83.7781,195.348936,50.0,25.0,150356,53.8366,24.577,generated/v13_gene_pool_e35ef6292a/01_v13_caution_full.txt,generated/v13_gene_pool_e35ef6292a/02_v13_schema_first_compact.txt,generated/v13_gene_pool_e35ef6292a/03_v13_response_contract.txt,generated/v13_gene_pool_e35ef6292a/06_v13_grammar_tempo_compact.txt,"{""gt_mismatch"": 3, ""enum_grounding"": 2, ""numeric_grounding"": 2, ""semantic"": 1}"
llama31_8b,Llama-3.1-8B-Instruct,5,1,v13compact-e5fca719-6a26-d242-6686-3c4df833ed0d,69.9,69.9,0.0,0.0,0.0,64.6801,576.26065,25.0,0.0,203562,84.1758,28.2439,generated/v13_gene_pool_e35ef6292a/01_v13_caution_compact.txt,generated/v13_gene_pool_e35ef6292a/02_v13_service_response_compact.txt,generated/v13_gene_pool_e35ef6292a/03_v13_response_contract.txt,generated/v13_gene_pool_e35ef6292a/06_v13_grammar_tempo_compact.txt,"{""gt_mismatch"": 4, ""numeric_grounding"": 4, ""semantic"": 2, ""enum_grounding"": 2, ""arg_type"": 1, ""extraneous"": 1, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""no_parseable_member_access"": 1, ""precondition"": 1, ""service_match"": 1}"
llama31_8b,Llama-3.1-8B-Instruct,5,1,gene-35bf909d-c035-9129-7bcf-f24a1e59a22c,93.0339,93.0339,0.0,100.0,0.0,85.3718,218.988586,75.0,0.0,55034,23.3834,18.4613,01_preamble.txt,generated/v13_gene_pool_e35ef6292a/02_v13_schema_first_compact.txt,generated/v13_gene_pool_e35ef6292a/03_json_case_guard.txt,06_det_helper.txt,"{""gt_mismatch"": 4, ""numeric_grounding"": 3, ""enum_grounding"": 2, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1}"
llama31_8b,Llama-3.1-8B-Instruct,5,1,gene-1bea434b-236f-6e03-6e45-0e7aa06c23b7,53.3088,53.3088,0.0,0.0,0.0,67.1368,362.534081,25.0,0.0,150220,53.6521,24.5714,generated/v13_gene_pool_e35ef6292a/01_v13_caution_full.txt,generated/v13_gene_pool_e35ef6292a/02_v13_schema_first_compact.txt,generated/v13_gene_pool_e35ef6292a/03_v13_response_contract.txt,generated/v13_gene_pool_e35ef6292a/06_v13_grammar_tempo_compact.txt,"{""gt_mismatch"": 4, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""enum_grounding"": 2, ""numeric_grounding"": 2, ""arg_type"": 1, ""semantic"": 1}"
llama31_8b,Llama-3.1-8B-Instruct,5,1,gene-4d7ec8d6-fc95-5f19-52bb-a94fe611181b,69.9,69.9,0.0,0.0,0.0,66.3974,36.805671,0.0,0.0,246062,111.0263,30.7269,generated/v13_gene_pool_e35ef6292a/01_v13_caution_schema_strict.txt,generated/v13_gene_pool_e35ef6292a/02_v13_service_response_full.txt,generated/v13_gene_pool_e35ef6292a/03_json_case_guard.txt,generated/v13_gene_pool_e35ef6292a/06_v13_grammar_tempo_full.txt,"{""gt_mismatch"": 4, ""numeric_grounding"": 4, ""enum_grounding"": 2, ""arg_type"": 1, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""semantic"": 1}"
llama31_8b,Llama-3.1-8B-Instruct,5,1,gene-586823e5-07b3-64ff-b8c6-faced77e0125,51.8683,51.8683,0.0,0.0,0.0,88.9027,120.764069,75.0,0.0,132212,46.9716,23.5217,01_preamble.txt,generated/v13_gene_pool_e35ef6292a/02_v13_service_response_compact.txt,generated/v13_gene_pool_e35ef6292a/03_v13_response_contract.txt,generated/v13_gene_pool_e35ef6292a/06_det_strict_helper.txt,"{""gt_mismatch"": 4, ""numeric_grounding"": 4, ""enum_grounding"": 2, ""semantic"": 1}"
llama31_8b,Llama-3.1-8B-Instruct,5,1,gene-0ff566e4-b7cd-a666-0fa9-8505c3e4f2cc,93.75,93.75,0.0,100.0,0.0,67.3036,705.260392,50.0,0.0,243206,102.9331,30.5553,generated/v13_gene_pool_e35ef6292a/01_v13_caution_full.txt,generated/v13_gene_pool_e35ef6292a/02_v13_service_response_compact.txt,generated/v13_gene_pool_e35ef6292a/03_v13_response_contract.txt,generated/v13_gene_pool_e35ef6292a/06_v13_grammar_tempo_full.txt,"{""gt_mismatch"": 4, ""numeric_grounding"": 3, ""enum_grounding"": 2, ""extraneous"": 2, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""semantic"": 2}"
llama31_8b,Llama-3.1-8B-Instruct,5,1,gene-44e22a19-7cb4-3974-cc24-4e859dc54d0e,37.2426,37.2426,0.0,0.0,0.0,53.2172,599.271094,25.0,0.0,235482,87.9448,30.1062,generated/v13_gene_pool_e35ef6292a/01_v13_caution_full.txt,generated/v13_gene_pool_e35ef6292a/02_v13_service_response_full.txt,generated/v13_gene_pool_e35ef6292a/03_json_case_guard.txt,generated/v13_gene_pool_e35ef6292a/06_det_strict_helper.txt,"{""gt_mismatch"": 4, ""extraneous"": 3, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 3, ""semantic"": 3, ""enum_grounding"": 2}"
llama31_8b,Llama-3.1-8B-Instruct,5,1,gene-952d1c86-7795-ed09-a71b-104f5aec2d72,69.9,69.9,0.0,0.0,0.0,72.7971,174.004089,25.0,0.0,126912,46.4329,23.2101,generated/v13_gene_pool_e35ef6292a/01_v13_caution_compact.txt,generated/v13_gene_pool_e35ef6292a/02_v13_schema_first_compact.txt,03_postprocessor.txt,generated/v13_gene_pool_e35ef6292a/06_v13_grammar_tempo_compact.txt,"{""gt_mismatch"": 4, ""numeric_grounding"": 4, ""enum_grounding"": 2, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""semantic"": 1}"
