line_no,row_no,dataset_index,model_label,request_model,selected_model,command,det_pass,sdet,script_similarity,fatal_reasons,reference_script,predicted_script,predicted_services
1,1,1,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,식기세척기를 건조 모드로 설정해줘.,False,0.0,0.941176,unknown_services:DishwasherMode_setDishwasherMode,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")","(#Dishwasher).DishwasherMode_setDishwasherMode(""dry"")",DishwasherMode_setDishwasherMode
2,2,2,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,오븐의 작동 시간을 5분 늘려줘.,False,0.0,0.453333,unknown_services:ovenOperatingState_increaseDuration,(#Oven).Oven_AddMoreTime(300),(#Oven).ovenOperatingState_increaseDuration(5),ovenOperatingState_increaseDuration
3,3,3,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,밥솥을 조리 모드로 30분 작동시켜.,False,0.0,0.585366,"unknown_services:RiceCookerMode_addMoreTime,RiceCookerMode_setRiceCookerMode","(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)","(#RiceCooker).RiceCookerMode_setRiceCookerMode(""cooking"")
(#RiceCooker).RiceCookerMode_addMoreTime(1800)","RiceCookerMode_addMoreTime, RiceCookerMode_setRiceCookerMode"
4,4,4,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,사이렌을 응급모드로 울려줘.,False,0.0,0.928571,unknown_services:SirenMode_setSirenMode,"(#Siren).Siren_SetSirenMode(""emergency"")","(#Siren).SirenMode_setSirenMode(""emergency"")",SirenMode_setSirenMode
5,5,5,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,스피커의 볼륨을 30으로 설정해줘.,False,0.0,0.95082,unknown_services:Speaker_Volume,(#Speaker).Speaker_SetVolume(30),(#Speaker).Speaker_Volume(30),Speaker_Volume
6,6,6,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,TV 채널을 하나 내려줘.,False,0.0,1.0,unknown_services:Television_ChannelDown,(#Television).Television_ChannelDown(),(#Television).Television_ChannelDown(),Television_ChannelDown
7,7,7,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,TV로 7번 채널을 틀어줘.,False,0.0,1.0,unknown_services:Television_SetChannel,(#Television).Television_SetChannel(7),(#Television).Television_SetChannel(7),Television_SetChannel
8,8,8,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,현재 온도를 스피커로 알려줘.,False,0.0,0.331492,unknown_services:Speaker_Speak,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",(#Speaker).Speaker_Speak((#TemperatureSensor).temperatureMeasurement_temperature),Speaker_Speak
9,9,9,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,외부 온도를 스피커로 출력해줘.,False,0.0,0.615385,unknown_services:Speaker_Speak,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",(#Speaker).Speaker_Speak((#WeatherProvider).WeatherProvider_TemperatureWeather),Speaker_Speak
10,10,10,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,현재 습도를 스피커로 말해줘.,False,0.0,0.382979,unknown_services:Speaker_Speak,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",(#Speaker).Speaker_Speak((#HumiditySensor).Humidity),Speaker_Speak
11,11,11,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,외부 습도를 스피커로 말해줘.,False,0.0,0.333333,unknown_services:Speaker_Speak,"
hum = (#WeatherProvider).WeatherProvider_HumidityWeather

(#Speaker).Speaker_Speak(""외부 습도는 "" + hum + ""%입니다"")",(#Speaker).Speaker_Speak((#WeatherProvider).weatherProvider_humidityWeather),Speaker_Speak
12,12,12,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,오늘의 날씨를 스피커로 출력해줘.,False,0.0,0.722513,"unknown_services:mediaPlayback_speak,weatherProvider_GetWeatherInfo","
weather = (#WeatherProvider).WeatherProvider_Weather

(#Speaker).Speaker_Speak(""오늘 날씨는 "" + weather + ""입니다"")","(#WeatherProvider).weatherProvider_GetWeatherInfo()
(#Speaker).mediaPlayback_speak(weatherInfo)","mediaPlayback_speak, weatherProvider_GetWeatherInfo"
13,13,13,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,미세먼지 농도를 스피커로 알려줘.,False,0.0,0.35503,unknown_services:Speaker_Speak,"
dust = (#AirQualitySensor).AirQualitySensor_DustLevel

(#Speaker).Speaker_Speak(""미세먼지 농도는 "" + dust + ""입니다"")",(#Speaker).Speaker_Speak((#AirQualityDetector).dustSensor_fineDustLevel),Speaker_Speak
14,14,14,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,외부 미세먼지 농도를 스피커로 알려줘.,False,0.0,0.327485,unknown_services:Speaker_Speak,"
dust = (#WeatherProvider).WeatherProvider_Pm10Weather

(#Speaker).Speaker_Speak(""외부 미세먼지 농도는 "" + dust + ""입니다"")",(#Speaker).Speaker_Speak((#WeatherProvider).weatherProvider_pm25Weather),Speaker_Speak
15,15,15,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"클라우드로 고양이 사진을 생성하고 ""cat.png""로 저장해줘.",False,0.0,0.621622,unknown_services:CloudServiceProvider_GenerateImage,"
img = (#CloudServiceProvider).CloudServiceProvider_GenerateImage(""Generate a cat image"")

(#CloudServiceProvider).CloudServiceProvider_SaveToFile(img, ""cat.png"")","(#CloudServiceProvider).CloudServiceProvider_GenerateImage(""cat.png"")",CloudServiceProvider_GenerateImage
16,16,16,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,충전기의 전력소모량을 스피커로 출력해줘.,False,0.0,0.47619,unknown_services:Speaker_Speak,"
power = (#Charger).Charger_Power

(#Speaker).Speaker_Speak(""전력소모량은 "" + power + ""입니다"")",(#Speaker).Speaker_Speak((#Charger).Charger_Power),Speaker_Speak
17,17,17,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,오늘의 메뉴를 스피커로 출력해줘.,False,0.0,0.432836,unknown_services:Speaker_Speak,"
menu = (#MenuProvider).MenuProvider_TodayMenu

(#Speaker).Speaker_Speak(""오늘의 메뉴는 "" + menu + ""입니다"")",(#Speaker).Speaker_Speak((#MenuProvider).Menu),Speaker_Speak
18,18,18,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,오늘의 301동 점심 메뉴를 스피커로 알려줘.,True,0.496454,0.496454,,"
menu = (#MenuProvider).MenuProvider_GetMenu(""오늘 301동식당 점심"")

(#Speaker).Speaker_Speak(""오늘의 메뉴는 "" + menu + ""입니다"")","(#MenuProvider).GetMenu(""오늘"", ""301동"", ""점심"")",GetMenu
19,19,19,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,클라우드 AI한테 llm이 무엇인지 질문하고 답을 스피커로 출력해줘.,False,0.0,0.658009,unknown_services:Speaker_Speak,"
answer = (#CloudServiceProvider).CloudServiceProvider_ChatWithAI(""What is LLM?"")

(#Speaker).Speaker_Speak(answer)","(#CloudServiceProvider).ChatWithAI(""What is LLM?""); (#Speaker).Speaker_Speak((#CloudServiceProvider).ChatWithAI(""What is LLM?""))","ChatWithAI, Speaker_Speak"
20,20,20,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"조명의 색조를 200, 채도는 50으로 설정해줘.",False,0.0,0.637363,unknown_services:Light_SetColorAndBrightness,"
(#Light).Light_MoveToHueAndSaturation(200, 50)","(#Light).Light_SetColorAndBrightness(""200|50"")",Light_SetColorAndBrightness
21,21,21,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,조명 색을 노란색으로 바꿔줘.,False,0.0,0.564103,unknown_services:ColorControl_SetColor,"
(#Light).Light_MoveToRGB(255, 255, 0)","(#Light).ColorControl_SetColor(""255|255|0"")",ColorControl_SetColor
22,22,22,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,금고를 잠그어줘.,False,0.0,1.0,unknown_services:Safe_Lock,"
(#Safe).Safe_Lock()",(#Safe).Safe_Lock(),Safe_Lock
23,23,23,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,문을 닫아줘.,False,0.0,1.0,unknown_services:Door_Close,"
(#Door).Door_Close()",(#Door).Door_Close(),Door_Close
24,24,24,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,펌프를 일반 모드로 설정해줘.,False,0.0,1.0,unknown_services:Pump_SetPumpMode,"
(#Pump).Pump_SetPumpMode(""normal"")","(#Pump).Pump_SetPumpMode(""normal"")",Pump_SetPumpMode
25,25,25,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,로봇 청소기를 멈춰줘.,False,0.0,0.923077,unknown_services:robotVacuumCleanerMode_setRobotVacuumCleanerMode,"
(#RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""stop"")","(#RobotVacuumCleaner).robotVacuumCleanerMode_setRobotVacuumCleanerMode(""stop"")",robotVacuumCleanerMode_setRobotVacuumCleanerMode
26,26,26,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"스피커로 ""music.mp3"" 재생해줘.",False,0.0,1.0,unknown_services:Speaker_Play,"
(#Speaker).Speaker_Play(""music.mp3"")","(#Speaker).Speaker_Play(""music.mp3"")",Speaker_Play
27,27,27,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,스피커 볼륨을 최대로 해줘.,False,0.0,0.0,missing_reference | unknown_services:Speaker_Volume_setVolume,,(#Speaker).Speaker_Volume_setVolume(100),Speaker_Volume_setVolume
28,28,28,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,스피커 볼륨을 하나 낮춰줘.,False,0.0,1.0,unknown_services:Speaker_VolumeDown,"
(#Speaker).Speaker_VolumeDown()",(#Speaker).Speaker_VolumeDown(),Speaker_VolumeDown
29,29,29,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,벨브를 열어줘.,False,0.0,0.541667,unknown_services:windowShade_open,"
(#Valve).Valve_Open()",(#Blind).windowShade_open(),windowShade_open
30,30,30,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,TV 30번 채널 틀어줘.,False,0.0,1.0,unknown_services:Television_SetChannel,"
(#Television).Television_SetChannel(30)",(#Television).Television_SetChannel(30),Television_SetChannel
31,31,1,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,거실 조명을 노란색으로 설정해줘.,False,0.0,0.886598,unknown_services:ColorControl_SetColor,"(#LivingRoom #Light).ColorControl_SetColor(""255|255|0"")","(#Light).ColorControl_SetColor(""255|255|0"")",ColorControl_SetColor
32,32,2,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,카메라로 회의실 사진을 촬영해줘.,False,0.0,0.695652,unknown_services:camera_capture,(#MeetingRoom #Camera).Camera_CaptureImage(),(#Camera).camera_capture(),camera_capture
33,33,3,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,거실 조명의 밝기를 80%로 설정해줘.,False,0.0,0.75,unknown_services:Light_SetBrightness,"(#LivingRoom #Light).Light_MoveToBrightness(80, 0)",(#Light).Light_SetBrightness(80),Light_SetBrightness
34,34,4,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,연구실 제습기를 모두 AI건조모드로 설정해줘.,False,0.0,0.803571,unknown_services:Dehumidifier_SetMode,"all(#Lab #Dehumidifier).Dehumidifier_SetDehumidifierMode(""AIDrying"")","all(#Dehumidifier).Dehumidifier_SetMode(""AI"")",Dehumidifier_SetMode
35,35,5,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.",False,0.0,0.561798,unknown_services:Light_SetColor,"(#LivingRoom #Light).Light_MoveToHueAndSaturation(240, 80)","(#Light).Light_SetColor(""240|80"")",Light_SetColor
