category_analysis,command,GT,generated_code,cloud_similarity_gpt4o,explanation
1,사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",1.0,
1,사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""siren\"")""}","[{'name': 'Sound the siren', 'cron': '', 'period': -1, 'code': '(#Siren).switch_on()\n(#Siren).sirenMode_setSirenMode(""siren"")'}]",0.7,"The generated code includes an additional action to switch on the siren before setting the siren mode, which is not present in the ground truth."
1,경광등을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_strobe()""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_siren()'}]",0.0,"The generated code activates the siren, whereas the ground truth activates the strobe. These are different actions."
1,경광등을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""strobe\"")""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Siren).switch_on()'}]",0.0,"The generated code switches on the siren, whereas the ground truth sets the siren mode to strobe. These are different actions."
1,사이렌과 경광등을 동시에 켜 줘,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'all(#Alarm).alarm_both()'}]",0.9,"The generated code uses 'all' which might imply targeting multiple devices, but the ground truth does not specify this."
1,사이렌과 경광등을 둘 다 꺼 줘,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""off\"")""}","[{'name': 'TurnOffSirenAndLight', 'cron': '', 'period': -1, 'code': 'all(#Siren).sirenMode_setSirenMode(""off"")\nall(#Siren).switch_off()'}]",0.6,"The generated code includes an additional action to switch off the siren, which is not present in the ground truth."
2,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'OccupancyAlarm', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#OccupancySensor).presenceSensor_presence == present) {\n  if (triggered == false) {\n    (#Alarm).alarm_siren()\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.5,"The generated code includes additional logic to prevent repeated triggering, which is not present in the ground truth."
2,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'SoundAlarmOnOccupancy', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#PresenceSensor).presenceSensor_presence == ""present"") {\n  if (triggered == false) {\n    (#Alarm).alarm_siren()\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.5,"The generated code includes additional logic to prevent repeated triggering, which is not present in the ground truth."
2,에어컨의 모드가 냉방 모드면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == \""cool\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'SoundSirenWhenCooling', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  if (any(#Alarm).switch_switch == ""on"") {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren).switch_switch == ""on"") {\n    (#Siren).sirenMode_setSirenMode(""siren"")\n  }\n}'}]",0.6,"The generated code includes additional conditional logic for siren activation, which is not present in the ground truth."
2,에어컨의 목표 온도가 30도면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'AlarmWhenACTemp30', 'cron': '', 'period': -1, 'code': ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  if (any(#Alarm)) {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    (#Siren).sirenMode_setSirenMode('siren')\n  }\n}""}]",0.7,"The generated code includes additional conditional logic for siren activation, which is not present in the ground truth."
1,에어컨을 자동 모드로 설정해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setAirConditionerMode(\""auto\"")""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#AirConditioner).airConditionerMode_setAirConditionerMode(""auto"")'}]",1.0,
1,알람을 꺼줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_off()""}","[{'name': 'TurnOffAlarm', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_off()'}]",1.0,
1,블라인드를 70 퍼센트로 설정해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blindLevel_setBlindLevel(70)""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'level = 70\n(#Blind).blindLevel_setBlindLevel(level)'}]",0.9,"The generated code uses a variable to set the blind level, while the ground truth uses a direct value."
2,블라인드 움직임을 멈춰줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blind_pause()""}","[{'name': 'Stop blind movement', 'cron': '', 'period': -1, 'code': 'all(#Blind).blind_pause()'}]",0.9,"The generated code uses 'all' which might imply targeting multiple devices, but the ground truth does not specify this."
2,버튼4가 위로 스와이프되었으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Buttonx4).buttonx4_button4 == \""swipe_up\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'Scenario1', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#Buttonx4).buttonx4_button4 == swipe_up) {\n  if (triggered == false) {\n    (#Alarm).alarm_siren()\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.5,"The generated code includes additional logic to prevent repeated triggering, which is not present in the ground truth."
1,10을 3으로 나눈 나머지를 구해.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_mod(10, 3)""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'result = (#Calculator).calculator_mod(10,3)'}]",0.9,"The generated code assigns the result to a variable, while the ground truth does not."
9,"가장 최근에 찍은 사진을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '사진'과 내용 '사진입니다.'로 보내줘.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_photo = (#Camera).camera_image\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""Photo\"", \""This is a photo.\"", latest_photo)""}","[{'name': 'SendPhotoEmail', 'cron': '', 'period': -1, 'code': 'img = (#Camera).camera_take()\nif (img != null) {\n  (#EmailProvider).emailProvider_sendMailWithFile(""test@example.com"", ""Photo"", ""This is a photo"", img)\n} else {\n  (#EmailProvider).emailProvider_sendMail(""test@example.com"", ""Photo"", ""This is a photo"")\n}'}]",0.6,"The generated code includes a conditional check for the image, while the ground truth directly uses the latest photo."
9,"가장 최근에 찍은 동영상을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '동영상'과 내용 '동영상입니다.'로 보내줘","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_video = (#Camera).camera_video\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""Video\"", \""This is a video.\"", latest_video)""}","[{'name': 'SendRecentVideoEmail', 'cron': '', 'period': -1, 'code': 'file = (#Camera).camera_video\nif (file != null) {\n  (#EmailProvider).emailProvider_sendMailWithFile(""test@example.com"", ""Video"", ""This is a video."", file)\n} else {\n  (#Speaker).mediaPlayback_speak(""전송할 최근 동영상을 찾을 수 없습니다."")\n}'}]",0.6,"The generated code includes a conditional check for the video, while the ground truth directly uses the latest video."
1,카메라로 10초 동안 속도 2로 타임랩스 영상을 촬영해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Camera).camera_takeTimelapse(10, 2)""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Camera).camera_takeTimelapse(10.0, 2.0)'}]",0.9,"The generated code uses floating-point numbers, while the ground truth uses integers."
2,지금이 오후 3시 15분이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Clock).clock_time == 1515) {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'Scenario1', 'cron': '', 'period': 1000, 'code': 'if (((#Clock).clock_hour == 15) and ((#Clock).clock_minute == 15)) {\n  (#Alarm).alarm_siren()\n} else {\n  (#Alarm).alarm_off()\n}'}]",0.8,"The generated code checks separate hour and minute values, while the ground truth checks a combined time value."
2,올해가 2025년이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Clock).clock_year == 2025) {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Clock).clock_year == 2025) {\n  if (any(#Alarm)) {\n    if (any(#Alarm).alarm_alarm != \'siren\') {\n      all(#Alarm).alarm_siren()\n    }\n  } else {\n    (#Speaker).mediaPlayback_speak(""사이렌을 울리는 경보 장치가 없습니다."")\n  }\n}'}]",0.6,"The generated code includes additional conditional logic for alarm activation, which is not present in the ground truth."
4,1시간 20분 30초 뒤에 알람의 사이렌을 울려줘,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Clock).clock_delay(4830000)""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#Clock).clock_delay(4830000))\n(#Alarm).alarm_siren()'}]",0.5,"The generated code includes a 'wait until' construct, which is not present in the ground truth."
2,접촉 센서가 접촉되어 있으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#ContactSensor).contactSensor_contact == \""closed\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#ContactSensor).contactSensor_contact == ""closed"") {\n  if (any(#Alarm)) {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    (#Siren).switch_on()\n    (#Siren).sirenMode_setSirenMode(""siren"")\n  }\n}'}]",0.6,"The generated code includes additional conditional logic for siren activation, which is not present in the ground truth."
9,이메일을 'test@example.com' 주소로 제목 '알림'과 내용 '긴급 상황입니다.'로 보내줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#EmailProvider).emailProvider_sendMail(\""test@example.com\"", \""Alert\"", \""This is an emergency.\"")""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#EmailProvider).emailProvider_sendMail(""test@example.com"", ""Alert"", ""This is an emergency"")'}]",0.9,"The generated code lacks a period at the end of the message, which is present in the ground truth."
3,가스 밸브가 열려 있으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasValve).valve_valve == \""open\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'Sound siren if gas valve open', 'cron': '', 'period': -1, 'code': ""if ((#GasValve).valve_valve == open) {\n  if (any(#Alarm)) {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    (#Siren).sirenMode_setSirenMode('siren')\n  }\n}""}]",0.6,"The generated code includes additional conditional logic for siren activation, which is not present in the ground truth."
1,관개 장치의 급수를 시작해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Irrigator).irrigatorOperatingState_startWatering()""}","[{'name': 'StartIrrigationWatering', 'cron': '', 'period': -1, 'code': '(#Irrigator).irrigatorOperatingState_startWatering()'}]",1.0,
2,누수가 감지되면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#LeakSensor).leakSensor_leakage == \""detected\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'LeakDetectedAlarm', 'cron': '', 'period': -1, 'code': 'if (any(#LeakSensor).leakSensor_leakage == ""detected"") {\n  if (any(#Alarm)) {\n    all(#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    all(#Siren).switch_on()\n    all(#Siren).sirenMode_setSirenMode(""siren"")\n  }\n}'}]",0.6,"The generated code includes additional conditional logic for siren activation, which is not present in the ground truth."
1,조명을 빨간색으로 설정해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).colorControl_setColor(\""255|0|0\"")""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Light).colorControl_setColor(""255|0|0"")'}]",1.0,
1,5의 속도로 조명의 밝기를 80으로 설정해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switchLevel_setLevel(80, 5)""}","[{'name': 'SetLightBrightness', 'cron': '', 'period': -1, 'code': 'level = 80\nspeed = 5\n(#Light).switchLevel_setLevel(level, speed)'}]",0.9,"The generated code uses variables to set the level and speed, while the ground truth uses direct values."
1,조명의 전원을 토글해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switch_toggle()""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Light).switch_toggle()'}]",1.0,
2,모션 센서가 활성 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#MotionSensor).motionSensor_motion == \""active\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'Scenario1', 'cron': '', 'period': 100, 'code': 'if ((#MotionSensor).motionSensor_motion == ""active"") {\n  if (any(#Alarm)) {\n    all(#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    all(#Siren).switch_on()\n    all(#Siren).sirenMode_setSirenMode(""siren"")\n  }\n}'}]",0.6,"The generated code includes additional conditional logic for siren activation, which is not present in the ground truth."
2,움직임이 감지되고 있으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#MotionSensor).motionSensor_motion == \""active\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'SoundAlarmOnMotion', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#MotionSensor).motionSensor_motion == ""active"") {\n  if (triggered == false) {\n    if (any(#Alarm)) {\n      all(#Alarm).alarm_siren()\n    } else if (any(#Siren)) {\n      all(#Siren).switch_on()\n      all(#Siren).sirenMode_setSirenMode(""siren"")\n    }\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.5,"The generated code includes additional logic to prevent repeated triggering, which is not present in the ground truth."
2,존재 감지 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'SoundAlarmOnPresenceDetected', 'cron': '', 'period': -1, 'code': 'if (any(#PresenceSensor).presenceSensor_presence == present) {\n  all(#Alarm).alarm_siren()\n}'}]",0.8,"The generated code uses 'any' and 'all' which might imply targeting multiple devices, but the ground truth does not specify this."
2,펌프가 열려있으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Pump).pump_pump == \""open\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'Pump Open Alarm', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#Pump).pump_pump == open) {\n  if (triggered == false) {\n    (#Alarm).alarm_siren()\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.5,"The generated code includes additional logic to prevent repeated triggering, which is not present in the ground truth."
2,연기 감지기에서 연기가 감지되면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#SmokeDetector).smokeDetector_smoke == \""detected\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'SmokeAlarmSiren', 'cron': '', 'period': -1, 'code': 'if ((#SmokeDetector).smokeDetector_smoke == detected) {\n  if (any(#Alarm).alarm_alarm != siren) {\n    any(#Alarm).alarm_siren()\n  }\n}'}]",0.6,"The generated code includes additional conditional logic for siren activation, which is not present in the ground truth."
1,스피커에서 music.mp3를 재생해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_play(\""music.mp3\"")""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_play(""music.mp3"")'}]",1.0,
1,녹음기로 10초 동안 녹음해서 test.wav로 저장해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Recorder).audioRecord_record(\""test.wav\"", 10)""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Recorder).audioRecord_record(""test.wav"", 10.0)'}]",0.9,"The generated code uses a floating-point number, while the ground truth uses an integer."
2,현재 실내 온도가 25도 이상이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 25) {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'SoundAlarmIfHot', 'cron': '', 'period': -1, 'code': 'temp = (#TemperatureSensor).temperatureMeasurement_temperature\nif (temp > 25.0) {\n  (#Alarm).alarm_siren()\n}'}]",0.8,"The generated code checks for greater than 25.0, while the ground truth checks for greater than or equal to 25."
