model_key,model_label,failure_reason,count
gpt41_mini,GPT-4.1-mini,gt_mismatch,22
gpt41_mini,GPT-4.1-mini,dataflow,17
gpt41_mini,GPT-4.1-mini,gt_receiver_coverage,7
gpt41_mini,GPT-4.1-mini,gt_service_coverage,7
gpt41_mini,GPT-4.1-mini,semantic,6
gpt41_mini,GPT-4.1-mini,numeric_grounding,5
gpt41_mini,GPT-4.1-mini,arg_type,4
gpt41_mini,GPT-4.1-mini,extraneous,4
gpt41_mini,GPT-4.1-mini,precondition,3
gpt41_mini,GPT-4.1-mini,service_match,2
gpt41_mini,GPT-4.1-mini,unknown_service:blind_open,1
gpt41_mini,GPT-4.1-mini,unknown_service:temperaturemeasurement_temperature,1
