condition,result_dir,model_key,model_label,category,row_count,avg_det_score,avg_gt_similarity,gt_exact_count,gt_exact_rate,pass_count,det_pass_rate,fail_count,warm_latency_p50,avg_prompt_tokens,avg_total_tokens,peak_vram_gb_max,oom_count,generation_error_rate,failure_rate,row_success_rate,top_failure_types
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,30,58.0987,0.6767,7,0.2333,11,0.3667,19,8.5951,34226.2667,34270.4,20.5827,0,0.0,0.6333,0.3667,"[[""gt_mismatch"", 23], [""gt_receiver_coverage"", 18], [""gt_service_coverage"", 18], [""arg_type"", 15], [""extraneous"", 12], [""precondition"", 12]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,2,30,82.897,0.888,8,0.2667,23,0.7667,7,2.6429,7099.3333,7154.8,17.0556,0,0.0,0.2333,0.7667,"[[""gt_mismatch"", 22], [""semantic"", 10], [""arg_type"", 9], [""extraneous"", 8], [""precondition"", 8], [""gt_receiver_coverage"", 7]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,3,30,51.6998,0.6573,0,0.0,0,0.0,30,6.1958,19926.1,19981.6,20.5831,0,0.0,1.0,0.0,"[[""gt_mismatch"", 30], [""dataflow"", 27], [""gt_receiver_coverage"", 24], [""gt_service_coverage"", 23], [""semantic"", 20], [""arg_type"", 11]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,4,30,50.7843,0.5139,0,0.0,0,0.0,30,6.1029,20048.2333,20107.9333,20.5828,0,0.0,1.0,0.0,"[[""dataflow"", 30], [""gt_mismatch"", 30], [""gt_receiver_coverage"", 25], [""gt_service_coverage"", 25], [""semantic"", 23], [""arg_type"", 10]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,5,30,62.2675,0.6989,0,0.0,5,0.1667,25,6.4112,20522.1667,20592.3333,20.5831,0,0.0,0.8333,0.1667,"[[""gt_mismatch"", 30], [""numeric_grounding"", 30], [""semantic"", 23], [""gt_receiver_coverage"", 17], [""gt_service_coverage"", 15], [""arg_type"", 12]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,6,30,51.4922,0.6241,0,0.0,0,0.0,30,6.6521,20215.2333,20289.6,20.5836,0,0.0,1.0,0.0,"[[""dataflow"", 30], [""gt_mismatch"", 30], [""gt_receiver_coverage"", 28], [""gt_service_coverage"", 28], [""semantic"", 23], [""numeric_grounding"", 15]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,7,50,56.0339,0.595,1,0.02,6,0.12,44,7.912,20571.7,20645.1,20.5842,0,0.0,0.88,0.12,"[[""gt_mismatch"", 49], [""semantic"", 45], [""gt_receiver_coverage"", 38], [""gt_service_coverage"", 37], [""dataflow"", 31], [""arg_type"", 21]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,8,50,60.276,0.4158,0,0.0,9,0.18,41,6.5548,20373.54,20448.3,20.5839,0,0.0,0.82,0.18,"[[""gt_mismatch"", 50], [""dataflow"", 38], [""semantic"", 35], [""gt_receiver_coverage"", 31], [""gt_service_coverage"", 29], [""numeric_grounding"", 26]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,1,30,72.6249,0.7645,12,0.4,17,0.5667,13,19.165,34226.2667,34275.1667,37.7661,0,0.0,0.4333,0.5667,"[[""gt_mismatch"", 18], [""gt_receiver_coverage"", 13], [""gt_service_coverage"", 13], [""arg_type"", 11], [""dataflow"", 9], [""semantic"", 8]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,2,30,89.9007,0.934,12,0.4,25,0.8333,5,4.8007,7099.3333,7155.3667,32.1137,0,0.0,0.1667,0.8333,"[[""gt_mismatch"", 18], [""semantic"", 8], [""arg_type"", 7], [""gt_receiver_coverage"", 4], [""gt_service_coverage"", 4], [""extraneous"", 4]]"
