index,category,command_kor,command_eng,gt_raw,connected_devices,gt,row_no,profile,genome_id,genome_seed,run_id,candidate_count,candidates,candidate_metadata,prompt_log_paths,generation_status,generation_total_pipeline_sec,llm_mode,llm_model,prompt_render_mode,prompt_assets_dir,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_device,service_list_retrieval_categories,service_list_retrieval_scores,service_list_retrieval_fallback_reason,generation_call_count,generation_error_count,generation_error_type,generation_error_types,generation_oom_flag,generation_prompt_chars_total,generation_prompt_tokens_total,generation_completion_tokens_total,generation_total_tokens_total,generation_llm_latency_sec,generation_peak_vram_gb
1,1,식기세척기를 건조 모드로 설정해줘.,Switch the dishwasher to dry mode.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).SetDishwasherMode(\""dry\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).dishwasher_setdishwashermode(\""dry\"")""}",1,version0_15_update20260413,gen-example-version0-15__gpt41_mini,12345,suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15,1,"[""{\""name\"":\""SetDishwasherToDryMode\"",\""cron\"":\""\"",\""period\"":0,\""code\"":\""(#Dishwasher).dishwasher_setdishwashermode(\\\""dry\\\"")\""}""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 102348, ""prompt_tokens"": 26835, ""completion_tokens"": 45, ""total_tokens"": 26880, ""latency_sec"": 2.5445, ""peak_vram_gb"": 0.0, ""load_sec"": 0.0, ""generate_sec"": 0.0, ""prompt_prep_sec"": 0.0, ""decode_sec"": 0.0, ""worker_pid"": 0, ""error_type"": """", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""16"", ""service_list_function_count"": ""19""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15/row_001_cand_1.json""]",ok,7.8218,openai,gpt-4.1-mini,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Dishwasher"", ""LaundryDryer"", ""RiceCooker"", ""Dehumidifier"", ""AirConditioner"", ""Oven"", ""DimmerSwitch"", ""Switch"", ""AirPurifier"", ""ArmRobot""]","[1.787421, 0.95885, 0.843339, 0.866039, 0.831299, 0.831903, 0.964742, 1.072461, 0.831126, 1.472868]",,1,0,,[],False,102348,26835,45,26880,2.5445,0.0
2,1,오븐의 작동 시간을 5분 늘려줘.,Add 5 minutes to the oven.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).AddMoreTime(300)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).oven_addmoretime(300)""}",2,version0_15_update20260413,gen-example-version0-15__gpt41_mini,12345,suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15,1,"[""{\""name\"":\""Add5MinutesToOven\"",\""cron\"":\""\"",\""period\"":0,\""code\"":\""(#Oven).oven_addmoretime(300)\""}""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 100670, ""prompt_tokens"": 26507, ""completion_tokens"": 42, ""total_tokens"": 26549, ""latency_sec"": 2.7405, ""peak_vram_gb"": 0.0, ""load_sec"": 0.0, ""generate_sec"": 0.0, ""prompt_prep_sec"": 0.0, ""decode_sec"": 0.0, ""worker_pid"": 0, ""error_type"": """", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""14"", ""service_list_function_count"": ""18""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15/row_002_cand_1.json""]",ok,3.7354,openai,gpt-4.1-mini,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Oven"", ""RiceCooker"", ""ArmRobot"", ""MenuProvider"", ""Button"", ""Dishwasher"", ""Door"", ""Television"", ""SmokeDetector"", ""LaundryDryer""]","[1.811228, 0.917373, 1.467694, 0.558015, 0.535093, 0.52837, 0.521857, 0.513368, 0.513095, 0.511515]",,1,0,,[],False,100670,26507,42,26549,2.7405,0.0
3,1,밥솥을 조리 모드로 30분 작동시켜.,Start the rice cooker on cooking mode for 30 minutes.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).SetCookingParameters(\""cooking\"", 1800)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).ricecooker_setcookingparameters(\""cooking\"", 1800)""}",3,version0_15_update20260413,gen-example-version0-15__gpt41_mini,12345,suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15,1,"[""{\""name\"":\""StartRiceCookerCookingMode30Min\"",\""cron\"":\""\"",\""period\"":0,\""code\"":\""(#RiceCooker).ricecooker_setcookingparameters(\\\""cooking\\\"", 1800)\""}""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 102027, ""prompt_tokens"": 26713, ""completion_tokens"": 53, ""total_tokens"": 26766, ""latency_sec"": 2.1021, ""peak_vram_gb"": 0.0, ""load_sec"": 0.0, ""generate_sec"": 0.0, ""prompt_prep_sec"": 0.0, ""decode_sec"": 0.0, ""worker_pid"": 0, ""error_type"": """", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""17"", ""service_list_function_count"": ""18""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15/row_003_cand_1.json""]",ok,3.047,openai,gpt-4.1-mini,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""RiceCooker"", ""Oven"", ""ArmRobot"", ""Dishwasher"", ""RobotVacuumCleaner"", ""MenuProvider"", ""Charger"", ""CarbonDioxideSensor"", ""AirConditioner"", ""FaceRecognizer""]","[2.688916, 1.296932, 1.504577, 0.821529, 0.81013, 0.533087, 0.53061, 0.530472, 0.757368, 0.890591]",,1,0,,[],False,102027,26713,53,26766,2.1021,0.0
4,1,사이렌을 응급모드로 울려줘.,Set the siren to emergency mode.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).SetSirenMode(\""emergency\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).siren_setsirenmode(\""emergency\"")""}",4,version0_15_update20260413,gen-example-version0-15__gpt41_mini,12345,suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15,1,"[""{\""name\"":\""SetSirenEmergencyMode\"",\""cron\"":\""\"",\""period\"":0,\""code\"":\""(#Siren).siren_setsirenmode(\\\""emergency\\\"")\""}""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 103062, ""prompt_tokens"": 27024, ""completion_tokens"": 44, ""total_tokens"": 27068, ""latency_sec"": 1.867, ""peak_vram_gb"": 0.0, ""load_sec"": 0.0, ""generate_sec"": 0.0, ""prompt_prep_sec"": 0.0, ""decode_sec"": 0.0, ""worker_pid"": 0, ""error_type"": """", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""16"", ""service_list_function_count"": ""23""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15/row_004_cand_1.json""]",ok,2.8307,openai,gpt-4.1-mini,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Siren"", ""ArmRobot"", ""SoundSensor"", ""Oven"", ""Speaker"", ""AudioRecorder"", ""RiceCooker"", ""Pump"", ""Button"", ""Charger""]","[2.958263, 1.665225, 0.583403, 0.986702, 0.677959, 0.543135, 0.946428, 0.966494, 0.537508, 0.537421]",,1,0,,[],False,103062,27024,44,27068,1.867,0.0
5,1,스피커의 볼륨을 30으로 설정해줘.,Set the speaker volume to 30.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).SetVolume(30)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).speaker_setvolume(30)""}",5,version0_15_update20260413,gen-example-version0-15__gpt41_mini,12345,suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15,1,"[""{\""name\"":\""SetSpeakerVolumeTo30\"",\""cron\"":\""\"",\""period\"":0,\""code\"":\""(#Speaker).speaker_setvolume(30)\""}""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 101207, ""prompt_tokens"": 26432, ""completion_tokens"": 39, ""total_tokens"": 26471, ""latency_sec"": 2.3538, ""peak_vram_gb"": 0.0, ""load_sec"": 0.0, ""generate_sec"": 0.0, ""prompt_prep_sec"": 0.0, ""decode_sec"": 0.0, ""worker_pid"": 0, ""error_type"": """", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""15"", ""service_list_function_count"": ""22""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15/row_005_cand_1.json""]",ok,3.3161,openai,gpt-4.1-mini,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Speaker"", ""SoundSensor"", ""Siren"", ""AudioRecorder"", ""ArmRobot"", ""Television"", ""PressureSensor"", ""Pump"", ""ColorControl"", ""LevelControl""]","[2.968468, 0.618491, 0.771969, 0.596527, 1.604045, 0.704993, 0.527547, 0.697687, 0.701858, 0.876753]",,1,0,,[],False,101207,26432,39,26471,2.3538,0.0
6,1,TV 채널을 하나 내려줘.,Turn the TV channel down by one.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).ChannelDown()""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).television_channeldown()""}",6,version0_15_update20260413,gen-example-version0-15__gpt41_mini,12345,suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15,1,"[""{\""name\"":\""TurnTVChannelDownByOne\"",\""cron\"":\""\"",\""period\"":0,\""code\"":\""(#Television).television_channeldown()\""}""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 105148, ""prompt_tokens"": 27529, ""completion_tokens"": 43, ""total_tokens"": 27572, ""latency_sec"": 1.4489, ""peak_vram_gb"": 0.0, ""load_sec"": 0.0, ""generate_sec"": 0.0, ""prompt_prep_sec"": 0.0, ""decode_sec"": 0.0, ""worker_pid"": 0, ""error_type"": """", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""20"", ""service_list_function_count"": ""24""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15/row_006_cand_1.json""]",ok,2.4164,openai,gpt-4.1-mini,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Television"", ""ArmRobot"", ""LevelControl"", ""TapDialSwitch"", ""ColorControl"", ""Dishwasher"", ""Speaker"", ""EmailProvider"", ""MenuProvider"", ""Oven""]","[1.932114, 1.466283, 0.551012, 0.544598, 0.5362, 0.529158, 0.816228, 0.523646, 0.519574, 0.51891]",,1,0,,[],False,105148,27529,43,27572,1.4489,0.0
7,1,TV로 7번 채널을 틀어줘.,Switch the TV to channel 7.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).SetChannel(7)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).television_setchannel(7)""}",7,version0_15_update20260413,gen-example-version0-15__gpt41_mini,12345,suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15,1,"[""{\""name\"":\""SetTVChannel7\"",\""cron\"":\""\"",\""period\"":0,\""code\"":\""(#Television).television_setchannel(7)\""}""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 102670, ""prompt_tokens"": 26984, ""completion_tokens"": 40, ""total_tokens"": 27024, ""latency_sec"": 1.6603, ""peak_vram_gb"": 0.0, ""load_sec"": 0.0, ""generate_sec"": 0.0, ""prompt_prep_sec"": 0.0, ""decode_sec"": 0.0, ""worker_pid"": 0, ""error_type"": """", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""23"", ""service_list_function_count"": ""16""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15/row_007_cand_1.json""]",ok,2.6284,openai,gpt-4.1-mini,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Television"", ""Switch"", ""ArmRobot"", ""TapDialSwitch"", ""LevelControl"", ""ColorControl"", ""Dishwasher"", ""MenuProvider"", ""Oven"", ""DimmerSwitch""]","[1.484403, 1.060865, 1.45172, 0.881448, 0.896514, 0.527804, 0.516164, 0.511459, 0.511191, 0.878149]",,1,0,,[],False,102670,26984,40,27024,1.6603,0.0
8,1,현재 온도를 스피커로 알려줘.,Announce the temperature through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).Temperature\n\n(#Speaker).Speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).temperaturesensor_temperature\n\n(#Speaker).speaker_speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",8,version0_15_update20260413,gen-example-version0-15__gpt41_mini,12345,suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15,1,"[""{\""name\"":\""AnnounceCurrentTemperature\"",\""cron\"":\""\"",\""period\"":0,\""code\"":\""temp = (#TemperatureSensor).temperaturesensor_temperature\\n(#Speaker).speaker_speak(temp)\""}""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 105243, ""prompt_tokens"": 27376, ""completion_tokens"": 48, ""total_tokens"": 27424, ""latency_sec"": 2.3251, ""peak_vram_gb"": 0.0, ""load_sec"": 0.0, ""generate_sec"": 0.0, ""prompt_prep_sec"": 0.0, ""decode_sec"": 0.0, ""worker_pid"": 0, ""error_type"": """", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""25"", ""service_list_function_count"": ""21""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15/row_008_cand_1.json""]",ok,3.2701,openai,gpt-4.1-mini,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""TemperatureSensor"", ""Speaker"", ""AirConditioner"", ""ArmRobot"", ""WeatherProvider"", ""AudioRecorder"", ""SoundSensor"", ""Television"", ""ContactSensor"", ""AirQualitySensor""]","[2.48688, 2.48588, 0.971999, 1.48488, 0.81962, 0.556469, 0.555699, 0.553352, 0.541232, 0.784501]",,1,0,,[],False,105243,27376,48,27424,2.3251,0.0
9,1,외부 온도를 스피커로 출력해줘.,Tell me the outdoor temperature through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).TemperatureWeather\n\n(#Speaker).Speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).weatherprovider_temperatureweather\n\n(#Speaker).speaker_speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}",9,version0_15_update20260413,gen-example-version0-15__gpt41_mini,12345,suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15,1,"[""{\""name\"":\""AnnounceOutdoorTemperature\"",\""cron\"":\""\"",\""period\"":0,\""code\"":\""temp = (#WeatherProvider).weatherprovider_temperatureweather\\nmsg = \\\""현재 외부 온도는 \\\""\\nmsg2 = \\\""도 입니다\\\""\\n(#Speaker).speaker_speak(msg)\\n(#Speaker).speaker_speak(temp)\\n(#Speaker).speaker_speak(msg2)\""}""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 103626, ""prompt_tokens"": 27002, ""completion_tokens"": 87, ""total_tokens"": 27089, ""latency_sec"": 7.0249, ""peak_vram_gb"": 0.0, ""load_sec"": 0.0, ""generate_sec"": 0.0, ""prompt_prep_sec"": 0.0, ""decode_sec"": 0.0, ""worker_pid"": 0, ""error_type"": """", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""19"", ""service_list_function_count"": ""24""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15/row_009_cand_1.json""]",ok,7.9904,openai,gpt-4.1-mini,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""Speaker"", ""Door"", ""TemperatureSensor"", ""AirConditioner"", ""WeatherProvider"", ""ArmRobot"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""Television""]","[2.475241, 2.474241, 1.031638, 0.968172, 0.834517, 1.473241, 0.576491, 0.575521, 0.568184, 0.55209]",,1,0,,[],False,103626,27002,87,27089,7.0249,0.0
10,1,현재 습도를 스피커로 말해줘.,Tell me the current humidity through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).Humidity\n\n(#Speaker).Speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).humiditysensor_humidity\n\n(#Speaker).speaker_speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}",10,version0_15_update20260413,gen-example-version0-15__gpt41_mini,12345,suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15,1,"[""{\""name\"":\""AnnounceCurrentHumidity\"",\""cron\"":\""\"",\""period\"":0,\""code\"":\""hum = (#HumiditySensor).humiditysensor_humidity\\n(#Speaker).speaker_speak(hum)\""}""]","[{""candidate_index"": 0, ""strategy"": ""direct"", ""prompt_chars"": 104685, ""prompt_tokens"": 27322, ""completion_tokens"": 49, ""total_tokens"": 27371, ""latency_sec"": 1.8513, ""peak_vram_gb"": 0.0, ""load_sec"": 0.0, ""generate_sec"": 0.0, ""prompt_prep_sec"": 0.0, ""decode_sec"": 0.0, ""worker_pid"": 0, ""error_type"": """", ""oom_flag"": false, ""block_manifest"": [{""id"": ""legacy_v13_monolith"", ""path"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""metadata"": {""role"": ""generate"", ""prompt_render_mode"": ""legacy_v13_monolith"", ""prompt_assets_dir"": ""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13"", ""component_files"": ""{\""grammar\"": \""grammar_ver1.5.10.md\"", \""service_prompt\"": \""service_prompt_10.md\"", \""tempo\"": \""tempo_prompt_9.md\"", \""caution\"": \""caution_prompt_8.md\"", \""response_prompt\"": \""response_prompt_baseline_cot.md\""}"", ""service_list_value_count"": ""24"", ""service_list_function_count"": ""19""}}]}]","[""/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/logs/suite_gpt41_mini_gen-example-version0-15_gpt41_mini_15/row_010_cand_1.json""]",ok,2.8303,openai,gpt-4.1-mini,legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,service_retrieval_fallback,10,used,hybrid,10,cpu,"[""HumiditySensor"", ""Speaker"", ""Humidifier"", ""WeatherProvider"", ""AirQualitySensor"", ""ArmRobot"", ""AudioRecorder"", ""SoundSensor"", ""Dehumidifier"", ""AirPurifier""]","[2.762558, 2.761558, 0.613695, 0.919918, 0.88355, 1.760558, 0.576359, 0.576227, 0.567461, 0.562259]",,1,0,,[],False,104685,27322,49,27371,1.8513,0.0
