index,category_analysis,command,GT,generated_code
1,1,사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Alarm).alarm_siren()"", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}"
2,1,사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""siren\"")""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Siren).sirenMode_setSirenMode("", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode('siren')""}"
3,1,경광등을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_strobe()""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Alarm).alarm_siren()"", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}"
4,1,경광등을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""strobe\"")""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Siren).switch_on()"", ""period"": -1, ""code"": ""(#Siren).switch_on()""}"
5,1,사이렌과 경광등을 동시에 켜 줘,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Alarm).alarm_both()"", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}"
8,1,사이렌과 경광등을 둘 다 꺼 줘,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""off\"")""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Siren).switch_off()\n(#Siren).sirenMode_setSirenMode("", ""period"": -1, ""code"": ""(#Siren).switch_off()\n(#Siren).sirenMode_setSirenMode(\""off\"")""}"
9,2,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#OccupancySensor).presenceSensor_presence == "", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n(#Alarm).alarm_siren()\n}""}"
10,2,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""PresenceAlarmScenario"", ""cron"": ""\nperiod = -1\nif ((#PresenceSensor).presenceSensor_presence == "", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n(#Alarm).alarm_siren()\n}""}"
12,2,에어컨의 모드가 냉방 모드면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == \""cool\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#AirConditioner).airConditionerMode_airConditionerMode == "", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == \""cool\"") {\n(#Alarm).alarm_siren()\n}""}"
13,2,에어컨의 목표 온도가 30도면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n  (#Alarm).alarm_siren()\n}"", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n(#Alarm).alarm_siren()\n}""}"
18,1,에어컨을 자동 모드로 설정해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setAirConditionerMode(\""auto\"")""}","{""name"": ""SetAirConditionerToAutoMode"", ""cron"": ""\nperiod = -1\n(#AirConditioner).airConditionerMode_setAirConditionerMode("", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setAirConditionerMode(\""auto\"")""}"
38,1,알람을 꺼줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_off()""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Alarm).alarm_off()"", ""period"": -1, ""code"": ""(#Alarm).alarm_off()""}"
44,1,블라인드를 70 퍼센트로 설정해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blindLevel_setBlindLevel(70)""}","{""name"": ""SetBlindLevel"", ""cron"": ""\nperiod = -1\n(#Blind).blindLevel_setBlindLevel(70)"", ""period"": -1, ""code"": ""(#Blind).blindLevel_setBlindLevel(70)""}"
47,2,블라인드 움직임을 멈춰줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blind_pause()""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Blind).switch_off()"", ""period"": -1, ""code"": ""(#Blind).switch_off()""}"
54,2,버튼4가 위로 스와이프되었으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Buttonx4).buttonx4_button4 == \""swipe_up\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#Buttonx4).button_swipe == "", ""period"": -1, ""code"": ""if ((#Buttonx4).button_swipe == \""up\"") {\n(#Alarm).alarm_siren()\n}""}"
59,1,10을 3으로 나눈 나머지를 구해.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_mod(10, 3)""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nremainder = 10 % 3"", ""period"": -1, ""code"": ""remainder = 10 % 3""}"
63,9,"가장 최근에 찍은 사진을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '사진'과 내용 '사진입니다.'로 보내줘.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_photo = (#Camera).camera_image\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""Photo\"", \""This is a photo.\"", latest_photo)""}","{""name"": ""SendEmailWithPhoto"", ""cron"": ""\nperiod = -1\n\n// Assuming a method to get the latest photo and send an email exists\nlatestPhoto = (#Camera).getLatestPhoto()\nemailAddress = "", ""period"": -1, ""code"": ""// Assuming a method to get the latest photo and send an email exists\nlatestPhoto = (#Camera).getLatestPhoto()\nemailAddress = \""test@example.com\""\nsubject = \""사진\""\nbody = \""사진입니다.\""\n\n(#EmailProvider).sendEmailWithAttachment(emailAddress, subject, body, latestPhoto)""}"
64,9,"가장 최근에 찍은 동영상을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '동영상'과 내용 '동영상입니다.'로 보내줘","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_video = (#Camera).camera_video\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""Video\"", \""This is a video.\"", latest_video)""}","{""name"": ""SendLatestVideoEmail"", ""cron"": ""\nperiod = -1\n\n// Assuming there is a method to get the latest video and send an email\nlatestVideo = (#Recorder).getLatestVideo()\n(#EmailProvider).sendEmail("", ""period"": -1, ""code"": ""// Assuming there is a method to get the latest video and send an email\nlatestVideo = (#Recorder).getLatestVideo()\n(#EmailProvider).sendEmail(\""test@example.com\"", \""동영상\"", \""동영상입니다.\"", latestVideo)""}"
69,1,카메라로 10초 동안 속도 2로 타임랩스 영상을 촬영해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Camera).camera_takeTimelapse(10, 2)""}","{""name"": ""TimelapseCapture"", ""cron"": ""\nperiod = -1\n(#Camera).camera_takeTimelapse(10, 2)"", ""period"": -1, ""code"": ""(#Camera).camera_takeTimelapse(10, 2)""}"
82,2,지금이 오후 3시 15분이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Clock).clock_time == 1515) {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""15 15 * * *"", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}"
85,2,올해가 2025년이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Clock).clock_year == 2025) {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#Clock).year == 2025) {\n  (#Alarm).alarm_siren()\n}"", ""period"": -1, ""code"": ""if ((#Clock).year == 2025) {\n(#Alarm).alarm_siren()\n}""}"
86,4,1시간 20분 30초 뒤에 알람의 사이렌을 울려줘,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Clock).clock_delay(4830000)""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()"", ""period"": -1, ""code"": ""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""}"
87,2,접촉 센서가 접촉되어 있으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#ContactSensor).contactSensor_contact == \""closed\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#ContactSensor).contactSensor_contact == "", ""period"": -1, ""code"": ""if ((#ContactSensor).contactSensor_contact == \""contact\"") {\n(#Alarm).alarm_siren()\n}""}"
108,9,이메일을 'test@example.com' 주소로 제목 '알림'과 내용 '긴급 상황입니다.'로 보내줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#EmailProvider).emailProvider_sendMail(\""test@example.com\"", \""Alert\"", \""This is an emergency.\"")""}","{""name"": ""SendEmail"", ""cron"": ""\nperiod = -1\n(#EmailProvider).email_send("", ""period"": -1, ""code"": ""(#EmailProvider).email_send(\""test@example.com\"", \""알림\"", \""긴급 상황입니다.\"")""}"
127,3,가스 밸브가 열려 있으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasValve).valve_valve == \""open\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#GasValve).switch_switch == "", ""period"": -1, ""code"": ""if ((#GasValve).switch_switch == \""on\"") {\n(#Alarm).alarm_siren()\n}""}"
148,1,관개 장치의 급수를 시작해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Irrigator).irrigatorOperatingState_startWatering()""}","{""name"": ""StartIrrigation"", ""cron"": ""\nperiod = -1\n(#Irrigator).switch_on()"", ""period"": -1, ""code"": ""(#Irrigator).switch_on()""}"
149,2,누수가 감지되면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#LeakSensor).leakSensor_leakage == \""detected\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nwait until((#LeakSensor).leakSensor_leak == true)\n(#Siren).sirenMode_setSirenMode("", ""period"": -1, ""code"": ""wait until((#LeakSensor).leakSensor_leak == true)\n(#Siren).sirenMode_setSirenMode('siren')""}"
154,1,조명을 빨간색으로 설정해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).colorControl_setColor(\""255|0|0\"")""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Light).colorControl_setColor({"", ""period"": -1, ""code"": ""(#Light).colorControl_setColor({\""RED\"":255, \""GREEN\"":0, \""BLUE\"":0})""}"
157,1,5의 속도로 조명의 밝기를 80으로 설정해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switchLevel_setLevel(80, 5)""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Light).switch_on()\n(#Light).setBrightness(80, 5)"", ""period"": -1, ""code"": ""(#Light).switch_on()\n(#Light).setBrightness(80, 5)""}"
161,1,조명의 전원을 토글해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switch_toggle()""}","{""name"": ""ToggleLight"", ""cron"": ""\nperiod = -1\n(#Light).switch_toggle()"", ""period"": -1, ""code"": ""(#Light).switch_toggle()""}"
166,2,모션 센서가 활성 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#MotionSensor).motionSensor_motion == \""active\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#MotionSensor).motionSensor_motion == true) {\n  (#Alarm).alarm_siren()\n}"", ""period"": -1, ""code"": ""if ((#MotionSensor).motionSensor_motion == true) {\n(#Alarm).alarm_siren()\n}""}"
167,2,움직임이 감지되고 있으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#MotionSensor).motionSensor_motion == \""active\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#MotionSensor).motionSensor_motion == true) {\n  (#Alarm).alarm_siren()\n}"", ""period"": -1, ""code"": ""if ((#MotionSensor).motionSensor_motion == true) {\n(#Alarm).alarm_siren()\n}""}"
168,2,존재 감지 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#PresenceSensor).presenceSensor_presence == true) {\n  (#Alarm).alarm_siren()\n}"", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == true) {\n(#Alarm).alarm_siren()\n}""}"
173,2,펌프가 열려있으면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Pump).pump_pump == \""open\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#Pump).switch_switch == "", ""period"": -1, ""code"": ""if ((#Pump).switch_switch == \""on\"") {\n(#Alarm).alarm_siren()\n}""}"
215,2,연기 감지기에서 연기가 감지되면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#SmokeDetector).smokeDetector_smoke == \""detected\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""SmokeDetectionAlarm"", ""cron"": ""\nperiod = -1\nwait until((#SmokeDetector).smokeDetector_smoke == true)\n(#Alarm).alarm_siren()"", ""period"": -1, ""code"": ""wait until((#SmokeDetector).smokeDetector_smoke == true)\n(#Alarm).alarm_siren()""}"
229,1,스피커에서 music.mp3를 재생해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_play(\""music.mp3\"")""}","{""name"": ""PlayMusic"", ""cron"": ""\nperiod = -1\n(#Speaker).mediaPlayback_play("", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_play(\""music.mp3\"")""}"
236,1,녹음기로 10초 동안 녹음해서 test.wav로 저장해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Recorder).audioRecord_record(\""test.wav\"", 10)""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\n(#Recorder).recorder_startRecording()\n(#Clock).clock_delay(10000)\n(#Recorder).recorder_stopRecording()\n(#Recorder).recorder_saveRecording("", ""period"": -1, ""code"": ""(#Recorder).recorder_startRecording()\n(#Clock).clock_delay(10000)\n(#Recorder).recorder_stopRecording()\n(#Recorder).recorder_saveRecording(\""test.wav\"")""}"
