row_no,category,row_category,command_eng,command_kor,gt,gt_name,gt_cron,gt_period,gt_code,warmup_excluded,qwen25_coder_14b__det_score,qwen25_coder_14b__det_pass,qwen25_coder_14b__det_gt_exact,qwen25_coder_14b__det_gt_similarity,qwen25_coder_14b__failure_reasons,qwen25_coder_14b__output,qwen25_coder_14b__output_name,qwen25_coder_14b__output_cron,qwen25_coder_14b__output_period,qwen25_coder_14b__output_code,qwen25_coder_14b__prompt_chars,qwen25_coder_14b__prompt_tokens,qwen25_coder_14b__completion_tokens,qwen25_coder_14b__total_tokens,qwen25_coder_14b__llm_latency_sec,qwen25_coder_14b__total_pipeline_sec,qwen25_coder_14b__tokens_per_sec,qwen25_coder_14b__peak_vram_gb,qwen25_coder_14b__generation_error_type,qwen25_coder_14b__oom_flag,qwen25_coder_14b__worker_python,qwen25_coder_14b__resolved_model_path,qwen25_coder_14b__warmup_excluded,qwen25_coder_14b__row_category,qwen25_coder_7b__det_score,qwen25_coder_7b__det_pass,qwen25_coder_7b__det_gt_exact,qwen25_coder_7b__det_gt_similarity,qwen25_coder_7b__failure_reasons,qwen25_coder_7b__output,qwen25_coder_7b__output_name,qwen25_coder_7b__output_cron,qwen25_coder_7b__output_period,qwen25_coder_7b__output_code,qwen25_coder_7b__prompt_chars,qwen25_coder_7b__prompt_tokens,qwen25_coder_7b__completion_tokens,qwen25_coder_7b__total_tokens,qwen25_coder_7b__llm_latency_sec,qwen25_coder_7b__total_pipeline_sec,qwen25_coder_7b__tokens_per_sec,qwen25_coder_7b__peak_vram_gb,qwen25_coder_7b__generation_error_type,qwen25_coder_7b__oom_flag,qwen25_coder_7b__worker_python,qwen25_coder_7b__resolved_model_path,qwen25_coder_7b__warmup_excluded,qwen25_coder_7b__row_category
1,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).Dishwasher_SetDishwasherMode(\""dry\"")""}",,,0,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")",False,89.8937,True,False,0.953125,"[""arg_type"", ""gt_mismatch""]","{""name"":""SwitchDishwasherToDryMode"",""cron"":"""",""period"":0,""code"":""(#Dishwasher).dishwasher_setdishwashermode(dry)""}",SwitchDishwasherToDryMode,,0,(#Dishwasher).dishwasher_setdishwashermode(dry),152938,31753,52,31805,17.8044,20.1222,1786.3562,37.0264,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,False,1,98.898,True,False,0.963265,"[""gt_mismatch""]","{""name"":""SwitchDishwasherToDryMode"",""cron"":"""",""period"":0,""code"":""(#Dishwasher).dishwasher_setdishwashermode(\""dry\"")""}",SwitchDishwasherToDryMode,,0,"(#Dishwasher).dishwasher_setdishwashermode(""dry"")",152938,31753,53,31806,7.8658,10.2436,4043.5811,20.1218,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,1
2,1,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).Oven_AddMoreTime(300)""}",,,0,(#Oven).Oven_AddMoreTime(300),False,93.1379,True,False,0.937931,"[""gt_mismatch"", ""semantic""]","{""name"":""Add5MinutesToOven"",""cron"":"""",""period"":0,""code"":""(#Oven).oven_addmoretime(300)""}",Add5MinutesToOven,,0,(#Oven).oven_addmoretime(300),152930,31754,49,31803,17.7628,20.1175,1790.4272,37.0266,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,False,1,24.0,False,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""Add5MinutesToOven"",""cron"":"""",""period"":0,""code"":""""}",Add5MinutesToOven,,0,,152930,31754,36,31790,7.3592,9.7423,4319.763,20.1218,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,1
3,1,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).RiceCooker_SetCookingParameters(\""cooking\"", 1800)""}",,,0,"(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)",False,74.9018,True,False,0.613393,"[""arg_type"", ""gt_mismatch"", ""semantic""]","{""name"":""StartRiceCooker"",""cron"":"""",""period"":0,""code"":""(#RiceCooker).ricecooker_setricecookermode(cooking)""}",StartRiceCooker,,0,(#RiceCooker).ricecooker_setricecookermode(cooking),152957,31759,52,31811,17.9969,20.3122,1767.5822,37.0272,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,False,1,74.3218,True,False,0.594059,"[""arg_type"", ""gt_mismatch"", ""semantic""]","{""name"":""StartRiceCooker"",""cron"":"""",""period"":0,""code"":""(#RiceCooker).setricecookermode(cooking)""}",StartRiceCooker,,0,(#RiceCooker).setricecookermode(cooking),152957,31759,49,31808,7.8003,10.1607,4077.7919,20.1215,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,1
4,1,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).Siren_SetSirenMode(\""emergency\"")""}",,,0,"(#Siren).Siren_SetSirenMode(""emergency"")",False,88.7692,True,False,0.942308,"[""arg_type"", ""gt_mismatch""]","{""name"":""SetSirenToEmergencyMode"",""cron"":"""",""period"":0,""code"":""(#Siren).siren_setsirenmode(emergency)""}",SetSirenToEmergencyMode,,0,(#Siren).siren_setsirenmode(emergency),152936,31754,48,31802,17.7221,20.1134,1794.4826,37.0266,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,False,1,49.08,False,False,0.636,"[""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match"", ""unknown_service:set""]","{""name"":""SetSirenEmergencyMode"",""cron"":"""",""period"":0,""code"":""(#Siren).set sirens_mode(emergency)""}",SetSirenEmergencyMode,,0,(#Siren).set sirens_mode(emergency),152936,31754,46,31800,7.7982,9.9729,4077.8641,20.1218,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,1
5,1,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).Speaker_SetVolume(30)""}",,,0,(#Speaker).Speaker_SetVolume(30),False,97.5344,True,False,0.957813,"[""gt_mismatch""]","{""name"":""SetSpeakerVolume"",""cron"":"""",""period"":0,""code"":""(#Speaker).speaker_setvolume(30)""}",SetSpeakerVolume,,0,(#Speaker).speaker_setvolume(30),152933,31755,43,31798,17.3145,19.6891,1836.4954,37.0263,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,False,1,95.9071,True,False,0.903571,"[""gt_mismatch""]","{""name"":""SetSpeakerVolume"",""cron"":"""",""period"":0,""code"":""(#Speaker).setvolume(30)""}",SetSpeakerVolume,,0,(#Speaker).setvolume(30),152933,31755,42,31797,7.6825,10.1106,4138.8871,20.1213,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,1
6,1,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).Television_ChannelDown()""}",,,0,(#Television).Television_ChannelDown(),False,96.9342,True,False,0.964474,"[""gt_mismatch""]","{""name"":""TurnTVChannelDown"",""cron"":"""",""period"":0,""code"":""(#Television).television_channeldown()""}",TurnTVChannelDown,,0,(#Television).television_channeldown(),152936,31754,45,31799,17.4483,19.803,1822.4698,37.0266,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,False,1,24.0,False,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":"""",""cron"":"""",""period"":0,""code"":""""}",,,0,,152936,31754,6,31760,6.5598,8.9672,4841.611,20.1218,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,1
7,1,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).Television_SetChannel(7)""}",,,0,(#Television).Television_SetChannel(7),False,96.5342,True,False,0.964474,"[""gt_mismatch""]","{""name"":""SwitchTVToChannel7"",""cron"":"""",""period"":0,""code"":""(#Television).television_setchannel(7)""}",SwitchTVToChannel7,,0,(#Television).television_setchannel(7),152931,31754,46,31800,17.5414,19.968,1812.8542,37.0266,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,False,1,24.0,False,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""SwitchTVChannel7"",""cron"":"""",""period"":0,""code"":""""}",SwitchTVChannel7,,0,,152931,31754,34,31788,7.4861,9.8379,4246.2698,20.1218,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,1
8,1,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).TemperatureSensor_Temperature\n\n(#Speaker).Speaker_Speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",,,0,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",False,66.6377,False,False,0.585542,"[""arg_type"", ""gt_mismatch"", ""service_match"", ""unknown_service:temperature_sensor_temperature""]","{""name"":""AnnounceTemperatureThroughSpeaker"",""cron"":"""",""period"":0,""code"":""(#TemperatureSensor).temperature_sensor_temperature().then((temp) => (#Speaker).speaker_speak('The current temperature is ' + temp + ' degrees Celsius'))""}",AnnounceTemperatureThroughSpeaker,,0,(#TemperatureSensor).temperature_sensor_temperature().then((temp) => (#Speaker).speaker_speak('The current temperature is ' + temp + ' degrees Celsius')),152949,31754,68,31822,19.1422,21.54,1662.4004,37.0266,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,False,1,24.0,False,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""AnnounceTemperature"",""cron"":"""",""period"":0,""code"":""""}",AnnounceTemperature,,0,,152949,31754,33,31787,7.4858,9.8993,4246.3063,20.1218,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,1
9,1,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).WeatherProvider_TemperatureWeather\n\n(#Speaker).Speaker_Speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}",,,0,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",False,84.3236,True,False,0.506024,"[""gt_mismatch""]","{""name"":""TellOutdoorTemperatureThroughSpeaker"",""cron"":"""",""period"":0,""code"":""(#AirQualitySensor).airqualitysensor_temperature().then((temp) => (#Speaker).speaker_speak('The outdoor temperature is ' + temp + ' degrees Celsius'))""}",TellOutdoorTemperatureThroughSpeaker,,0,(#AirQualitySensor).airqualitysensor_temperature().then((temp) => (#Speaker).speaker_speak('The outdoor temperature is ' + temp + ' degrees Celsius')),152956,31755,70,31825,19.2806,21.6952,1650.6229,37.0263,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,False,1,24.0,False,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""TellOutdoorTemperature"",""cron"":"""",""period"":0,""code"":""""}",TellOutdoorTemperature,,0,,152956,31755,33,31788,7.5558,10.1294,4207.0992,20.1213,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,1
10,1,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).HumiditySensor_Humidity\n\n(#Speaker).Speaker_Speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}",,,0,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",False,83.8117,True,False,0.574675,"[""gt_mismatch""]","{""name"":""TellHumidityThroughSpeaker"",""cron"":"""",""period"":0,""code"":""(#AirQualitySensor).airqualitysensor_humidity().speaker_speak()""}",TellHumidityThroughSpeaker,,0,(#AirQualitySensor).airqualitysensor_humidity().speaker_speak(),152953,31755,50,31805,17.8083,20.236,1785.965,37.0263,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,False,1,24.0,False,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""TellMeCurrentHumidity"",""cron"":"""",""period"":0,""code"":""""}",TellMeCurrentHumidity,,0,,152953,31755,35,31790,7.6437,10.0552,4158.9806,20.1213,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,False,1
