Index: 0,Service Name,Korean,English,Script,Command_O,Similarity
0,AirConditioner.airConditionerMode_airConditionerMode,에어컨의 현재 모드를 확인해줘.,Check the current mode of the air conditioner.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current mode of the air conditioner is ' + (#AirConditioner).airConditionerMode_airConditionerMode
    (#Speaker).mediaPlayback_speak(script)
  ""
}",에어컨의 현재 모드를 알려줘.,1.0
1,AirConditioner.airConditionerMode_targetTemperature,에어컨의 목표온도를 24도로 설정해줘.,Set the target temperature of the air conditioner to 24 degrees.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#AirConditioner).airConditionerMode_targetTemperature(24)
  ""
}",에어컨 온도를 24도로 설정해줘.,1.0
2,AirConditioner.airConditionerMode_supportedAcModes,에어컨에 지원되는 모드 목록을 알려줘.,Tell me the list of supported modes for the air conditioner.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The supported mode of the air conditioner are ' + (#AirConditioner).airConditionerMode_supportedAcModes
    (#Speaker).mediaPlayback_speak(script)
  ""
}",에어컨의 지원되는 모드를 알려줘.,1.0
3,AirConditioner.airConditionerMode_setAirConditionerMode,로비의 에어컨을 자동 모드로 설정해줘.,Set the lobby air conditioner to auto mode in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#lobby #AirConditioner).airConditionerMode_setAirConditionerMode('auto')
  ""
}",로비 에어컨을 자동 모드로 설정해줘.,1.0
4,AirConditioner.airConditionerMode_setTemperature,로비의 에어컨 온도를 24도로 맞춰줘.,Set the air conditioner temperature to 24 degrees in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#lobby #AirConditioner).airConditionerMode_setTemperature(24)
  ""
}",로비의 에어컨 온도를 24도로 설정해줘.,1.0
5,AirConditioner.switch_switch,에어컨의 상태를 확인해줘.,Check the status of the air conditioner.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""    
    (#Speaker).mediaPlayback_speak((#AirConditioner).switch_switch)
  ""
}",에어컨이 켜져 있는지 알려줘.,0.9
6,AirConditioner.switch_on,로비에서 에어컨을 켜줘.,Turn on the air conditioner in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#lobby #AirConditioner).switch_on()
  ""
}",로비 에어컨 켜줘.,1.0
7,AirConditioner.switch_off,에어컨을 꺼줘.,Turn off the air conditioner.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#AirConditioner).switch_off()
  ""
}",에어컨 꺼줘.,1.0
8,AirConditioner.switch_toggle,로비의 에어컨을 토글해줘.,Toggle the air conditioner switch in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#lobby #AirConditioner).switch_toggle()
  ""
}",로비의 에어컨을 토글해줘.,1.0
9,AirPurifier.airPurifierFanMode_airPurifierFanMode,공기청정기의 팬 모드를 자동으로 설정해줘.,Set the air purifier's fan mode to auto.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#AirPurifier).airPurifierFanMode_airPurifierFanMode('auto')
  ""
}",공기청정기의 팬 모드를 자동으로 설정해줘.,1.0
10,AirPurifier.airPurifierFanMode_supportedAirPurifierFanModes,로비에 있는 공기청정기의 팬 모드를 확인해줘.,Check the fan modes of the air purifier in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
		(#lobby #Speaker).mediaPlayback_speak((#lobby #AirPurifier).airPurifierFanMode_supportedAirPurifierFanModes)
  ""
}",로비의 공기청정기가 지원하는 팬 모드를 알려줘.,0.9
11,AirPurifier.airPurifierFanMode_setAirPurifierFanMode,로비에서는 공기청정기의 팬 모드를 자동으로 설정해줘.,Set the air purifier's fan mode to auto in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#lobby #AirPurifier).airPurifierFanMode_setAirPurifierFanMode('auto')
  ""
}",로비의 공기청정기 팬 모드를 자동으로 설정해줘.,1.0
12,AirPurifier.switch_switch,공기청정기의 상태를 확인해줘.,Check the status of the air purifier.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    #Speaker).mediaPlayback_speak((#AirPurifier).switch_switch)
  ""
}",공기청정기의 전원 상태를 알려줘.,0.9
