category_analysis,command,GT,generated_code,cloud_similarity_gpt4o,explanation
1,사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Siren).sirenMode_setSirenMode('siren')""}",0.3,"The generated code uses a different device and method than the ground truth. The generated code targets '#Siren' with 'sirenMode_setSirenMode', while the ground truth targets '#Alarm' with 'alarm_siren'."
1,사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""siren\"")""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Siren).sirenMode_setSirenMode('siren')""}",1.0,
1,경광등을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_strobe()""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Alarm).alarm_strobe()""}",1.0,
1,경광등을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""strobe\"")""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Alarm).alarm_strobe()""}",0.3,"The generated code uses a different device and method than the ground truth. The generated code targets '#Alarm' with 'alarm_strobe', while the ground truth targets '#Siren' with 'sirenMode_setSirenMode'."
1,사이렌과 경광등을 동시에 켜 줘,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Siren).sirenMode_setSirenMode('both') (#Alarm).alarm_both()""}",0.7,The generated code includes an additional action targeting '#Siren' with 'sirenMode_setSirenMode' that is not present in the ground truth.
1,사이렌과 경광등을 둘 다 꺼 줘,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""off\"")""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Alarm).alarm_off() (#Siren).sirenMode_setSirenMode('off')""}",0.7,The generated code includes an additional action targeting '#Alarm' with 'alarm_off' that is not present in the ground truth.
2,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n(#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#PresenceSensor).presenceSensor_presence == 'present') { (#Alarm).alarm_siren() }""}",0.8,"The generated code uses a different sensor '#PresenceSensor' instead of '#OccupancySensor' as in the ground truth, but the logic and action are equivalent."
2,재실 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#PresenceSensor).presenceSensor_presence == \""present\"") {\n(#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#PresenceSensor).presenceSensor_presence == 'present') { (#Alarm).alarm_siren() }""}",1.0,
2,에어컨의 모드가 냉방 모드면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == \""cool\"") {\n(#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == 'cool') {(#Alarm).alarm_siren()}""}",1.0,
2,에어컨의 목표 온도가 30도면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n(#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {(#Alarm).alarm_siren()}""}",1.0,
