results_dir,model_key,row_no,category,command_eng,legacy_score,strict_score,delta,legacy_gt_exact,strict_gt_exact,legacy_failures,strict_failures,legacy_gt_service_coverage,strict_gt_service_coverage,legacy_gt_receiver_coverage,strict_gt_receiver_coverage,legacy_dataflow_score,strict_dataflow_score,legacy_numeric_grounding,strict_numeric_grounding,output_code
/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,1,1,Switch the dishwasher to dry mode.,89.8937,96.0656,6.1719,False,False,"[""arg_type"", ""gt_mismatch""]","[""arg_type"", ""gt_mismatch""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(#Dishwasher).dishwasher_setdishwashermode(dry)
/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,2,1,Add 5 minutes to the oven.,93.1379,94.6897,1.5518,False,False,"[""gt_mismatch"", ""semantic""]","[""gt_mismatch"", ""semantic""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(#Oven).oven_addmoretime(300)
/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,3,1,Start the rice cooker on cooking mode for 30 minutes.,74.9018,44.567,-30.3348,False,False,"[""arg_type"", ""enum_grounding"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding"", ""semantic""]","[""arg_type"", ""enum_grounding"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""numeric_grounding"", ""semantic""]",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,(#RiceCooker).ricecooker_setricecookermode(cooking)
/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,4,1,Set the siren to emergency mode.,88.7692,95.2115,6.4423,False,False,"[""arg_type"", ""gt_mismatch""]","[""arg_type"", ""gt_mismatch""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(#Siren).siren_setsirenmode(emergency)
/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,5,1,Set the speaker volume to 30.,97.5344,98.5891,1.0547,False,False,"[""gt_mismatch""]","[""gt_mismatch""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(#Speaker).speaker_setvolume(30)
/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,6,1,Turn the TV channel down by one.,96.9342,97.8224,0.8882,False,False,"[""gt_mismatch""]","[""gt_mismatch""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(#Television).television_channeldown()
/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,7,1,Switch the TV to channel 7.,96.5342,97.4224,0.8882,False,False,"[""gt_mismatch""]","[""gt_mismatch""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(#Television).television_setchannel(7)
/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,8,1,Announce the temperature through the speaker.,29.4197,17.4033,-12.0164,False,False,"[""arg_type"", ""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic"", ""service_match"", ""unknown_service:temperature_sensor_temperature""]","[""arg_type"", ""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic"", ""service_match"", ""unknown_service:temperature_sensor_temperature""]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"(#TemperatureSensor).temperature_sensor_temperature().speaker_speak(""The current temperature is "" + (#TemperatureSensor).temperature_sensor_temperature() + "" degrees Celsius."")"
/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,9,1,Tell me the outdoor temperature through the speaker.,24.0,16.5,-7.5,False,False,"[""arg_type"", ""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic"", ""service_match""]","[""arg_type"", ""dataflow"", ""extraneous"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage"", ""precondition"", ""semantic"", ""service_match""]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,10,1,Tell me the current humidity through the speaker.,80.4594,48.8861,-31.5733,False,False,"[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","[""dataflow"", ""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"(#AirQualitySensor).airqualitysensor_humidity().speaker_speak(""The current humidity is "" + (#AirQualitySensor).airqualitysensor_humidity() + ""%"")"
