condition,result_dir,model_key,model_label,failure_reason,count
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_mismatch,20
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,arg_type,7
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,semantic,6
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,extraneous,5
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,precondition,5
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,service_match,5
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:set,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:temperature_sensor,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_mismatch,20
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,arg_type,8
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,semantic,5
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,extraneous,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,precondition,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,service_match,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,unknown_service:temperature_sensor_temperature,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_mismatch,20
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,arg_type,9
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,semantic,7
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,extraneous,6
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,precondition,6
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,service_match,6
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_mismatch,20
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,arg_type,7
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,semantic,2
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,extraneous,1
